,충청남도 보령시,충청남도 보령시 웅천읍,충청남도 보령시 주포면,충청남도 보령시 오천면,충청남도 보령시 오천면어항출장소,충청남도 보령시 원산도출장소,충청남도 보령시 천북면,충청남도 보령시 청소면,충청남도 보령시 청라면,충청남도 보령시 남포면,충청남도 보령시 주산면,충청남도 보령시 미산면,충청남도 보령시 성주면,충청남도 보령시 주교면,충청남도 보령시 대천1동,충청남도 보령시 대천2동,충청남도 보령시 대천3동,충청남도 보령시 대천4동,충청남도 보령시 대천5동
2021년01월_계_총인구수,"99,964","6,200","1,658","2,180","1,630","1,118","3,537","2,639","3,928","5,130","2,443","1,722","2,282","5,308","14,430","6,907","16,584","15,814","6,454"
2021년01월_계_연령구간인구수,"99,964","6,200","1,658","2,180","1,630","1,118","3,537","2,639","3,928","5,130","2,443","1,722","2,282","5,308","14,430","6,907","16,584","15,814","6,454"
2021년01월_계_0~9세,"6,065",139,39,44,54,28,114,66,125,135,44,47,74,184,"1,060",475,"1,625","1,574",238
2021년01월_계_10~19세,"8,259",309,107,115,99,65,188,105,210,253,86,58,115,328,"1,464",655,"1,929","1,786",387
2021년01월_계_20~29세,"9,484",402,190,137,125,62,222,145,269,368,108,89,161,474,"1,697",731,"2,043","1,749",512
2021년01월_계_30~39세,"9,359",349,82,123,124,64,214,135,203,281,100,79,151,396,"1,543",746,"2,244","1,977",548
2021년01월_계_40~49세,"13,897",591,164,258,211,98,342,209,384,473,193,134,268,692,"2,275","1,118","2,992","2,727",768
2021년01월_계_50~59세,"17,075","1,116",281,389,324,223,610,423,670,945,376,260,439,953,"2,445","1,164","2,580","2,610","1,267"
2021년01월_계_60~69세,"17,240","1,521",385,503,367,254,799,600,894,"1,174",561,434,516,"1,086","2,081",994,"1,804","1,862","1,405"
2021년01월_계_70~79세,"11,284","1,051",257,354,182,185,586,524,673,861,528,355,370,714,"1,244",645,899,998,858
2021년01월_계_80~89세,"6,300",606,129,217,127,120,408,373,435,529,376,227,167,418,545,344,417,457,405
2021년01월_계_90~99세,935,113,24,39,16,19,53,57,59,102,69,39,17,61,68,31,45,62,61
2021년01월_계_100세 이상,66,3,0,1,1,0,1,2,6,9,2,0,4,2,8,4,6,12,5
2021년01월_남_총인구수,"50,657","3,156",870,"1,153",875,599,"1,835","1,315","1,991","2,595","1,199",892,"1,134","2,799","7,286","3,434","8,329","7,844","3,351"
2021년01월_남_연령구간인구수,"50,657","3,156",870,"1,153",875,599,"1,835","1,315","1,991","2,595","1,199",892,"1,134","2,799","7,286","3,434","8,329","7,844","3,351"
2021년01월_남_0~9세,"3,049",75,16,15,24,13,52,40,70,78,33,25,42,91,543,234,810,778,110
2021년01월_남_10~19세,"4,287",154,54,56,52,37,104,66,111,123,45,36,64,175,747,325,"1,000",942,196
2021년01월_남_20~29세,"5,568",266,142,80,86,38,135,82,166,223,65,60,91,304,989,407,"1,150",962,322
2021년01월_남_30~39세,"5,065",212,42,77,70,42,138,86,118,170,60,42,82,242,828,401,"1,122",998,335
2021년01월_남_40~49세,"7,616",346,97,175,136,65,206,122,237,269,119,102,163,423,"1,175",574,"1,547","1,374",486
2021년01월_남_50~59세,"9,110",618,162,234,187,139,346,247,363,526,201,145,245,528,"1,238",606,"1,308","1,333",684
2021년01월_남_60~69세,"8,458",762,206,251,187,135,410,298,454,603,283,234,231,534,990,470,858,868,684
2021년01월_남_70~79세,"5,048",479,110,172,88,85,293,239,304,396,231,158,159,341,551,275,385,425,357
2021년01월_남_80~89세,"2,241",214,36,84,41,41,145,120,156,184,144,83,53,150,205,134,139,148,164
2021년01월_남_90~99세,202,28,5,9,4,4,6,15,11,21,17,7,4,11,19,7,9,12,13
2021년01월_남_100세 이상,13,2,0,0,0,0,0,0,1,2,1,0,0,0,1,1,1,4,0
2021년01월_여_총인구수,"49,307","3,044",788,"1,027",755,519,"1,702","1,324","1,937","2,535","1,244",830,"1,148","2,509","7,144","3,473","8,255","7,970","3,103"
2021년01월_여_연령구간인구수,"49,307","3,044",788,"1,027",755,519,"1,702","1,324","1,937","2,535","1,244",830,"1,148","2,509","7,144","3,473","8,255","7,970","3,103"
2021년01월_여_0~9세,"3,016",64,23,29,30,15,62,26,55,57,11,22,32,93,517,241,815,796,128
2021년01월_여_10~19세,"3,972",155,53,59,47,28,84,39,99,130,41,22,51,153,717,330,929,844,191
2021년01월_여_20~29세,"3,916",136,48,57,39,24,87,63,103,145,43,29,70,170,708,324,893,787,190
2021년01월_여_30~39세,"4,294",137,40,46,54,22,76,49,85,111,40,37,69,154,715,345,"1,122",979,213
2021년01월_여_40~49세,"6,281",245,67,83,75,33,136,87,147,204,74,32,105,269,"1,100",544,"1,445","1,353",282
2021년01월_여_50~59세,"7,965",498,119,155,137,84,264,176,307,419,175,115,194,425,"1,207",558,"1,272","1,277",583
2021년01월_여_60~69세,"8,782",759,179,252,180,119,389,302,440,571,278,200,285,552,"1,091",524,946,994,721
2021년01월_여_70~79세,"6,236",572,147,182,94,100,293,285,369,465,297,197,211,373,693,370,514,573,501
2021년01월_여_80~89세,"4,059",392,93,133,86,79,263,253,279,345,232,144,114,268,340,210,278,309,241
2021년01월_여_90~99세,733,85,19,30,12,15,47,42,48,81,52,32,13,50,49,24,36,50,48
2021년01월_여_100세 이상,53,1,0,1,1,0,1,2,5,7,1,0,4,2,7,3,5,8,5
