카테고리,부산광역시 연제구,부산광역시 연제구 거제제1동,부산광역시 연제구 거제제2동,부산광역시 연제구 거제제3동,부산광역시 연제구 거제제4동,부산광역시 연제구 연산제1동,부산광역시 연제구 연산제2동,부산광역시 연제구 연산제3동,부산광역시 연제구 연산제4동,부산광역시 연제구 연산제5동,부산광역시 연제구 연산제6동,부산광역시 연제구 연산제8동,부산광역시 연제구 연산제9동
2020년02월_계_총인구수,"210,509","30,521","12,872","10,545","11,063","16,908","17,843","7,786","17,214","16,394","17,636","14,899","36,828"
2020년02월_계_연령구간인구수,"210,509","30,521","12,872","10,545","11,063","16,908","17,843","7,786","17,214","16,394","17,636","14,899","36,828"
2020년02월_계_0~9세,"15,421","2,863","1,174",550,807,"1,363","1,582",250,812,812,"1,094","1,338","2,776"
2020년02월_계_10~19세,"17,034","3,719","1,633",755,"1,029","1,278","1,132",446,945,698,"1,076","1,183","3,140"
2020년02월_계_20~29세,"26,373","3,278","1,346","1,216","1,286","1,938","2,181",846,"2,497","3,360","2,042","1,751","4,632"
2020년02월_계_30~39세,"28,231","3,496","1,353","1,152","1,315","2,331","3,038",819,"2,152","3,259","2,508","1,978","4,830"
2020년02월_계_40~49세,"32,314","5,709","2,471","1,443","1,677","2,537","2,559","1,054","2,343","2,308","2,394","2,305","5,514"
2020년02월_계_50~59세,"34,818","4,787","1,996","1,757","1,936","2,815","2,820","1,393","2,987","2,335","2,846","2,580","6,566"
2020년02월_계_60~69세,"31,314","3,559","1,601","1,746","1,728","2,680","2,425","1,601","3,074","2,045","3,010","2,223","5,622"
2020년02월_계_70~79세,"17,615","2,178",907,"1,258",886,"1,402","1,479",993,"1,732","1,136","1,906","1,123","2,615"
2020년02월_계_80~89세,"6,487",816,350,579,348,503,544,341,596,399,674,365,972
2020년02월_계_90~99세,824,113,32,82,49,53,75,38,72,35,77,46,152
2020년02월_계_100세 이상,78,3,9,7,2,8,8,5,4,7,9,7,9
2020년02월_남_총인구수,"101,738","14,808","6,195","4,986","5,445","8,260","8,581","3,711","8,311","7,823","8,592","7,315","17,711"
2020년02월_남_연령구간인구수,"101,738","14,808","6,195","4,986","5,445","8,260","8,581","3,711","8,311","7,823","8,592","7,315","17,711"
2020년02월_남_0~9세,"7,872","1,501",555,295,407,685,814,134,398,410,562,693,"1,418"
2020년02월_남_10~19세,"8,801","1,984",787,397,568,676,562,221,485,356,582,598,"1,585"
2020년02월_남_20~29세,"13,475","1,702",725,595,710,"1,046","1,072",449,"1,212","1,426","1,096",947,"2,495"
2020년02월_남_30~39세,"14,149","1,643",636,590,672,"1,178","1,518",429,"1,142","1,632","1,325",954,"2,430"
2020년02월_남_40~49세,"15,861","2,646","1,204",716,804,"1,256","1,299",527,"1,181","1,223","1,241","1,166","2,598"
2020년02월_남_50~59세,"16,380","2,364",957,819,910,"1,292","1,322",643,"1,421","1,103","1,358","1,244","2,947"
2020년02월_남_60~69세,"14,536","1,636",773,793,833,"1,251","1,091",744,"1,410",965,"1,344","1,048","2,648"
2020년02월_남_70~79세,"8,012",956,412,546,402,664,680,434,819,533,810,523,"1,233"
2020년02월_남_80~89세,"2,443",344,137,209,131,196,205,122,225,164,254,130,326
2020년02월_남_90~99세,189,31,7,24,8,14,15,7,17,9,18,9,30
2020년02월_남_100세 이상,20,1,2,2,0,2,3,1,1,2,2,3,1
2020년02월_여_총인구수,"108,771","15,713","6,677","5,559","5,618","8,648","9,262","4,075","8,903","8,571","9,044","7,584","19,117"
2020년02월_여_연령구간인구수,"108,771","15,713","6,677","5,559","5,618","8,648","9,262","4,075","8,903","8,571","9,044","7,584","19,117"
2020년02월_여_0~9세,"7,549","1,362",619,255,400,678,768,116,414,402,532,645,"1,358"
2020년02월_여_10~19세,"8,233","1,735",846,358,461,602,570,225,460,342,494,585,"1,555"
2020년02월_여_20~29세,"12,898","1,576",621,621,576,892,"1,109",397,"1,285","1,934",946,804,"2,137"
2020년02월_여_30~39세,"14,082","1,853",717,562,643,"1,153","1,520",390,"1,010","1,627","1,183","1,024","2,400"
2020년02월_여_40~49세,"16,453","3,063","1,267",727,873,"1,281","1,260",527,"1,162","1,085","1,153","1,139","2,916"
2020년02월_여_50~59세,"18,438","2,423","1,039",938,"1,026","1,523","1,498",750,"1,566","1,232","1,488","1,336","3,619"
2020년02월_여_60~69세,"16,778","1,923",828,953,895,"1,429","1,334",857,"1,664","1,080","1,666","1,175","2,974"
2020년02월_여_70~79세,"9,603","1,222",495,712,484,738,799,559,913,603,"1,096",600,"1,382"
2020년02월_여_80~89세,"4,044",472,213,370,217,307,339,219,371,235,420,235,646
2020년02월_여_90~99세,635,82,25,58,41,39,60,31,55,26,59,37,122
2020년02월_여_100세 이상,58,2,7,5,2,6,5,4,3,5,7,4,8
