카테고리,강원도 양구군,강원도 양구군 양구읍,강원도 양구군 남면,강원도 양구군 동면,강원도 양구군 방산면,강원도 양구군 해안면
2020년02월_계_총인구수,"22,366","14,243","3,344","2,086","1,353","1,340"
2020년02월_계_연령구간인구수,"22,366","14,243","3,344","2,086","1,353","1,340"
2020년02월_계_0~9세,"1,799","1,514",116,78,51,40
2020년02월_계_10~19세,"2,057","1,606",196,101,68,86
2020년02월_계_20~29세,"3,138","1,836",407,490,286,119
2020년02월_계_30~39세,"2,594","2,013",245,138,111,87
2020년02월_계_40~49세,"2,605","1,884",316,163,86,156
2020년02월_계_50~59세,"3,668","2,095",678,360,227,308
2020년02월_계_60~69세,"3,157","1,697",638,323,250,249
2020년02월_계_70~79세,"2,088",990,465,283,161,189
2020년02월_계_80~89세,"1,093",532,240,125,104,92
2020년02월_계_90~99세,150,62,40,25,9,14
2020년02월_계_100세 이상,17,14,3,0,0,0
2020년02월_남_총인구수,"11,853","7,303","1,825","1,208",789,728
2020년02월_남_연령구간인구수,"11,853","7,303","1,825","1,208",789,728
2020년02월_남_0~9세,894,748,61,39,23,23
2020년02월_남_10~19세,"1,061",809,107,49,41,55
2020년02월_남_20~29세,"2,106","1,111",302,384,237,72
2020년02월_남_30~39세,"1,432","1,072",158,87,65,50
2020년02월_남_40~49세,"1,419",998,183,96,49,93
2020년02월_남_50~59세,"1,953","1,075",384,191,132,171
2020년02월_남_60~69세,"1,665",871,337,183,135,139
2020년02월_남_70~79세,908,418,203,127,69,91
2020년02월_남_80~89세,365,173,79,45,36,32
2020년02월_남_90~99세,43,22,10,7,2,2
2020년02월_남_100세 이상,7,6,1,0,0,0
2020년02월_여_총인구수,"10,513","6,940","1,519",878,564,612
2020년02월_여_연령구간인구수,"10,513","6,940","1,519",878,564,612
2020년02월_여_0~9세,905,766,55,39,28,17
2020년02월_여_10~19세,996,797,89,52,27,31
2020년02월_여_20~29세,"1,032",725,105,106,49,47
2020년02월_여_30~39세,"1,162",941,87,51,46,37
2020년02월_여_40~49세,"1,186",886,133,67,37,63
2020년02월_여_50~59세,"1,715","1,020",294,169,95,137
2020년02월_여_60~69세,"1,492",826,301,140,115,110
2020년02월_여_70~79세,"1,180",572,262,156,92,98
2020년02월_여_80~89세,728,359,161,80,68,60
2020년02월_여_90~99세,107,40,30,18,7,12
2020년02월_여_100세 이상,10,8,2,0,0,0
