,충청남도 당진시,충청남도 당진시 합덕읍,충청남도 당진시 송악읍,충청남도 당진시 고대면,충청남도 당진시 석문면,충청남도 당진시 대호지면,충청남도 당진시 정미면,충청남도 당진시 면천면,충청남도 당진시 순성면,충청남도 당진시 우강면,충청남도 당진시 신평면,충청남도 당진시 송산면,충청남도 당진시 당진1동,충청남도 당진시 당진2동,충청남도 당진시 당진3동
2020년11월_계_총인구수,"166,145","9,169","30,347","5,499","9,755","2,447","3,718","3,592","5,139","5,134","15,877","12,029","23,663","21,162","18,614"
2020년11월_계_연령구간인구수,"166,145","9,169","30,347","5,499","9,755","2,447","3,718","3,592","5,139","5,134","15,877","12,029","23,663","21,162","18,614"
2020년11월_계_0~9세,"15,628",339,"4,040",188,437,63,106,95,185,192,"1,505","1,228","2,465","2,589","2,196"
2020년11월_계_10~19세,"15,697",590,"2,551",279,501,99,197,191,318,345,"1,823","1,022","2,431","2,545","2,805"
2020년11월_계_20~29세,"16,078",710,"2,389",383,942,143,299,269,368,397,"1,437","1,036","3,334","2,223","2,148"
2020년11월_계_30~39세,"22,800",723,"5,604",327,"1,162",129,223,229,298,309,"1,722","2,018","4,281","3,171","2,604"
2020년11월_계_40~49세,"26,681","1,123","5,359",557,"1,359",211,334,376,552,582,"2,622","2,026","4,104","3,780","3,696"
2020년11월_계_50~59세,"25,985","1,572","4,427",960,"1,944",361,624,671,974,871,"2,537","1,846","3,304","3,124","2,770"
2020년11월_계_60~69세,"20,811","1,835","3,162","1,206","1,678",610,845,786,"1,039","1,049","2,038","1,359","2,023","1,949","1,232"
2020년11월_계_70~79세,"13,301","1,331","1,686",861,"1,031",496,619,555,783,802,"1,322",884,"1,139","1,082",710
2020년11월_계_80~89세,"7,956",812,989,633,613,291,407,358,530,512,759,534,507,617,394
2020년11월_계_90~99세,"1,138",118,133,101,83,41,63,60,87,73,104,72,74,71,58
2020년11월_계_100세 이상,70,16,7,4,5,3,1,2,5,2,8,4,1,11,1
2020년11월_남_총인구수,"88,140","4,803","16,819","2,803","5,713","1,218","1,896","1,841","2,594","2,593","8,084","6,839","12,566","10,751","9,620"
2020년11월_남_연령구간인구수,"88,140","4,803","16,819","2,803","5,713","1,218","1,896","1,841","2,594","2,593","8,084","6,839","12,566","10,751","9,620"
2020년11월_남_0~9세,"7,991",185,"2,100",94,227,37,45,47,86,95,734,614,"1,249","1,347","1,131"
2020년11월_남_10~19세,"8,244",329,"1,347",144,266,55,105,97,168,195,951,512,"1,261","1,314","1,500"
2020년11월_남_20~29세,"9,410",435,"1,382",222,638,85,183,165,208,234,837,672,"1,915","1,219","1,215"
2020년11월_남_30~39세,"12,956",432,"3,154",185,810,78,128,133,171,177,885,"1,299","2,513","1,635","1,356"
2020년11월_남_40~49세,"15,038",674,"3,289",328,926,131,186,233,329,334,"1,400","1,268","2,192","1,922","1,826"
2020년11월_남_50~59세,"14,560",901,"2,658",554,"1,221",180,341,362,535,474,"1,379","1,115","1,721","1,633","1,486"
2020년11월_남_60~69세,"10,615",893,"1,686",607,894,303,437,386,511,524,"1,015",745,"1,021",969,624
2020년11월_남_70~79세,"6,199",609,823,410,486,238,304,283,379,352,596,402,494,491,332
2020년11월_남_80~89세,"2,830",313,337,235,221,101,157,120,182,182,262,194,184,209,133
2020년11월_남_90~99세,283,30,43,24,22,9,10,13,24,25,23,18,16,10,16
2020년11월_남_100세 이상,14,2,0,0,2,1,0,2,1,1,2,0,0,2,1
2020년11월_여_총인구수,"78,005","4,366","13,528","2,696","4,042","1,229","1,822","1,751","2,545","2,541","7,793","5,190","11,097","10,411","8,994"
2020년11월_여_연령구간인구수,"78,005","4,366","13,528","2,696","4,042","1,229","1,822","1,751","2,545","2,541","7,793","5,190","11,097","10,411","8,994"
2020년11월_여_0~9세,"7,637",154,"1,940",94,210,26,61,48,99,97,771,614,"1,216","1,242","1,065"
2020년11월_여_10~19세,"7,453",261,"1,204",135,235,44,92,94,150,150,872,510,"1,170","1,231","1,305"
2020년11월_여_20~29세,"6,668",275,"1,007",161,304,58,116,104,160,163,600,364,"1,419","1,004",933
2020년11월_여_30~39세,"9,844",291,"2,450",142,352,51,95,96,127,132,837,719,"1,768","1,536","1,248"
2020년11월_여_40~49세,"11,643",449,"2,070",229,433,80,148,143,223,248,"1,222",758,"1,912","1,858","1,870"
2020년11월_여_50~59세,"11,425",671,"1,769",406,723,181,283,309,439,397,"1,158",731,"1,583","1,491","1,284"
2020년11월_여_60~69세,"10,196",942,"1,476",599,784,307,408,400,528,525,"1,023",614,"1,002",980,608
2020년11월_여_70~79세,"7,102",722,863,451,545,258,315,272,404,450,726,482,645,591,378
2020년11월_여_80~89세,"5,126",499,652,398,392,190,250,238,348,330,497,340,323,408,261
2020년11월_여_90~99세,855,88,90,77,61,32,53,47,63,48,81,54,58,61,42
2020년11월_여_100세 이상,56,14,7,4,3,2,1,0,4,1,6,4,1,9,0
