,경상남도 진주시,경상남도 진주시 문산읍,경상남도 진주시 내동면,경상남도 진주시 정촌면,경상남도 진주시 금곡면,경상남도 진주시 진성면,경상남도 진주시 일반성면,경상남도 진주시 이반성면,경상남도 진주시 사봉면,경상남도 진주시 지수면,경상남도 진주시 대곡면,경상남도 진주시 금산면,경상남도 진주시 집현면,경상남도 진주시 미천면,경상남도 진주시 명석면,경상남도 진주시 대평면,경상남도 진주시 수곡면,경상남도 진주시 천전동,경상남도 진주시 성북동,경상남도 진주시 중앙동,경상남도 진주시 상봉동,경상남도 진주시 상대동,경상남도 진주시 하대동,경상남도 진주시 상평동,경상남도 진주시 초장동,경상남도 진주시 평거동,경상남도 진주시 신안동,경상남도 진주시 이현동,경상남도 진주시 판문동,경상남도 진주시 가호동,경상남도 진주시 충무공동
2021년04월_계_총인구수,"347,056","8,146","4,076","8,400","2,210","1,900","2,588","1,591","1,481","1,458","3,240","20,986","4,717","1,593","3,993","1,041","2,221","27,468","10,644","11,001","14,013","19,533","24,568","11,653","26,791","27,502","11,666","12,021","21,101","27,120","32,334"
2021년04월_계_연령구간인구수,"347,056","8,146","4,076","8,400","2,210","1,900","2,588","1,591","1,481","1,458","3,240","20,986","4,717","1,593","3,993","1,041","2,221","27,468","10,644","11,001","14,013","19,533","24,568","11,653","26,791","27,502","11,666","12,021","21,101","27,120","32,334"
2021년04월_계_0~9세,"27,708",609,345,932,40,45,100,28,26,37,50,"2,129",225,18,133,24,56,"1,508",430,323,569,971,"1,343",710,"3,289","2,068",640,657,"2,339","2,376","5,688"
2021년04월_계_10~19세,"34,859",647,451,506,105,54,185,42,49,69,139,"2,731",414,51,189,39,97,"2,450",728,644,"1,031","1,581","2,428","1,028","4,009","3,417","1,098","1,243","3,009","2,573","3,852"
2021년04월_계_20~29세,"44,842",792,422,"1,074",147,123,204,73,62,105,212,"2,252",418,76,331,99,139,"4,232","1,445","1,052","1,799","2,903","3,735","1,514","3,318","4,071","1,598","1,554","2,337","5,336","3,419"
2021년04월_계_30~39세,"41,213",905,418,"1,615",122,121,174,67,70,65,160,"2,406",369,56,222,48,104,"2,666","1,156",821,"1,263","2,017","2,519","1,355","3,637","2,999","1,124","1,084","2,430","4,180","7,040"
2021년04월_계_40~49세,"53,788","1,022",654,"1,161",176,140,271,93,149,138,268,"3,697",649,103,425,91,211,"3,885","1,549","1,351","1,860","2,767","3,632","1,700","5,276","4,614","1,584","1,760","4,080","4,089","6,393"
2021년04월_계_50~59세,"57,182","1,387",685,"1,273",379,340,499,275,210,251,575,"3,363",879,288,730,179,400,"4,482","1,774","1,876","2,580","3,547","4,926","2,075","4,051","5,112","2,071","2,311","3,235","3,987","3,442"
2021년04월_계_60~69세,"47,243","1,418",568,"1,060",476,487,517,428,363,313,720,"2,511",830,382,994,253,529,"4,111","1,867","2,422","2,557","3,236","3,674","1,926","1,949","2,994","1,943","1,969","2,224","2,762","1,760"
2021년04월_계_70~79세,"25,676",813,321,475,409,286,349,317,304,253,584,"1,208",544,324,563,157,344,"2,725","1,118","1,681","1,583","1,785","1,580",957,859,"1,374","1,031",996,978,"1,247",511
2021년04월_계_80~89세,"12,662",463,181,251,298,260,260,237,217,189,456,610,336,259,354,126,306,"1,233",488,728,679,659,641,345,354,731,509,386,416,501,189
2021년04월_계_90~99세,"1,804",89,29,49,57,42,27,31,30,37,73,77,52,35,49,23,34,168,83,90,90,66,86,43,43,120,66,56,52,69,38
2021년04월_계_100세 이상,79,1,2,4,1,2,2,0,1,1,3,2,1,1,3,2,1,8,6,13,2,1,4,0,6,2,2,5,1,0,2
2021년04월_남_총인구수,"171,584","4,136","2,041","4,291","1,043",932,"1,272",793,737,736,"1,613","10,523","2,364",779,"1,962",497,"1,078","13,459","5,253","5,295","6,934","9,682","12,266","5,920","13,570","13,170","5,550","5,931","10,060","13,692","16,005"
2021년04월_남_연령구간인구수,"171,584","4,136","2,041","4,291","1,043",932,"1,272",793,737,736,"1,613","10,523","2,364",779,"1,962",497,"1,078","13,459","5,253","5,295","6,934","9,682","12,266","5,920","13,570","13,170","5,550","5,931","10,060","13,692","16,005"
2021년04월_남_0~9세,"14,354",337,187,470,20,26,49,20,13,18,29,"1,118",116,8,68,10,32,811,232,171,323,484,714,343,"1,774","1,046",333,343,"1,180","1,273","2,806"
2021년04월_남_10~19세,"18,380",346,235,265,58,26,103,27,31,30,78,"1,458",208,30,96,18,49,"1,336",380,353,551,814,"1,310",507,"2,263","1,769",576,710,"1,446","1,317","1,990"
2021년04월_남_20~29세,"24,669",445,218,595,91,71,127,48,37,70,140,"1,290",248,47,181,57,77,"2,309",766,601,943,"1,612","2,100",837,"1,833","2,176",848,900,"1,243","3,037","1,722"
2021년04월_남_30~39세,"21,141",473,202,864,69,70,85,46,43,41,93,"1,221",187,29,121,26,51,"1,435",624,471,683,"1,087","1,387",739,"1,687","1,488",573,556,"1,109","2,238","3,443"
2021년04월_남_40~49세,"26,818",555,324,630,111,91,156,59,105,92,174,"1,781",344,73,234,54,142,"1,931",831,754,"1,027","1,415","1,731",918,"2,482","2,035",758,823,"1,934","2,000","3,254"
2021년04월_남_50~59세,"28,192",732,359,606,201,188,274,165,129,145,331,"1,661",479,168,377,100,233,"2,153",874,955,"1,305","1,703","2,348","1,054","2,054","2,412",953,"1,095","1,575","1,897","1,666"
2021년04월_남_60~69세,"22,557",753,304,560,249,245,267,226,180,162,361,"1,231",444,210,512,138,272,"1,848",856,"1,049","1,170","1,477","1,742",944,999,"1,440",842,912,"1,060","1,273",831
2021년04월_남_70~79세,"11,213",355,157,228,155,126,143,134,137,125,269,551,225,141,249,63,140,"1,167",495,708,691,815,729,435,366,549,463,470,381,506,240
2021년04월_남_80~89세,"3,928",127,51,68,84,79,60,61,56,48,123,202,102,65,115,28,76,429,178,214,225,261,192,136,100,234,192,111,122,142,47
2021년04월_남_90~99세,316,13,4,5,5,10,6,7,6,5,14,9,11,8,8,3,6,38,16,16,16,14,11,7,10,21,12,10,10,9,6
2021년04월_남_100세 이상,16,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,2,1,3,0,0,2,0,2,0,0,1,0,0,0
2021년04월_여_총인구수,"175,472","4,010","2,035","4,109","1,167",968,"1,316",798,744,722,"1,627","10,463","2,353",814,"2,031",544,"1,143","14,009","5,391","5,706","7,079","9,851","12,302","5,733","13,221","14,332","6,116","6,090","11,041","13,428","16,329"
2021년04월_여_연령구간인구수,"175,472","4,010","2,035","4,109","1,167",968,"1,316",798,744,722,"1,627","10,463","2,353",814,"2,031",544,"1,143","14,009","5,391","5,706","7,079","9,851","12,302","5,733","13,221","14,332","6,116","6,090","11,041","13,428","16,329"
2021년04월_여_0~9세,"13,354",272,158,462,20,19,51,8,13,19,21,"1,011",109,10,65,14,24,697,198,152,246,487,629,367,"1,515","1,022",307,314,"1,159","1,103","2,882"
2021년04월_여_10~19세,"16,479",301,216,241,47,28,82,15,18,39,61,"1,273",206,21,93,21,48,"1,114",348,291,480,767,"1,118",521,"1,746","1,648",522,533,"1,563","1,256","1,862"
2021년04월_여_20~29세,"20,173",347,204,479,56,52,77,25,25,35,72,962,170,29,150,42,62,"1,923",679,451,856,"1,291","1,635",677,"1,485","1,895",750,654,"1,094","2,299","1,697"
2021년04월_여_30~39세,"20,072",432,216,751,53,51,89,21,27,24,67,"1,185",182,27,101,22,53,"1,231",532,350,580,930,"1,132",616,"1,950","1,511",551,528,"1,321","1,942","3,597"
2021년04월_여_40~49세,"26,970",467,330,531,65,49,115,34,44,46,94,"1,916",305,30,191,37,69,"1,954",718,597,833,"1,352","1,901",782,"2,794","2,579",826,937,"2,146","2,089","3,139"
2021년04월_여_50~59세,"28,990",655,326,667,178,152,225,110,81,106,244,"1,702",400,120,353,79,167,"2,329",900,921,"1,275","1,844","2,578","1,021","1,997","2,700","1,118","1,216","1,660","2,090","1,776"
2021년04월_여_60~69세,"24,686",665,264,500,227,242,250,202,183,151,359,"1,280",386,172,482,115,257,"2,263","1,011","1,373","1,387","1,759","1,932",982,950,"1,554","1,101","1,057","1,164","1,489",929
2021년04월_여_70~79세,"14,463",458,164,247,254,160,206,183,167,128,315,657,319,183,314,94,204,"1,558",623,973,892,970,851,522,493,825,568,526,597,741,271
2021년04월_여_80~89세,"8,734",336,130,183,214,181,200,176,161,141,333,408,234,194,239,98,230,804,310,514,454,398,449,209,254,497,317,275,294,359,142
2021년04월_여_90~99세,"1,488",76,25,44,52,32,21,24,24,32,59,68,41,27,41,20,28,130,67,74,74,52,75,36,33,99,54,46,42,60,32
2021년04월_여_100세 이상,63,1,2,4,1,2,0,0,1,1,2,1,1,1,2,2,1,6,5,10,2,1,2,0,4,2,2,4,1,0,2
