카테고리,경기도 구리시,경기도 구리시 갈매동,경기도 구리시 동구동,경기도 구리시 인창동,경기도 구리시 교문1동,경기도 구리시 교문2동,경기도 구리시 수택1동,경기도 구리시 수택2동,경기도 구리시 수택3동
2021년10월_계_총인구수,"193,014","30,880","37,579","23,321","16,363","21,854","15,634","25,316","22,067"
2021년10월_계_연령구간인구수,"193,014","30,880","37,579","23,321","16,363","21,854","15,634","25,316","22,067"
2021년10월_계_0~9세,"14,191","4,362","2,534","1,661",691,"1,466",758,"1,231","1,488"
2021년10월_계_10~19세,"17,429","2,377","3,803","2,313","1,057","2,612","1,077","1,984","2,206"
2021년10월_계_20~29세,"26,161","3,145","5,444","3,353","2,162","2,958","2,319","3,689","3,091"
2021년10월_계_30~39세,"25,263","5,445","4,510","2,988","2,036","2,453","1,964","3,093","2,774"
2021년10월_계_40~49세,"31,682","6,034","6,025","3,855","2,431","3,682","2,253","3,547","3,855"
2021년10월_계_50~59세,"34,889","4,125","7,244","4,253","3,175","3,914","3,133","4,986","4,059"
2021년10월_계_60~69세,"25,976","3,469","4,711","2,865","2,788","2,895","2,517","4,094","2,637"
2021년10월_계_70~79세,"11,553","1,441","2,096","1,355","1,292","1,229","1,097","1,779","1,264"
2021년10월_계_80~89세,"5,149",414,"1,051",611,624,574,457,809,609
2021년10월_계_90~99세,669,66,155,65,78,67,57,100,81
2021년10월_계_100세 이상,52,2,6,2,29,4,2,4,3
2021년10월_남_총인구수,"95,747","15,310","18,501","11,398","8,385","10,612","7,845","12,567","11,129"
2021년10월_남_연령구간인구수,"95,747","15,310","18,501","11,398","8,385","10,612","7,845","12,567","11,129"
2021년10월_남_0~9세,"7,322","2,258","1,321",843,355,745,412,619,769
2021년10월_남_10~19세,"8,959","1,174","2,019","1,188",512,"1,315",571,"1,042","1,138"
2021년10월_남_20~29세,"13,445","1,583","2,787","1,681","1,141","1,544","1,153","1,927","1,629"
2021년10월_남_30~39세,"12,716","2,566","2,304","1,492","1,104","1,194","1,074","1,573","1,409"
2021년10월_남_40~49세,"15,876","3,218","2,869","1,840","1,328","1,707","1,153","1,856","1,905"
2021년10월_남_50~59세,"17,147","1,996","3,443","2,096","1,639","1,878","1,533","2,461","2,101"
2021년10월_남_60~69세,"12,941","1,654","2,401","1,386","1,424","1,409","1,286","2,021","1,360"
2021년10월_남_70~79세,"5,203",704,909,614,604,573,486,756,557
2021년10월_남_80~89세,"1,936",143,398,233,240,227,161,293,241
2021년10월_남_90~99세,180,14,48,23,25,19,15,17,19
2021년10월_남_100세 이상,22,0,2,2,13,1,1,2,1
2021년10월_여_총인구수,"97,267","15,570","19,078","11,923","7,978","11,242","7,789","12,749","10,938"
2021년10월_여_연령구간인구수,"97,267","15,570","19,078","11,923","7,978","11,242","7,789","12,749","10,938"
2021년10월_여_0~9세,"6,869","2,104","1,213",818,336,721,346,612,719
2021년10월_여_10~19세,"8,470","1,203","1,784","1,125",545,"1,297",506,942,"1,068"
2021년10월_여_20~29세,"12,716","1,562","2,657","1,672","1,021","1,414","1,166","1,762","1,462"
2021년10월_여_30~39세,"12,547","2,879","2,206","1,496",932,"1,259",890,"1,520","1,365"
2021년10월_여_40~49세,"15,806","2,816","3,156","2,015","1,103","1,975","1,100","1,691","1,950"
2021년10월_여_50~59세,"17,742","2,129","3,801","2,157","1,536","2,036","1,600","2,525","1,958"
2021년10월_여_60~69세,"13,035","1,815","2,310","1,479","1,364","1,486","1,231","2,073","1,277"
2021년10월_여_70~79세,"6,350",737,"1,187",741,688,656,611,"1,023",707
2021년10월_여_80~89세,"3,213",271,653,378,384,347,296,516,368
2021년10월_여_90~99세,489,52,107,42,53,48,42,83,62
2021년10월_여_100세 이상,30,2,4,0,16,3,1,2,2
