,서울특별시 영등포구,서울특별시 영등포구 영등포본동,서울특별시 영등포구 영등포동,서울특별시 영등포구 여의동,서울특별시 영등포구 당산제1동,서울특별시 영등포구 당산제2동,서울특별시 영등포구 도림동,서울특별시 영등포구 문래동,서울특별시 영등포구 양평제1동,서울특별시 영등포구 양평제2동,서울특별시 영등포구 신길제1동,서울특별시 영등포구 신길제3동,서울특별시 영등포구 신길제4동,서울특별시 영등포구 신길제5동,서울특별시 영등포구 신길제6동,서울특별시 영등포구 신길제7동,서울특별시 영등포구 대림제1동,서울특별시 영등포구 대림제2동,서울특별시 영등포구 대림제3동
2021년01월_계_총인구수,"380,169","21,422","28,332","34,022","20,757","37,554","18,205","33,225","17,444","22,321","17,461","16,879","12,255","11,117","18,793","20,256","14,859","12,413","22,854"
2021년01월_계_연령구간인구수,"380,169","21,422","28,332","34,022","20,757","37,554","18,205","33,225","17,444","22,321","17,461","16,879","12,255","11,117","18,793","20,256","14,859","12,413","22,854"
2021년01월_계_0~9세,"25,798","1,428","1,213","2,932","1,144","2,793",975,"3,359","1,225","1,650",591,"1,178",827,814,"1,101","2,088",869,457,"1,154"
2021년01월_계_10~19세,"24,245","1,240",875,"2,897",974,"2,290",945,"2,942","1,009","1,569",874,"1,138",840,757,"1,205","1,746",885,595,"1,464"
2021년01월_계_20~29세,"59,096","2,846","6,814","3,836","3,552","7,330","2,777","3,819","2,744","3,680","3,419","2,162","1,565","1,369","3,168","2,780","2,182","1,904","3,149"
2021년01월_계_30~39세,"69,418","3,302","6,950","5,239","4,258","8,185","3,235","6,214","4,367","5,180","2,986","2,543","1,833","1,631","3,033","3,474","1,990","1,692","3,306"
2021년01월_계_40~49세,"56,449","3,138","3,576","5,438","2,907","5,244","2,707","6,008","2,762","3,319","2,424","2,485","1,901","1,633","2,633","3,334","2,115","1,672","3,153"
2021년01월_계_50~59세,"57,040","3,627","3,616","5,174","3,069","4,852","2,986","4,205","2,045","3,064","2,566","2,882","2,015","1,924","2,957","3,074","2,541","2,206","4,237"
2021년01월_계_60~69세,"47,343","3,216","3,042","4,128","2,645","3,785","2,352","3,602","1,703","2,201","2,292","2,473","1,812","1,681","2,613","2,162","2,185","1,879","3,572"
2021년01월_계_70~79세,"27,449","1,832","1,538","2,672","1,466","2,019","1,484","2,077","1,064","1,108","1,539","1,420",987,899,"1,407","1,076","1,469","1,425","1,967"
2021년01월_계_80~89세,"11,448",678,579,"1,468",645,889,639,843,445,472,662,518,406,343,584,456,538,517,766
2021년01월_계_90~99세,"1,592",102,103,210,82,135,88,128,70,71,84,72,54,49,79,52,69,60,84
2021년01월_계_100세 이상,291,13,26,28,15,32,17,28,10,7,24,8,15,17,13,14,16,6,2
2021년01월_남_총인구수,"187,960","10,977","15,177","15,978","10,194","17,600","9,145","16,286","8,599","11,094","8,873","8,299","6,103","5,386","9,180","10,127","7,370","6,119","11,453"
2021년01월_남_연령구간인구수,"187,960","10,977","15,177","15,978","10,194","17,600","9,145","16,286","8,599","11,094","8,873","8,299","6,103","5,386","9,180","10,127","7,370","6,119","11,453"
2021년01월_남_0~9세,"13,167",714,593,"1,464",578,"1,423",500,"1,732",675,843,294,614,416,402,547,"1,107",459,241,565
2021년01월_남_10~19세,"12,635",659,479,"1,445",482,"1,123",507,"1,526",509,816,438,586,455,377,702,955,494,294,788
2021년01월_남_20~29세,"27,691","1,531","2,933","1,767","1,604","3,024","1,301","1,814","1,175","1,699","1,678","1,068",817,687,"1,481","1,410","1,080",982,"1,640"
2021년01월_남_30~39세,"35,649","1,731","3,880","2,385","2,237","3,942","1,720","2,977","2,259","2,675","1,719","1,305",948,863,"1,543","1,719","1,041",923,"1,782"
2021년01월_남_40~49세,"29,055","1,648","2,114","2,568","1,515","2,580","1,440","3,029","1,473","1,667","1,335","1,278",983,826,"1,345","1,684","1,125",876,"1,569"
2021년01월_남_50~59세,"28,990","1,894","2,244","2,513","1,539","2,325","1,572","2,115","1,053","1,598","1,340","1,434","1,011",922,"1,439","1,524","1,251","1,076","2,140"
2021년01월_남_60~69세,"23,003","1,629","1,838","1,930","1,262","1,831","1,147","1,689",792,"1,098","1,103","1,180",877,765,"1,212","1,046","1,016",856,"1,732"
2021년01월_남_70~79세,"12,596",859,808,"1,187",679,946,675,991,480,490,662,630,426,413,654,493,670,626,907
2021년01월_남_80~89세,"4,652",280,250,634,269,359,253,356,163,185,275,185,154,119,236,172,221,233,308
2021년01월_남_90~99세,444,31,33,81,26,35,23,46,19,20,24,16,10,8,16,15,9,10,22
2021년01월_남_100세 이상,78,1,5,4,3,12,7,11,1,3,5,3,6,4,5,2,4,2,0
2021년01월_여_총인구수,"192,209","10,445","13,155","18,044","10,563","19,954","9,060","16,939","8,845","11,227","8,588","8,580","6,152","5,731","9,613","10,129","7,489","6,294","11,401"
2021년01월_여_연령구간인구수,"192,209","10,445","13,155","18,044","10,563","19,954","9,060","16,939","8,845","11,227","8,588","8,580","6,152","5,731","9,613","10,129","7,489","6,294","11,401"
2021년01월_여_0~9세,"12,631",714,620,"1,468",566,"1,370",475,"1,627",550,807,297,564,411,412,554,981,410,216,589
2021년01월_여_10~19세,"11,610",581,396,"1,452",492,"1,167",438,"1,416",500,753,436,552,385,380,503,791,391,301,676
2021년01월_여_20~29세,"31,405","1,315","3,881","2,069","1,948","4,306","1,476","2,005","1,569","1,981","1,741","1,094",748,682,"1,687","1,370","1,102",922,"1,509"
2021년01월_여_30~39세,"33,769","1,571","3,070","2,854","2,021","4,243","1,515","3,237","2,108","2,505","1,267","1,238",885,768,"1,490","1,755",949,769,"1,524"
2021년01월_여_40~49세,"27,394","1,490","1,462","2,870","1,392","2,664","1,267","2,979","1,289","1,652","1,089","1,207",918,807,"1,288","1,650",990,796,"1,584"
2021년01월_여_50~59세,"28,050","1,733","1,372","2,661","1,530","2,527","1,414","2,090",992,"1,466","1,226","1,448","1,004","1,002","1,518","1,550","1,290","1,130","2,097"
2021년01월_여_60~69세,"24,340","1,587","1,204","2,198","1,383","1,954","1,205","1,913",911,"1,103","1,189","1,293",935,916,"1,401","1,116","1,169","1,023","1,840"
2021년01월_여_70~79세,"14,853",973,730,"1,485",787,"1,073",809,"1,086",584,618,877,790,561,486,753,583,799,799,"1,060"
2021년01월_여_80~89세,"6,796",398,329,834,376,530,386,487,282,287,387,333,252,224,348,284,317,284,458
2021년01월_여_90~99세,"1,148",71,70,129,56,100,65,82,51,51,60,56,44,41,63,37,60,50,62
2021년01월_여_100세 이상,213,12,21,24,12,20,10,17,9,4,19,5,9,13,8,12,12,4,2
