카테고리,전라북도 임실군,전라북도 임실군 임실읍,전라북도 임실군 청웅면,전라북도 임실군 운암면,전라북도 임실군 신평면,전라북도 임실군 성수면,전라북도 임실군 오수면,전라북도 임실군 신덕면,전라북도 임실군 삼계면,전라북도 임실군 관촌면,전라북도 임실군 강진면,전라북도 임실군 덕치면,전라북도 임실군 지사면
2021년05월_계_총인구수,"27,019","7,368","1,286","1,606","1,439","1,658","3,655","1,316","1,517","3,297","1,522","1,157","1,198"
2021년05월_계_연령구간인구수,"27,019","7,368","1,286","1,606","1,439","1,658","3,655","1,316","1,517","3,297","1,522","1,157","1,198"
2021년05월_계_0~9세,"1,326",657,31,54,53,49,109,37,42,159,42,37,56
2021년05월_계_10~19세,"1,646",731,59,59,68,75,219,50,60,162,71,43,49
2021년05월_계_20~29세,"2,009",717,70,102,89,98,267,84,72,255,127,66,62
2021년05월_계_30~39세,"1,847",762,59,86,90,83,232,64,62,214,67,63,65
2021년05월_계_40~49세,"2,726","1,063",113,136,115,135,337,111,114,297,142,73,90
2021년05월_계_50~59세,"4,597","1,064",208,332,240,284,596,238,241,630,312,235,217
2021년05월_계_60~69세,"5,121","1,023",246,399,300,341,771,282,321,667,294,244,233
2021년05월_계_70~79세,"4,237",770,263,244,267,315,601,240,303,524,262,230,218
2021년05월_계_80~89세,"3,051",506,202,163,192,245,455,182,252,349,176,149,180
2021년05월_계_90~99세,442,74,34,31,23,32,68,27,50,36,27,12,28
2021년05월_계_100세 이상,17,1,1,0,2,1,0,1,0,4,2,5,0
2021년05월_남_총인구수,"13,839","3,791",644,839,731,861,"1,839",685,763,"1,692",805,579,610
2021년05월_남_연령구간인구수,"13,839","3,791",644,839,731,861,"1,839",685,763,"1,692",805,579,610
2021년05월_남_0~9세,710,362,13,27,22,25,66,21,20,89,20,12,33
2021년05월_남_10~19세,867,379,29,36,44,44,125,20,29,76,43,18,24
2021년05월_남_20~29세,"1,188",415,45,57,57,63,152,54,44,143,81,35,42
2021년05월_남_30~39세,"1,019",401,34,47,53,53,134,34,35,120,42,35,31
2021년05월_남_40~49세,"1,656",598,78,80,71,88,191,72,75,185,108,47,63
2021년05월_남_50~59세,"2,618",591,121,191,134,155,338,148,143,364,176,142,115
2021년05월_남_60~69세,"2,785",528,139,220,161,196,404,169,172,350,165,141,140
2021년05월_남_70~79세,"1,864",344,113,116,119,136,255,96,142,246,112,92,93
2021년05월_남_80~89세,"1,020",160,63,55,62,94,154,64,92,106,53,56,61
2021년05월_남_90~99세,108,13,8,10,8,6,20,6,11,13,5,0,8
2021년05월_남_100세 이상,4,0,1,0,0,1,0,1,0,0,0,1,0
2021년05월_여_총인구수,"13,180","3,577",642,767,708,797,"1,816",631,754,"1,605",717,578,588
2021년05월_여_연령구간인구수,"13,180","3,577",642,767,708,797,"1,816",631,754,"1,605",717,578,588
2021년05월_여_0~9세,616,295,18,27,31,24,43,16,22,70,22,25,23
2021년05월_여_10~19세,779,352,30,23,24,31,94,30,31,86,28,25,25
2021년05월_여_20~29세,821,302,25,45,32,35,115,30,28,112,46,31,20
2021년05월_여_30~39세,828,361,25,39,37,30,98,30,27,94,25,28,34
2021년05월_여_40~49세,"1,070",465,35,56,44,47,146,39,39,112,34,26,27
2021년05월_여_50~59세,"1,979",473,87,141,106,129,258,90,98,266,136,93,102
2021년05월_여_60~69세,"2,336",495,107,179,139,145,367,113,149,317,129,103,93
2021년05월_여_70~79세,"2,373",426,150,128,148,179,346,144,161,278,150,138,125
2021년05월_여_80~89세,"2,031",346,139,108,130,151,301,118,160,243,123,93,119
2021년05월_여_90~99세,334,61,26,21,15,26,48,21,39,23,22,12,20
2021년05월_여_100세 이상,13,1,0,0,2,0,0,0,0,4,2,4,0
