,전라남도 고흥군,전라남도 고흥군 고흥읍,전라남도 고흥군 도양읍,전라남도 고흥군 도양읍소록출장소,전라남도 고흥군 도양읍시산출장소,전라남도 고흥군 풍양면,전라남도 고흥군 도덕면,전라남도 고흥군 금산면,전라남도 고흥군 도화면,전라남도 고흥군 포두면,전라남도 고흥군 봉래면,전라남도 고흥군 점암면,전라남도 고흥군 과역면,전라남도 고흥군 남양면,전라남도 고흥군 동강면,전라남도 고흥군 대서면,전라남도 고흥군 두원면,전라남도 고흥군 영남면,전라남도 고흥군 동일면
2021년08월_계_총인구수,"63,124","12,430","9,649",598,225,"3,102","2,928","4,324","3,843","4,883","1,868","2,639","3,298","2,294","3,096","2,246","2,983","1,250","1,468"
2021년08월_계_연령구간인구수,"63,124","12,430","9,649",598,225,"3,102","2,928","4,324","3,843","4,883","1,868","2,639","3,298","2,294","3,096","2,246","2,983","1,250","1,468"
2021년08월_계_0~9세,"2,489",979,505,22,1,65,77,119,89,121,52,37,87,59,101,60,55,28,32
2021년08월_계_10~19세,"3,701","1,398",729,22,12,93,112,191,160,222,88,92,109,103,116,72,93,36,53
2021년08월_계_20~29세,"4,002","1,228",728,16,9,129,148,217,196,231,74,111,211,126,197,109,132,58,82
2021년08월_계_30~39세,"3,459","1,110",670,22,16,129,131,162,148,190,62,89,146,112,164,96,93,48,71
2021년08월_계_40~49세,"6,066","1,846","1,133",30,33,223,222,328,292,424,146,199,237,149,259,131,204,85,125
2021년08월_계_50~59세,"9,966","1,998","1,636",31,41,455,468,667,633,799,286,406,556,340,454,358,417,194,227
2021년08월_계_60~69세,"12,959","1,836","1,935",94,33,704,616,950,862,"1,058",427,615,741,585,707,539,611,277,369
2021년08월_계_70~79세,"11,337","1,237","1,474",175,42,712,589,942,793,"1,004",395,569,618,459,578,437,719,303,291
2021년08월_계_80~89세,"7,805",662,729,155,35,501,480,662,571,723,293,421,499,305,439,401,551,184,194
2021년08월_계_90~99세,"1,292",127,106,31,3,88,84,84,93,104,43,100,88,56,77,43,105,36,24
2021년08월_계_100세 이상,48,9,4,0,0,3,1,2,6,7,2,0,6,0,4,0,3,1,0
2021년08월_남_총인구수,"30,683","6,108","4,725",301,120,"1,534","1,408","2,097","1,856","2,354",914,"1,257","1,569","1,085","1,511","1,098","1,410",592,744
2021년08월_남_연령구간인구수,"30,683","6,108","4,725",301,120,"1,534","1,408","2,097","1,856","2,354",914,"1,257","1,569","1,085","1,511","1,098","1,410",592,744
2021년08월_남_0~9세,"1,236",490,248,10,1,35,33,62,32,53,28,14,46,31,52,37,32,13,19
2021년08월_남_10~19세,"1,983",747,384,11,4,47,57,102,80,120,41,49,65,59,64,43,53,24,33
2021년08월_남_20~29세,"2,337",687,410,7,8,89,79,138,114,147,44,81,118,77,113,71,72,31,51
2021년08월_남_30~39세,"1,888",536,350,13,13,81,88,92,91,108,35,48,86,55,97,62,60,32,41
2021년08월_남_40~49세,"3,507",921,596,15,28,159,133,191,192,267,101,135,155,87,162,97,132,51,85
2021년08월_남_50~59세,"5,611","1,068",889,16,25,291,271,384,351,447,173,235,301,205,271,196,249,111,128
2021년08월_남_60~69세,"6,451",843,933,53,18,365,342,460,424,519,217,314,378,295,355,288,311,140,196
2021년08월_남_70~79세,"4,943",576,647,92,15,288,243,411,383,416,173,255,251,182,255,191,304,127,134
2021년08월_남_80~89세,"2,448",217,249,75,8,158,145,234,174,250,88,114,147,90,114,108,176,52,49
2021년08월_남_90~99세,274,21,19,9,0,20,17,22,15,27,13,12,22,4,28,5,21,11,8
2021년08월_남_100세 이상,5,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
2021년08월_여_총인구수,"32,441","6,322","4,924",297,105,"1,568","1,520","2,227","1,987","2,529",954,"1,382","1,729","1,209","1,585","1,148","1,573",658,724
2021년08월_여_연령구간인구수,"32,441","6,322","4,924",297,105,"1,568","1,520","2,227","1,987","2,529",954,"1,382","1,729","1,209","1,585","1,148","1,573",658,724
2021년08월_여_0~9세,"1,253",489,257,12,0,30,44,57,57,68,24,23,41,28,49,23,23,15,13
2021년08월_여_10~19세,"1,718",651,345,11,8,46,55,89,80,102,47,43,44,44,52,29,40,12,20
2021년08월_여_20~29세,"1,665",541,318,9,1,40,69,79,82,84,30,30,93,49,84,38,60,27,31
2021년08월_여_30~39세,"1,571",574,320,9,3,48,43,70,57,82,27,41,60,57,67,34,33,16,30
2021년08월_여_40~49세,"2,559",925,537,15,5,64,89,137,100,157,45,64,82,62,97,34,72,34,40
2021년08월_여_50~59세,"4,355",930,747,15,16,164,197,283,282,352,113,171,255,135,183,162,168,83,99
2021년08월_여_60~69세,"6,508",993,"1,002",41,15,339,274,490,438,539,210,301,363,290,352,251,300,137,173
2021년08월_여_70~79세,"6,394",661,827,83,27,424,346,531,410,588,222,314,367,277,323,246,415,176,157
2021년08월_여_80~89세,"5,357",445,480,80,27,343,335,428,397,473,205,307,352,215,325,293,375,132,145
2021년08월_여_90~99세,"1,018",106,87,22,3,68,67,62,78,77,30,88,66,52,49,38,84,25,16
2021년08월_여_100세 이상,43,7,4,0,0,2,1,1,6,7,1,0,6,0,4,0,3,1,0
