카테고리,인천광역시 미추홀구,인천광역시 미추홀구 숭의2동,인천광역시 미추홀구 숭의1.3동,인천광역시 미추홀구 숭의4동,인천광역시 미추홀구 용현1.4동,인천광역시 미추홀구 용현2동,인천광역시 미추홀구 용현3동,인천광역시 미추홀구 용현5동,인천광역시 미추홀구 학익1동,인천광역시 미추홀구 학익2동,인천광역시 미추홀구 도화1동,인천광역시 미추홀구 도화2.3동,인천광역시 미추홀구 주안1동,인천광역시 미추홀구 주안2동,인천광역시 미추홀구 주안3동,인천광역시 미추홀구 주안4동,인천광역시 미추홀구 주안5동,인천광역시 미추홀구 주안6동,인천광역시 미추홀구 주안7동,인천광역시 미추홀구 주안8동,인천광역시 미추홀구 관교동,인천광역시 미추홀구 문학동
2021년06월_계_총인구수,"404,618","14,725","14,257","16,574","17,304","17,855","7,377","47,786","31,613","18,601","23,205","32,837","20,556","16,628","8,864","13,792","17,239","22,176","12,649","21,289","15,304","13,987"
2021년06월_계_연령구간인구수,"404,618","14,725","14,257","16,574","17,304","17,855","7,377","47,786","31,613","18,601","23,205","32,837","20,556","16,628","8,864","13,792","17,239","22,176","12,649","21,289","15,304","13,987"
2021년06월_계_0~9세,"26,669","1,088","1,086","1,050",618,"1,293",267,"3,968","2,184","1,075","1,572","3,209","1,218",892,441,556,772,"1,917",551,"1,187",972,753
2021년06월_계_10~19세,"31,544",913,851,"1,282",963,"1,302",342,"4,894","3,499","1,698","1,545","2,562",880,"1,066",651,843,"1,137","1,814",931,"1,885","1,323","1,163"
2021년06월_계_20~29세,"56,771","1,955","2,136","2,171","3,964","2,573",862,"6,835","4,134","2,350","3,235","3,937","4,231","2,095","1,194","1,685","2,393","2,794","1,483","2,838","2,006","1,900"
2021년06월_계_30~39세,"55,439","2,186","2,404","2,164","1,838","2,791",846,"6,330","3,282","2,090","3,544","5,793","4,285","2,073",975,"1,499","2,385","3,401","1,292","2,515","1,864","1,882"
2021년06월_계_40~49세,"63,311","2,176","2,062","2,498","2,049","2,607",950,"8,327","5,516","2,884","3,583","5,339","3,146","2,366","1,345","1,839","2,561","3,841","1,873","3,272","2,262","2,815"
2021년06월_계_50~59세,"66,781","2,399","2,258","2,681","2,614","2,746","1,279","7,795","5,649","3,322","3,797","4,776","3,108","2,828","1,487","2,335","3,042","3,272","2,274","3,888","2,674","2,557"
2021년06월_계_60~69세,"57,552","2,113","1,870","2,511","2,631","2,396","1,424","5,581","4,240","2,777","3,211","4,245","2,279","2,860","1,455","2,588","2,731","2,923","2,292","3,247","2,467","1,711"
2021년06월_계_70~79세,"31,173","1,238",998,"1,481","1,773","1,487",903,"2,712","2,121","1,579","1,832","2,014",941,"1,647",909,"1,665","1,439","1,462","1,295","1,681","1,177",819
2021년06월_계_80~89세,"13,315",564,507,636,736,557,444,"1,178",867,713,773,833,402,697,348,683,672,647,573,687,470,328
2021년06월_계_90~99세,"1,971",88,80,98,116,90,53,164,114,109,110,117,62,103,53,98,103,102,82,87,86,56
2021년06월_계_100세 이상,92,5,5,2,2,13,7,2,7,4,3,12,4,1,6,1,4,3,3,2,3,3
2021년06월_남_총인구수,"203,742","7,463","7,149","8,301","9,380","8,952","3,874","23,698","15,756","9,149","11,586","16,663","10,755","8,399","4,475","6,888","8,626","11,049","6,148","10,410","7,512","7,509"
2021년06월_남_연령구간인구수,"203,742","7,463","7,149","8,301","9,380","8,952","3,874","23,698","15,756","9,149","11,586","16,663","10,755","8,399","4,475","6,888","8,626","11,049","6,148","10,410","7,512","7,509"
2021년06월_남_0~9세,"13,623",560,568,524,321,680,133,"2,028","1,090",524,838,"1,632",647,441,221,280,371,987,273,598,524,383
2021년06월_남_10~19세,"16,263",466,431,690,509,706,173,"2,534","1,853",874,757,"1,323",443,561,350,410,559,928,502,933,670,591
2021년06월_남_20~29세,"29,887","1,040","1,053","1,149","2,525","1,269",519,"3,446","2,194","1,275","1,624","2,013","2,091","1,149",640,911,"1,243","1,408",799,"1,502","1,023","1,014"
2021년06월_남_30~39세,"29,776","1,201","1,287","1,172","1,098","1,483",509,"3,206","1,674","1,095","1,891","3,099","2,415","1,104",541,842,"1,349","1,755",694,"1,344",949,"1,068"
2021년06월_남_40~49세,"33,518","1,193","1,140","1,276","1,179","1,355",558,"4,233","2,724","1,445","1,908","2,887","1,811","1,289",717,"1,020","1,407","2,055",964,"1,648","1,128","1,581"
2021년06월_남_50~59세,"33,651","1,230","1,122","1,354","1,360","1,398",714,"3,844","2,836","1,646","1,906","2,357","1,597","1,468",765,"1,205","1,523","1,641","1,082","1,862","1,256","1,485"
2021년06월_남_60~69세,"27,543","1,017",919,"1,204","1,263","1,140",664,"2,727","2,064","1,301","1,521","2,107","1,136","1,342",703,"1,175","1,290","1,327","1,054","1,501","1,199",889
2021년06월_남_70~79세,"14,149",539,439,688,797,697,415,"1,220",974,720,822,919,448,770,398,760,630,673,546,749,576,369
2021년06월_남_80~89세,"4,854",193,178,211,297,201,171,426,322,242,287,304,154,251,118,267,233,257,211,248,163,120
2021년06월_남_90~99세,451,23,11,33,31,19,17,34,22,26,32,17,10,24,20,17,19,18,22,25,23,8
2021년06월_남_100세 이상,27,1,1,0,0,4,1,0,3,1,0,5,3,0,2,1,2,0,1,0,1,1
2021년06월_여_총인구수,"200,876","7,262","7,108","8,273","7,924","8,903","3,503","24,088","15,857","9,452","11,619","16,174","9,801","8,229","4,389","6,904","8,613","11,127","6,501","10,879","7,792","6,478"
2021년06월_여_연령구간인구수,"200,876","7,262","7,108","8,273","7,924","8,903","3,503","24,088","15,857","9,452","11,619","16,174","9,801","8,229","4,389","6,904","8,613","11,127","6,501","10,879","7,792","6,478"
2021년06월_여_0~9세,"13,046",528,518,526,297,613,134,"1,940","1,094",551,734,"1,577",571,451,220,276,401,930,278,589,448,370
2021년06월_여_10~19세,"15,281",447,420,592,454,596,169,"2,360","1,646",824,788,"1,239",437,505,301,433,578,886,429,952,653,572
2021년06월_여_20~29세,"26,884",915,"1,083","1,022","1,439","1,304",343,"3,389","1,940","1,075","1,611","1,924","2,140",946,554,774,"1,150","1,386",684,"1,336",983,886
2021년06월_여_30~39세,"25,663",985,"1,117",992,740,"1,308",337,"3,124","1,608",995,"1,653","2,694","1,870",969,434,657,"1,036","1,646",598,"1,171",915,814
2021년06월_여_40~49세,"29,793",983,922,"1,222",870,"1,252",392,"4,094","2,792","1,439","1,675","2,452","1,335","1,077",628,819,"1,154","1,786",909,"1,624","1,134","1,234"
2021년06월_여_50~59세,"33,130","1,169","1,136","1,327","1,254","1,348",565,"3,951","2,813","1,676","1,891","2,419","1,511","1,360",722,"1,130","1,519","1,631","1,192","2,026","1,418","1,072"
2021년06월_여_60~69세,"30,009","1,096",951,"1,307","1,368","1,256",760,"2,854","2,176","1,476","1,690","2,138","1,143","1,518",752,"1,413","1,441","1,596","1,238","1,746","1,268",822
2021년06월_여_70~79세,"17,024",699,559,793,976,790,488,"1,492","1,147",859,"1,010","1,095",493,877,511,905,809,789,749,932,601,450
