카테고리,대구광역시,대구광역시 중구,대구광역시 동구,대구광역시 서구,대구광역시 남구,대구광역시 북구,대구광역시 수성구,대구광역시 달서구,대구광역시 달성군
2020년11월_계_총인구수,"2,421,859","76,727","342,432","171,060","146,658","440,736","424,947","560,354","258,945"
2020년11월_계_연령구간인구수,"2,421,859","76,727","342,432","171,060","146,658","440,736","424,947","560,354","258,945"
2020년11월_계_0~9세,"178,930","5,186","25,372","7,618","6,806","34,189","29,716","40,552","29,491"
2020년11월_계_10~19세,"226,927","5,101","26,652","10,940","9,457","43,547","51,693","55,621","23,916"
2020년11월_계_20~29세,"322,503","11,892","41,770","21,749","20,452","62,209","55,634","79,736","29,061"
2020년11월_계_30~39세,"295,408","10,820","44,061","17,566","17,193","54,195","42,953","66,967","41,653"
2020년11월_계_40~49세,"384,997","10,799","51,545","22,956","20,439","72,884","73,100","89,849","43,425"
2020년11월_계_50~59세,"426,294","11,389","57,120","34,442","25,040","78,259","75,289","103,958","40,797"
2020년11월_계_60~69세,"324,511","10,200","51,236","30,920","23,927","53,609","51,992","73,012","29,615"
2020년11월_계_70~79세,"175,011","7,364","30,186","17,175","15,138","28,253","28,749","34,211","13,935"
2020년11월_계_80~89세,"77,193","3,397","12,900","6,834","7,191","12,115","13,888","14,643","6,225"
2020년11월_계_90~99세,"9,355",477,"1,466",758,930,"1,379","1,833","1,714",798
2020년11월_계_100세 이상,730,102,124,102,85,97,100,91,29
2020년11월_남_총인구수,"1,195,081","36,930","168,712","85,757","70,450","219,512","205,632","276,555","131,533"
2020년11월_남_연령구간인구수,"1,195,081","36,930","168,712","85,757","70,450","219,512","205,632","276,555","131,533"
2020년11월_남_0~9세,"91,649","2,686","12,940","3,931","3,514","17,496","15,284","20,780","15,018"
2020년11월_남_10~19세,"118,587","2,635","13,992","5,701","4,979","22,633","27,292","28,844","12,511"
2020년11월_남_20~29세,"172,473","5,696","22,367","11,997","10,264","33,791","29,885","42,517","15,956"
2020년11월_남_30~39세,"153,596","5,600","23,207","9,965","8,994","28,348","20,890","34,853","21,739"
2020년11월_남_40~49세,"189,849","5,487","26,568","12,305","10,294","35,752","33,288","43,494","22,661"
2020년11월_남_50~59세,"208,679","5,616","27,699","17,317","12,192","38,779","36,467","50,277","20,332"
2020년11월_남_60~69세,"154,521","4,698","23,834","14,492","10,948","26,087","24,502","35,234","14,726"
2020년11월_남_70~79세,"76,427","3,116","13,134","7,531","6,436","12,114","12,517","15,204","6,375"
2020년11월_남_80~89세,"27,066","1,261","4,612","2,353","2,590","4,208","5,047","4,963","2,032"
2020년11월_남_90~99세,"2,058",114,322,141,221,283,433,370,174
2020년11월_남_100세 이상,176,21,37,24,18,21,27,19,9
2020년11월_여_총인구수,"1,226,778","39,797","173,720","85,303","76,208","221,224","219,315","283,799","127,412"
2020년11월_여_연령구간인구수,"1,226,778","39,797","173,720","85,303","76,208","221,224","219,315","283,799","127,412"
2020년11월_여_0~9세,"87,281","2,500","12,432","3,687","3,292","16,693","14,432","19,772","14,473"
2020년11월_여_10~19세,"108,340","2,466","12,660","5,239","4,478","20,914","24,401","26,777","11,405"
2020년11월_여_20~29세,"150,030","6,196","19,403","9,752","10,188","28,418","25,749","37,219","13,105"
2020년11월_여_30~39세,"141,812","5,220","20,854","7,601","8,199","25,847","22,063","32,114","19,914"
2020년11월_여_40~49세,"195,148","5,312","24,977","10,651","10,145","37,132","39,812","46,355","20,764"
2020년11월_여_50~59세,"217,615","5,773","29,421","17,125","12,848","39,480","38,822","53,681","20,465"
2020년11월_여_60~69세,"169,990","5,502","27,402","16,428","12,979","27,522","27,490","37,778","14,889"
2020년11월_여_70~79세,"98,584","4,248","17,052","9,644","8,702","16,139","16,232","19,007","7,560"
2020년11월_여_80~89세,"50,127","2,136","8,288","4,481","4,601","7,907","8,841","9,680","4,193"
2020년11월_여_90~99세,"7,297",363,"1,144",617,709,"1,096","1,400","1,344",624
2020년11월_여_100세 이상,554,81,87,78,67,76,73,72,20
