,부산광역시 부산진구,부산광역시 부산진구 부전제1동,부산광역시 부산진구 부전제2동,부산광역시 부산진구 연지동,부산광역시 부산진구 초읍동,부산광역시 부산진구 양정제1동,부산광역시 부산진구 양정제2동,부산광역시 부산진구 전포제1동,부산광역시 부산진구 전포제2동,부산광역시 부산진구 부암제1동,부산광역시 부산진구 부암제3동,부산광역시 부산진구 당감제1동,부산광역시 부산진구 당감제2동,부산광역시 부산진구 당감제4동,부산광역시 부산진구 가야제1동,부산광역시 부산진구 가야제2동,부산광역시 부산진구 개금제1동,부산광역시 부산진구 개금제2동,부산광역시 부산진구 개금제3동,부산광역시 부산진구 범천제1동,부산광역시 부산진구 범천제2동
2020년09월_계_총인구수,"357,558","15,541","10,081","20,711","22,441","20,571","13,026","18,066","21,331","22,898","18,137","24,058","10,350","11,847","20,105","17,195","17,254","11,479","29,672","12,091","20,704"
2020년09월_계_연령구간인구수,"357,558","15,541","10,081","20,711","22,441","20,571","13,026","18,066","21,331","22,898","18,137","24,058","10,350","11,847","20,105","17,195","17,254","11,479","29,672","12,091","20,704"
2020년09월_계_0~9세,"21,366",637,644,"1,483","1,313","1,246",573,895,"1,038","1,968","1,170","1,237",774,728,955,"1,066","1,267",668,"1,906",512,"1,286"
2020년09월_계_10~19세,"25,118",564,489,"1,872","1,580","1,571",629,"1,004","1,213","1,859","1,968","2,063",703,974,"1,264","1,391",995,862,"2,562",491,"1,064"
2020년09월_계_20~29세,"52,244","3,244","1,977","2,111","2,337","2,952","2,919","4,060","3,422","2,535","2,064","2,944","1,275","1,303","3,248","2,153","3,351","1,616","3,716","2,466","2,551"
2020년09월_계_30~39세,"47,547","2,432","1,786","2,326","2,493","2,510","2,300","3,151","3,091","3,074","1,807","2,401","1,664","1,356","2,322","1,922","2,815","1,217","3,462","2,221","3,197"
2020년09월_계_40~49세,"51,458","1,764","1,499","3,346","3,152","3,057","1,802","2,399","3,007","3,761","2,939","3,556","1,500","1,815","2,750","2,420","2,440","1,592","4,317","1,569","2,773"
2020년09월_계_50~59세,"58,547","2,556","1,546","3,260","3,691","3,616","1,676","2,279","3,127","3,749","3,443","4,509","1,519","2,281","3,443","2,919","2,555","1,970","5,462","1,735","3,211"
2020년09월_계_60~69세,"55,179","2,395","1,297","3,349","4,055","3,023","1,622","2,132","3,303","3,190","2,680","4,076","1,586","1,877","3,382","2,943","2,125","1,915","4,932","1,684","3,613"
2020년09월_계_70~79세,"31,647","1,338",567,"2,029","2,662","1,717","1,022","1,421","2,150","1,975","1,460","2,158",921,"1,048","1,972","1,688","1,201","1,143","2,183",928,"2,064"
2020년09월_계_80~89세,"12,717",526,224,826,"1,037",782,419,619,876,671,532,967,365,413,685,602,452,454,"1,010",422,835
2020년09월_계_90~99세,"1,507",71,45,103,109,85,56,90,91,84,62,135,36,45,76,79,50,39,113,54,84
2020년09월_계_100세 이상,228,14,7,6,12,12,8,16,13,32,12,12,7,7,8,12,3,3,9,9,26
2020년09월_남_총인구수,"172,829","7,821","5,034","9,787","10,897","9,794","5,973","8,612","10,032","11,168","8,942","11,496","4,978","5,815","10,022","8,389","8,230","5,620","14,371","5,767","10,081"
2020년09월_남_연령구간인구수,"172,829","7,821","5,034","9,787","10,897","9,794","5,973","8,612","10,032","11,168","8,942","11,496","4,978","5,815","10,022","8,389","8,230","5,620","14,371","5,767","10,081"
2020년09월_남_0~9세,"10,833",314,343,733,690,623,293,434,545,"1,015",591,606,395,381,465,545,645,313,998,246,658
2020년09월_남_10~19세,"12,808",306,241,934,871,797,295,499,621,942,"1,017","1,050",355,478,660,725,483,437,"1,278",250,569
2020년09월_남_20~29세,"25,689","1,506",961,"1,115","1,242","1,484","1,177","1,816","1,583","1,297","1,131","1,590",621,698,"1,747","1,143","1,469",873,"1,955","1,073","1,208"
2020년09월_남_30~39세,"24,276","1,321",959,"1,188","1,294","1,248","1,098","1,621","1,529","1,500",918,"1,252",848,686,"1,268",967,"1,417",662,"1,729","1,111","1,660"
2020년09월_남_40~49세,"25,958",951,789,"1,602","1,595","1,507",901,"1,217","1,470","1,918","1,429","1,724",760,918,"1,471","1,200","1,263",788,"2,133",810,"1,512"
2020년09월_남_50~59세,"28,387","1,392",744,"1,500","1,756","1,705",847,"1,156","1,488","1,812","1,705","2,142",710,"1,129","1,694","1,395","1,253",973,"2,545",891,"1,550"
2020년09월_남_60~69세,"25,965","1,214",643,"1,505","1,837","1,414",757,"1,005","1,497","1,532","1,274","1,889",718,906,"1,582","1,352",969,904,"2,407",818,"1,742"
2020년09월_남_70~79세,"13,932",611,263,871,"1,199",716,434,608,929,891,666,902,419,469,862,794,557,497,967,405,872
2020년09월_남_80~89세,"4,575",187,78,309,388,275,156,231,348,229,194,311,141,141,257,242,164,161,339,145,279
2020년09월_남_90~99세,358,16,13,28,24,21,11,22,18,25,14,29,10,7,16,23,10,11,19,16,25
2020년09월_남_100세 이상,48,3,0,2,1,4,4,3,4,7,3,1,1,2,0,3,0,1,1,2,6
2020년09월_여_총인구수,"184,729","7,720","5,047","10,924","11,544","10,777","7,053","9,454","11,299","11,730","9,195","12,562","5,372","6,032","10,083","8,806","9,024","5,859","15,301","6,324","10,623"
2020년09월_여_연령구간인구수,"184,729","7,720","5,047","10,924","11,544","10,777","7,053","9,454","11,299","11,730","9,195","12,562","5,372","6,032","10,083","8,806","9,024","5,859","15,301","6,324","10,623"
2020년09월_여_0~9세,"10,533",323,301,750,623,623,280,461,493,953,579,631,379,347,490,521,622,355,908,266,628
2020년09월_여_10~19세,"12,310",258,248,938,709,774,334,505,592,917,951,"1,013",348,496,604,666,512,425,"1,284",241,495
