카테고리,광주광역시 북구,광주광역시 북구 중흥1동,광주광역시 북구 중흥2동,광주광역시 북구 중흥3동,광주광역시 북구 중앙동,광주광역시 북구 임동,광주광역시 북구 신안동,광주광역시 북구 용봉동,광주광역시 북구 운암1동,광주광역시 북구 운암2동,광주광역시 북구 운암3동,광주광역시 북구 동림동,광주광역시 북구 우산동,광주광역시 북구 풍향동,광주광역시 북구 문화동,광주광역시 북구 문흥1동,광주광역시 북구 문흥2동,광주광역시 북구 두암1동,광주광역시 북구 두암2동,광주광역시 북구 두암3동,광주광역시 북구 삼각동,광주광역시 북구 일곡동,광주광역시 북구 매곡동,광주광역시 북구 오치1동,광주광역시 북구 오치2동,광주광역시 북구 석곡동,광주광역시 북구 건국동,광주광역시 북구 양산동,광주광역시 북구 신용동
2021년01월_계_총인구수,"430,516","5,036","6,857","4,910","3,267","7,883","11,854","38,522","19,495","12,358","13,102","23,784","10,689","5,974","20,255","16,305","16,070","7,935","16,338","13,870","14,347","30,449","14,100","11,286","12,750","2,653","22,601","38,187","29,639"
2021년01월_계_연령구간인구수,"430,516","5,036","6,857","4,910","3,267","7,883","11,854","38,522","19,495","12,358","13,102","23,784","10,689","5,974","20,255","16,305","16,070","7,935","16,338","13,870","14,347","30,449","14,100","11,286","12,750","2,653","22,601","38,187","29,639"
2021년01월_계_0~9세,"33,347",227,270,263,83,544,444,"2,646","1,755",563,899,"2,200",401,543,"1,556","1,099","1,112",296,899,459,"1,002","2,439","1,198",661,504,72,"2,702","3,978","4,532"
2021년01월_계_10~19세,"42,829",198,468,306,118,560,683,"3,791","2,276",930,"1,420","2,376",674,526,"1,605","1,921","1,471",646,"1,377",856,"1,699","4,674","1,737","1,047",821,143,"2,535","4,149","3,822"
2021년01월_계_20~29세,"62,360",961,"1,356",914,512,910,"2,226","7,214","2,551","1,771","1,940","3,081","1,354",735,"2,501","2,427","2,612","1,132","2,329","1,636","2,319","4,771","1,992","1,840","1,949",247,"2,788","5,193","3,099"
2021년01월_계_30~39세,"55,559",979,779,715,410,"1,106","1,723","4,717","2,281","1,372","1,487","3,634",997,816,"2,863","1,632","1,991",777,"1,811","1,301","1,706","2,967","1,684","1,269","1,485",214,"3,583","6,003","5,257"
2021년01월_계_40~49세,"67,434",619,890,730,399,"1,157","1,586","5,612","3,104","1,658","1,895","3,900","1,303",940,"2,900","2,461","2,400","1,052","2,219","1,627","2,440","5,755","2,295","1,659","1,600",247,"4,055","6,641","6,290"
2021년01월_계_50~59세,"71,885",693,972,680,571,"1,238","1,908","6,695","3,111","2,174","2,346","3,884","1,832",917,"3,387","3,043","2,613","1,399","2,924","2,658","2,658","5,613","2,478","2,153","2,485",545,"3,359","5,883","3,666"
2021년01월_계_60~69세,"53,606",695,"1,002",637,579,"1,164","1,666","4,503","2,664","2,094","1,859","2,802","2,077",747,"2,921","2,178","2,087","1,303","2,653","2,776","1,488","2,342","1,545","1,536","2,149",566,"1,994","3,704","1,875"
2021년01월_계_70~79세,"29,527",457,743,461,388,872,"1,104","2,379","1,273","1,244",830,"1,357","1,387",517,"1,695","1,049","1,195",930,"1,500","1,646",722,"1,183",763,795,"1,122",371,999,"1,784",761
2021년01월_계_80~89세,"12,107",179,332,183,162,283,449,851,411,500,367,472,567,199,717,435,514,343,540,795,268,617,353,278,555,208,504,734,291
