,경상북도 청도군,경상북도 청도군 화양읍,경상북도 청도군 화양읍남성현출장소,경상북도 청도군 청도읍,경상북도 청도군 청도읍유호출장소,경상북도 청도군 각남면,경상북도 청도군 풍각면,경상북도 청도군 각북면,경상북도 청도군 이서면,경상북도 청도군 운문면,경상북도 청도군 금천면,경상북도 청도군 매전면
2020년05월_계_총인구수,"42,651","7,172","1,133","10,441","1,633","2,148","3,989","2,253","4,566","2,127","3,364","3,825"
2020년05월_계_연령구간인구수,"42,651","7,172","1,133","10,441","1,633","2,148","3,989","2,253","4,566","2,127","3,364","3,825"
2020년05월_계_0~9세,"1,576",464,50,494,37,51,128,62,129,37,59,65
2020년05월_계_10~19세,"2,355",675,23,735,57,77,179,72,273,45,113,106
2020년05월_계_20~29세,"2,942",598,56,902,90,120,234,141,291,133,184,193
2020년05월_계_30~39세,"2,948",659,104,886,99,117,264,112,264,112,148,183
2020년05월_계_40~49세,"4,558","1,038",103,"1,367",138,168,362,159,474,197,265,287
2020년05월_계_50~59세,"7,527","1,235",170,"1,808",279,343,719,461,797,433,594,688
2020년05월_계_60~69세,"9,394","1,209",269,"2,070",436,523,939,566,"1,044",510,843,985
2020년05월_계_70~79세,"6,542",753,193,"1,310",305,433,641,396,744,352,667,748
2020년05월_계_80~89세,"4,208",467,148,769,168,270,465,257,465,270,422,507
2020년05월_계_90~99세,581,69,15,97,23,46,55,27,83,38,66,62
2020년05월_계_100세 이상,20,5,2,3,1,0,3,0,2,0,3,1
2020년05월_남_총인구수,"20,913","3,494",569,"5,125",795,"1,020","1,955","1,114","2,206","1,034","1,688","1,913"
2020년05월_남_연령구간인구수,"20,913","3,494",569,"5,125",795,"1,020","1,955","1,114","2,206","1,034","1,688","1,913"
2020년05월_남_0~9세,807,242,26,245,11,30,63,34,65,23,37,31
2020년05월_남_10~19세,"1,204",332,18,367,39,34,83,29,150,30,67,55
2020년05월_남_20~29세,"1,746",340,34,525,57,79,141,88,164,74,116,128
2020년05월_남_30~39세,"1,580",330,55,473,60,69,148,61,124,60,84,116
2020년05월_남_40~49세,"2,540",540,70,743,85,96,215,84,258,99,165,185
2020년05월_남_50~59세,"3,930",615,89,935,144,174,378,232,418,240,340,365
2020년05월_남_60~69세,"4,704",606,128,"1,024",205,259,466,311,499,280,423,503
2020년05월_남_70~79세,"2,968",331,87,562,137,191,294,178,376,139,320,353
2020년05월_남_80~89세,"1,312",140,59,232,55,76,149,95,139,79,125,163
2020년05월_남_90~99세,121,18,2,19,2,12,18,2,13,10,11,14
2020년05월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0
2020년05월_여_총인구수,"21,738","3,678",564,"5,316",838,"1,128","2,034","1,139","2,360","1,093","1,676","1,912"
2020년05월_여_연령구간인구수,"21,738","3,678",564,"5,316",838,"1,128","2,034","1,139","2,360","1,093","1,676","1,912"
2020년05월_여_0~9세,769,222,24,249,26,21,65,28,64,14,22,34
2020년05월_여_10~19세,"1,151",343,5,368,18,43,96,43,123,15,46,51
2020년05월_여_20~29세,"1,196",258,22,377,33,41,93,53,127,59,68,65
2020년05월_여_30~39세,"1,368",329,49,413,39,48,116,51,140,52,64,67
2020년05월_여_40~49세,"2,018",498,33,624,53,72,147,75,216,98,100,102
2020년05월_여_50~59세,"3,597",620,81,873,135,169,341,229,379,193,254,323
2020년05월_여_60~69세,"4,690",603,141,"1,046",231,264,473,255,545,230,420,482
2020년05월_여_70~79세,"3,574",422,106,748,168,242,347,218,368,213,347,395
2020년05월_여_80~89세,"2,896",327,89,537,113,194,316,162,326,191,297,344
2020년05월_여_90~99세,460,51,13,78,21,34,37,25,70,28,55,48
2020년05월_여_100세 이상,19,5,1,3,1,0,3,0,2,0,3,1
