카테고리,강원도 양구군,강원도 양구군 양구읍,강원도 양구군 남면,강원도 양구군 국토정중앙면,강원도 양구군 동면,강원도 양구군 방산면,강원도 양구군 해안면
2021년01월_계_총인구수,"22,161","14,113",0,"3,369","2,015","1,341","1,323"
2021년01월_계_연령구간인구수,"22,161","14,113",0,"3,369","2,015","1,341","1,323"
2021년01월_계_0~9세,"1,685","1,426",0,111,65,43,40
2021년01월_계_10~19세,"1,988","1,573",0,181,87,62,85
2021년01월_계_20~29세,"3,142","1,850",0,435,436,305,116
2021년01월_계_30~39세,"2,524","1,958",0,244,132,100,90
2021년01월_계_40~49세,"2,544","1,869",0,297,152,83,143
2021년01월_계_50~59세,"3,536","2,030",0,657,356,209,284
2021년01월_계_60~69세,"3,386","1,809",0,690,350,264,273
2021년01월_계_70~79세,"2,027",951,0,462,269,158,187
2021년01월_계_80~89세,"1,161",569,0,252,144,104,92
2021년01월_계_90~99세,153,67,0,36,24,13,13
2021년01월_계_100세 이상,15,11,0,4,0,0,0
2021년01월_남_총인구수,"11,759","7,234",0,"1,859","1,156",797,713
2021년01월_남_연령구간인구수,"11,759","7,234",0,"1,859","1,156",797,713
2021년01월_남_0~9세,850,711,0,61,32,20,26
2021년01월_남_10~19세,"1,005",778,0,99,43,36,49
2021년01월_남_20~29세,"2,113","1,114",0,339,334,256,70
2021년01월_남_30~39세,"1,402","1,045",0,149,92,67,49
2021년01월_남_40~49세,"1,388",988,0,176,89,48,87
2021년01월_남_50~59세,"1,882","1,048",0,370,188,117,159
2021년01월_남_60~69세,"1,799",934,0,369,199,147,150
2021년01월_남_70~79세,874,401,0,201,117,65,90
2021년01월_남_80~89세,400,189,0,85,55,39,32
2021년01월_남_90~99세,40,21,0,9,7,2,1
2021년01월_남_100세 이상,6,5,0,1,0,0,0
2021년01월_여_총인구수,"10,402","6,879",0,"1,510",859,544,610
2021년01월_여_연령구간인구수,"10,402","6,879",0,"1,510",859,544,610
2021년01월_여_0~9세,835,715,0,50,33,23,14
2021년01월_여_10~19세,983,795,0,82,44,26,36
2021년01월_여_20~29세,"1,029",736,0,96,102,49,46
2021년01월_여_30~39세,"1,122",913,0,95,40,33,41
2021년01월_여_40~49세,"1,156",881,0,121,63,35,56
2021년01월_여_50~59세,"1,654",982,0,287,168,92,125
2021년01월_여_60~69세,"1,587",875,0,321,151,117,123
2021년01월_여_70~79세,"1,153",550,0,261,152,93,97
2021년01월_여_80~89세,761,380,0,167,89,65,60
2021년01월_여_90~99세,113,46,0,27,17,11,12
2021년01월_여_100세 이상,9,6,0,3,0,0,0
