카테고리,전라북도 군산시,전라북도 군산시 옥구읍,전라북도 군산시 옥산면,전라북도 군산시 회현면,전라북도 군산시 임피면,전라북도 군산시 서수면,전라북도 군산시 대야면,전라북도 군산시 개정면,전라북도 군산시 성산면,전라북도 군산시 나포면,전라북도 군산시 옥도면,전라북도 군산시 옥서면,전라북도 군산시 해신동,전라북도 군산시 월명동,전라북도 군산시 신풍동,전라북도 군산시 삼학동,전라북도 군산시 중앙동,전라북도 군산시 흥남동,전라북도 군산시 조촌동,전라북도 군산시 경암동,전라북도 군산시 구암동,전라북도 군산시 개정동,전라북도 군산시 수송동,전라북도 군산시 나운1동,전라북도 군산시 나운2동,전라북도 군산시 나운3동,전라북도 군산시 소룡동,전라북도 군산시 미성동
2020년06월_계_총인구수,"268,356","3,251","4,746","3,496","2,726","2,621","5,134","3,057","2,945","2,242","3,532","3,090","2,458","5,838","7,425","5,863","2,876","13,028","22,100","7,646","5,523","2,941","55,835","13,119","24,094","33,066","17,042","12,662"
2020년06월_계_연령구간인구수,"268,356","3,251","4,746","3,496","2,726","2,621","5,134","3,057","2,945","2,242","3,532","3,090","2,458","5,838","7,425","5,863","2,876","13,028","22,100","7,646","5,523","2,941","55,835","13,119","24,094","33,066","17,042","12,662"
2020년06월_계_0~9세,"21,708",97,596,183,69,77,165,79,94,52,110,131,129,228,389,178,78,"1,143","2,506",410,331,166,"6,997",705,"1,849","2,858","1,298",790
2020년06월_계_10~19세,"27,176",124,370,357,120,114,250,158,151,103,198,140,144,431,640,349,111,"1,152","2,094",515,484,256,"7,738","1,223","2,972","4,374","1,683",925
2020년06월_계_20~29세,"29,653",260,394,257,235,177,358,282,246,141,349,253,182,496,814,617,196,"1,449","2,525",755,594,319,"6,693","1,661","2,984","4,229","1,836","1,351"
2020년06월_계_30~39세,"31,558",206,726,221,155,166,391,181,198,129,275,241,236,517,627,435,225,"1,741","3,801",791,564,268,"7,993","1,408","2,297","3,856","2,237","1,673"
2020년06월_계_40~49세,"43,931",321,731,507,265,250,552,317,296,236,537,383,278,766,"1,021",656,340,"2,001","3,597","1,123",738,371,"10,972","1,887","3,991","6,314","3,223","2,258"
2020년06월_계_50~59세,"43,957",613,687,562,502,473,844,628,600,394,755,469,381,"1,003","1,154",997,476,"2,061","3,106","1,282","1,011",504,"7,826","2,454","4,142","5,547","3,093","2,393"
2020년06월_계_60~69세,"36,505",687,601,591,613,570,"1,126",655,640,505,710,616,503,"1,154","1,337","1,168",677,"1,770","2,525","1,379","1,006",517,"4,433","2,174","3,247","3,338","2,183","1,780"
2020년06월_계_70~79세,"22,366",555,363,460,436,418,850,460,443,386,408,543,437,852,"1,009",967,547,"1,219","1,344","1,004",570,340,"2,204","1,143","1,662","1,730","1,031",985
2020년06월_계_80~89세,"9,908",329,240,308,263,309,503,261,235,254,168,265,142,334,379,435,190,437,525,337,191,173,845,399,840,730,374,442
2020년06월_계_90~99세,"1,476",54,38,50,64,61,87,32,41,39,18,43,19,46,50,56,33,52,73,46,33,25,129,65,108,84,73,57
2020년06월_계_100세 이상,118,5,0,0,4,6,8,4,1,3,4,6,7,11,5,5,3,3,4,4,1,2,5,0,2,6,11,8
2020년06월_남_총인구수,"135,579","1,667","2,422","1,790","1,379","1,315","2,552","1,560","1,491","1,168","1,982","1,560","1,191","2,922","3,697","2,868","1,481","6,562","11,255","3,842","2,778","1,505","27,764","6,566","11,656","16,508","9,252","6,846"
2020년06월_남_연령구간인구수,"135,579","1,667","2,422","1,790","1,379","1,315","2,552","1,560","1,491","1,168","1,982","1,560","1,191","2,922","3,697","2,868","1,481","6,562","11,255","3,842","2,778","1,505","27,764","6,566","11,656","16,508","9,252","6,846"
2020년06월_남_0~9세,"11,060",47,309,93,36,44,83,39,40,33,56,70,60,121,206,94,43,609,"1,287",204,165,77,"3,551",365,905,"1,450",676,397
2020년06월_남_10~19세,"14,093",68,177,194,65,53,142,90,75,55,109,72,70,222,327,175,53,596,"1,117",271,253,150,"4,017",658,"1,477","2,241",871,495
2020년06월_남_20~29세,"16,185",163,225,143,141,111,201,169,156,84,212,146,86,282,460,357,106,764,"1,327",415,335,193,"3,494",934,"1,615","2,274","1,017",775
2020년06월_남_30~39세,"16,475",130,357,115,89,100,214,103,100,72,181,134,125,282,327,239,139,912,"1,999",461,296,150,"3,826",764,"1,121","1,954","1,301",984
2020년06월_남_40~49세,"23,046",197,414,296,172,160,336,178,163,145,349,231,160,409,542,365,219,"1,069","1,878",630,379,187,"5,379",927,"1,875","3,160","1,852","1,374"
2020년06월_남_50~59세,"23,003",343,368,330,272,265,482,335,310,241,425,265,189,535,590,504,262,"1,069","1,581",655,477,255,"4,062","1,197","2,084","2,797","1,753","1,357"
2020년06월_남_60~69세,"18,018",344,316,312,320,295,533,345,342,266,400,302,240,545,607,549,310,827,"1,220",628,522,251,"2,163","1,057","1,593","1,630","1,184",917
2020년06월_남_70~79세,"10,012",251,173,189,198,180,369,217,210,182,188,245,205,378,484,406,274,532,648,436,271,162,974,513,705,738,466,418
2020년06월_남_80~89세,"3,350",113,79,109,71,91,169,83,84,80,56,81,49,134,143,163,67,175,186,128,76,72,270,140,254,242,114,121
2020년06월_남_90~99세,301,9,4,9,15,14,22,1,11,9,4,13,4,10,10,14,7,8,12,12,3,7,25,11,27,19,13,8
2020년06월_남_100세 이상,36,2,0,0,0,2,1,0,0,1,2,1,3,4,1,2,1,1,0,2,1,1,3,0,0,3,5,0
2020년06월_여_총인구수,"132,777","1,584","2,324","1,706","1,347","1,306","2,582","1,497","1,454","1,074","1,550","1,530","1,267","2,916","3,728","2,995","1,395","6,466","10,845","3,804","2,745","1,436","28,071","6,553","12,438","16,558","7,790","5,816"
2020년06월_여_연령구간인구수,"132,777","1,584","2,324","1,706","1,347","1,306","2,582","1,497","1,454","1,074","1,550","1,530","1,267","2,916","3,728","2,995","1,395","6,466","10,845","3,804","2,745","1,436","28,071","6,553","12,438","16,558","7,790","5,816"
2020년06월_여_0~9세,"10,648",50,287,90,33,33,82,40,54,19,54,61,69,107,183,84,35,534,"1,219",206,166,89,"3,446",340,944,"1,408",622,393
2020년06월_여_10~19세,"13,083",56,193,163,55,61,108,68,76,48,89,68,74,209,313,174,58,556,977,244,231,106,"3,721",565,"1,495","2,133",812,430
2020년06월_여_20~29세,"13,468",97,169,114,94,66,157,113,90,57,137,107,96,214,354,260,90,685,"1,198",340,259,126,"3,199",727,"1,369","1,955",819,576
2020년06월_여_30~39세,"15,083",76,369,106,66,66,177,78,98,57,94,107,111,235,300,196,86,829,"1,802",330,268,118,"4,167",644,"1,176","1,902",936,689
2020년06월_여_40~49세,"20,885",124,317,211,93,90,216,139,133,91,188,152,118,357,479,291,121,932,"1,719",493,359,184,"5,593",960,"2,116","3,154","1,371",884
2020년06월_여_50~59세,"20,954",270,319,232,230,208,362,293,290,153,330,204,192,468,564,493,214,992,"1,525",627,534,249,"3,764","1,257","2,058","2,750","1,340","1,036"
2020년06월_여_60~69세,"18,487",343,285,279,293,275,593,310,298,239,310,314,263,609,730,619,367,943,"1,305",751,484,266,"2,270","1,117","1,654","1,708",999,863
2020년06월_여_70~79세,"12,354",304,190,271,238,238,481,243,233,204,220,298,232,474,525,561,273,687,696,568,299,178,"1,230",630,957,992,565,567
2020년06월_여_80~89세,"6,558",216,161,199,192,218,334,178,151,174,112,184,93,200,236,272,123,262,339,209,115,101,575,259,586,488,260,321
2020년06월_여_90~99세,"1,175",45,34,41,49,47,65,31,30,30,14,30,15,36,40,42,26,44,61,34,30,18,104,54,81,65,60,49
2020년06월_여_100세 이상,82,3,0,0,4,4,7,4,1,2,2,5,4,7,4,3,2,2,4,2,0,1,2,0,2,3,6,8
