,전라남도 담양군,전라남도 담양군 담양읍,전라남도 담양군 봉산면,전라남도 담양군 고서면,전라남도 담양군 가사문학면,전라남도 담양군 창평면,전라남도 담양군 대덕면,전라남도 담양군 무정면,전라남도 담양군 금성면,전라남도 담양군 용면,전라남도 담양군 월산면,전라남도 담양군 수북면,전라남도 담양군 대전면
2021년05월_계_총인구수,"46,650","15,221","2,771","3,159","1,232","3,667","1,926","2,726","2,616","1,849","2,469","4,569","4,445"
2021년05월_계_연령구간인구수,"46,650","15,221","2,771","3,159","1,232","3,667","1,926","2,726","2,616","1,849","2,469","4,569","4,445"
2021년05월_계_0~9세,"2,320","1,143",124,110,28,135,59,61,86,65,104,203,202
2021년05월_계_10~19세,"2,988","1,249",106,162,50,225,108,104,116,79,118,317,354
2021년05월_계_20~29세,"4,747","1,742",221,269,88,304,174,539,208,167,188,433,414
2021년05월_계_30~39세,"3,674","1,613",202,222,73,241,115,137,185,114,192,276,304
2021년05월_계_40~49세,"5,242","2,060",290,301,106,350,179,209,255,167,241,566,518
2021년05월_계_50~59세,"8,222","2,463",508,595,247,687,384,430,448,327,443,865,825
2021년05월_계_60~69세,"8,601","2,255",592,694,289,746,408,513,531,406,520,876,771
2021년05월_계_70~79세,"6,283","1,636",438,499,182,554,280,404,430,313,400,569,578
2021년05월_계_80~89세,"3,943",903,242,265,143,383,186,288,300,182,234,394,423
2021년05월_계_90~99세,605,150,48,39,25,40,32,40,52,27,27,69,56
2021년05월_계_100세 이상,25,7,0,3,1,2,1,1,5,2,2,1,0
2021년05월_남_총인구수,"23,648","7,680","1,413","1,586",625,"1,859",995,"1,521","1,324",918,"1,245","2,293","2,189"
2021년05월_남_연령구간인구수,"23,648","7,680","1,413","1,586",625,"1,859",995,"1,521","1,324",918,"1,245","2,293","2,189"
2021년05월_남_0~9세,"1,162",555,59,54,9,74,33,32,43,39,50,112,102
2021년05월_남_10~19세,"1,562",669,56,81,26,116,65,53,61,36,57,178,164
2021년05월_남_20~29세,"2,796",996,123,147,47,170,95,453,112,89,104,231,229
2021년05월_남_30~39세,"1,897",821,106,123,36,126,63,79,106,52,88,145,152
2021년05월_남_40~49세,"3,004","1,126",193,173,61,210,101,120,169,105,148,306,292
2021년05월_남_50~59세,"4,512","1,294",286,318,141,377,208,242,258,176,254,478,480
2021년05월_남_60~69세,"4,479","1,144",301,373,165,403,237,258,261,201,273,459,404
2021년05월_남_70~79세,"2,812",733,191,221,84,242,124,185,201,148,196,254,233
2021년05월_남_80~89세,"1,291",310,88,85,50,132,64,89,103,63,71,110,126
2021년05월_남_90~99세,133,32,10,11,6,9,5,10,10,9,4,20,7
2021년05월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년05월_여_총인구수,"23,002","7,541","1,358","1,573",607,"1,808",931,"1,205","1,292",931,"1,224","2,276","2,256"
2021년05월_여_연령구간인구수,"23,002","7,541","1,358","1,573",607,"1,808",931,"1,205","1,292",931,"1,224","2,276","2,256"
2021년05월_여_0~9세,"1,158",588,65,56,19,61,26,29,43,26,54,91,100
2021년05월_여_10~19세,"1,426",580,50,81,24,109,43,51,55,43,61,139,190
2021년05월_여_20~29세,"1,951",746,98,122,41,134,79,86,96,78,84,202,185
2021년05월_여_30~39세,"1,777",792,96,99,37,115,52,58,79,62,104,131,152
2021년05월_여_40~49세,"2,238",934,97,128,45,140,78,89,86,62,93,260,226
2021년05월_여_50~59세,"3,710","1,169",222,277,106,310,176,188,190,151,189,387,345
2021년05월_여_60~69세,"4,122","1,111",291,321,124,343,171,255,270,205,247,417,367
2021년05월_여_70~79세,"3,471",903,247,278,98,312,156,219,229,165,204,315,345
2021년05월_여_80~89세,"2,652",593,154,180,93,251,122,199,197,119,163,284,297
2021년05월_여_90~99세,472,118,38,28,19,31,27,30,42,18,23,49,49
2021년05월_여_100세 이상,25,7,0,3,1,2,1,1,5,2,2,1,0
