카테고리,경상북도 청송군,경상북도 청송군 청송읍,경상북도 청송군 주왕산면,경상북도 청송군 부남면,경상북도 청송군 현동면,경상북도 청송군 현서면,경상북도 청송군 안덕면,경상북도 청송군 파천면,경상북도 청송군 진보면
2020년12월_계_총인구수,"25,044","5,196","1,860","2,507","2,097","2,532","2,609","1,805","6,438"
2020년12월_계_연령구간인구수,"25,044","5,196","1,860","2,507","2,097","2,532","2,609","1,805","6,438"
2020년12월_계_0~9세,979,287,48,66,77,61,77,50,313
2020년12월_계_10~19세,"1,207",363,58,94,96,97,93,50,356
2020년12월_계_20~29세,"1,694",460,94,134,139,119,113,101,534
2020년12월_계_30~39세,"1,693",479,124,116,104,129,116,103,522
2020년12월_계_40~49세,"2,399",606,146,159,209,190,202,134,753
2020년12월_계_50~59세,"4,708","1,002",364,501,409,473,492,290,"1,177"
2020년12월_계_60~69세,"5,527",915,466,647,447,701,619,445,"1,287"
2020년12월_계_70~79세,"4,042",635,339,474,351,452,527,336,928
2020년12월_계_80~89세,"2,466",389,200,281,236,274,320,252,514
2020년12월_계_90~99세,308,51,21,34,27,35,48,42,50
2020년12월_계_100세 이상,21,9,0,1,2,1,2,2,4
2020년12월_남_총인구수,"12,482","2,582",921,"1,229","1,040","1,259","1,247",896,"3,308"
2020년12월_남_연령구간인구수,"12,482","2,582",921,"1,229","1,040","1,259","1,247",896,"3,308"
2020년12월_남_0~9세,503,154,23,34,38,35,39,23,157
2020년12월_남_10~19세,635,180,37,53,52,55,54,20,184
2020년12월_남_20~29세,"1,025",273,52,78,83,63,71,60,345
2020년12월_남_30~39세,992,267,80,66,58,80,61,70,310
2020년12월_남_40~49세,"1,382",324,94,87,125,112,115,83,442
2020년12월_남_50~59세,"2,493",524,183,267,225,245,250,162,637
2020년12월_남_60~69세,"2,752",451,242,312,218,345,313,243,628
2020년12월_남_70~79세,"1,767",269,150,210,149,207,223,148,411
2020년12월_남_80~89세,870,132,58,115,85,110,112,78,180
2020년12월_남_90~99세,57,6,2,6,7,7,9,8,12
2020년12월_남_100세 이상,6,2,0,1,0,0,0,1,2
2020년12월_여_총인구수,"12,562","2,614",939,"1,278","1,057","1,273","1,362",909,"3,130"
2020년12월_여_연령구간인구수,"12,562","2,614",939,"1,278","1,057","1,273","1,362",909,"3,130"
2020년12월_여_0~9세,476,133,25,32,39,26,38,27,156
2020년12월_여_10~19세,572,183,21,41,44,42,39,30,172
2020년12월_여_20~29세,669,187,42,56,56,56,42,41,189
2020년12월_여_30~39세,701,212,44,50,46,49,55,33,212
2020년12월_여_40~49세,"1,017",282,52,72,84,78,87,51,311
2020년12월_여_50~59세,"2,215",478,181,234,184,228,242,128,540
2020년12월_여_60~69세,"2,775",464,224,335,229,356,306,202,659
2020년12월_여_70~79세,"2,275",366,189,264,202,245,304,188,517
2020년12월_여_80~89세,"1,596",257,142,166,151,164,208,174,334
2020년12월_여_90~99세,251,45,19,28,20,28,39,34,38
2020년12월_여_100세 이상,15,7,0,0,2,1,2,1,2
