,전라남도 신안군,전라남도 신안군 지도읍,전라남도 신안군 지도읍선도출장소,전라남도 신안군 압해읍,전라남도 신안군 압해읍매화출장소,전라남도 신안군 압해읍고이도출장소,전라남도 신안군 증도면,전라남도 신안군 증도면병풍출장소,전라남도 신안군 임자면,전라남도 신안군 자은면,전라남도 신안군 비금면,전라남도 신안군 도초면,전라남도 신안군 도초면우이도출장소,전라남도 신안군 흑산면,전라남도 신안군 흑산면가거도출장소,전라남도 신안군 흑산면태도출장소,전라남도 신안군 흑산면홍도출장소,전라남도 신안군 흑산면대둔도출장소,전라남도 신안군 하의면,전라남도 신안군 신의면,전라남도 신안군 장산면,전라남도 신안군 안좌면,전라남도 신안군 안좌면자라출장소,전라남도 신안군 팔금면,전라남도 신안군 암태면
2020년04월_계_총인구수,"39,745","4,351",253,"5,929",253,225,"1,522",328,"3,232","2,276","3,591","2,580",219,"2,383",459,224,526,333,"1,788","1,584","1,601","2,746",289,"1,003","2,050"
2020년04월_계_연령구간인구수,"39,745","4,351",253,"5,929",253,225,"1,522",328,"3,232","2,276","3,591","2,580",219,"2,383",459,224,526,333,"1,788","1,584","1,601","2,746",289,"1,003","2,050"
2020년04월_계_0~9세,"1,675",158,5,238,9,10,51,6,190,96,146,125,9,72,11,10,34,14,82,78,77,122,8,22,102
2020년04월_계_10~19세,"2,096",237,8,299,4,6,56,13,221,104,217,218,5,129,23,15,31,22,106,103,65,102,9,31,72
2020년04월_계_20~29세,"3,034",331,16,542,10,7,125,20,251,140,220,185,6,232,79,14,48,29,129,133,97,207,18,59,136
2020년04월_계_30~39세,"2,938",283,13,473,22,16,104,23,236,146,248,189,12,202,48,14,69,28,119,139,121,199,35,62,137
2020년04월_계_40~49세,"4,476",491,22,663,21,20,193,37,418,211,422,275,31,320,82,30,89,48,204,210,158,226,30,89,186
2020년04월_계_50~59세,"7,226",800,54,"1,140",48,36,281,69,602,433,649,404,60,453,89,47,106,57,323,304,248,465,50,147,361
2020년04월_계_60~69세,"7,508",828,54,"1,213",63,47,240,71,559,444,683,429,47,393,62,45,76,70,333,270,323,549,66,221,422
2020년04월_계_70~79세,"6,441",741,39,806,55,59,301,63,505,430,622,430,30,327,43,24,46,42,284,207,305,477,45,223,337
2020년04월_계_80~89세,"3,870",427,39,480,20,23,156,25,232,251,333,298,16,210,22,22,27,18,194,127,184,340,25,133,268
2020년04월_계_90~99세,464,54,3,71,1,1,14,1,18,21,51,27,2,41,0,3,0,5,14,10,21,58,3,16,29
2020년04월_계_100세 이상,17,1,0,4,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,3,2,1,0,0,0
2020년04월_남_총인구수,"21,104","2,258",133,"3,187",136,129,817,188,"1,712","1,198","1,881","1,313",124,"1,328",298,124,299,194,956,856,841,"1,425",156,499,"1,052"
2020년04월_남_연령구간인구수,"21,104","2,258",133,"3,187",136,129,817,188,"1,712","1,198","1,881","1,313",124,"1,328",298,124,299,194,956,856,841,"1,425",156,499,"1,052"
2020년04월_남_0~9세,870,87,2,129,5,8,25,2,96,55,78,62,6,33,5,5,18,8,38,33,41,60,5,10,59
2020년04월_남_10~19세,"1,087",114,4,143,3,4,28,10,116,55,105,106,3,78,16,9,21,12,59,54,29,55,6,17,40
2020년04월_남_20~29세,"1,800",202,10,306,6,5,77,8,155,74,113,110,3,147,57,8,24,17,80,71,59,124,11,48,85
2020년04월_남_30~39세,"1,851",168,7,297,15,12,74,19,143,98,158,120,6,135,38,9,45,17,64,86,73,123,23,39,82
2020년04월_남_40~49세,"2,997",321,16,433,17,16,137,28,272,139,269,164,24,221,61,24,65,36,139,146,116,152,18,57,126
2020년04월_남_50~59세,"4,350",476,33,644,31,22,183,46,366,248,403,239,38,288,59,30,61,42,208,185,157,284,24,78,205
2020년04월_남_60~69세,"4,080",458,35,671,33,26,122,34,293,237,360,237,25,218,37,24,41,37,177,155,167,304,38,123,228
2020년04월_남_70~79세,"2,855",306,14,381,21,28,118,33,214,194,289,195,16,139,18,11,18,23,136,94,134,215,24,92,142
2020년04월_남_80~89세,"1,120",117,12,166,4,7,51,8,54,93,98,77,3,66,7,3,6,2,52,28,61,94,5,32,74
2020년04월_남_90~99세,89,9,0,16,1,1,2,0,3,5,8,3,0,2,0,1,0,0,3,3,3,13,2,3,11
2020년04월_남_100세 이상,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
2020년04월_여_총인구수,"18,641","2,093",120,"2,742",117,96,705,140,"1,520","1,078","1,710","1,267",95,"1,055",161,100,227,139,832,728,760,"1,321",133,504,998
