카테고리,전라북도 군산시,전라북도 군산시 옥구읍,전라북도 군산시 옥산면,전라북도 군산시 회현면,전라북도 군산시 임피면,전라북도 군산시 서수면,전라북도 군산시 대야면,전라북도 군산시 개정면,전라북도 군산시 성산면,전라북도 군산시 나포면,전라북도 군산시 옥도면,전라북도 군산시 옥서면,전라북도 군산시 해신동,전라북도 군산시 월명동,전라북도 군산시 신풍동,전라북도 군산시 삼학동,전라북도 군산시 중앙동,전라북도 군산시 흥남동,전라북도 군산시 조촌동,전라북도 군산시 경암동,전라북도 군산시 구암동,전라북도 군산시 개정동,전라북도 군산시 수송동,전라북도 군산시 나운1동,전라북도 군산시 나운2동,전라북도 군산시 나운3동,전라북도 군산시 소룡동,전라북도 군산시 미성동
2020년01월_계_총인구수,"269,779","3,259","4,827","3,528","2,753","2,669","5,185","3,116","3,003","2,283","3,626","3,193","2,458","6,002","7,534","5,943","2,936","12,348","21,179","7,726","5,584","2,984","56,178","13,299","24,390","33,463","17,152","13,161"
2020년01월_계_연령구간인구수,"269,779","3,259","4,827","3,528","2,753","2,669","5,185","3,116","3,003","2,283","3,626","3,193","2,458","6,002","7,534","5,943","2,936","12,348","21,179","7,726","5,584","2,984","56,178","13,299","24,390","33,463","17,152","13,161"
2020년01월_계_0~9세,"22,370",101,585,193,76,81,186,88,105,59,115,139,131,234,416,195,78,"1,043","2,378",429,367,166,"7,247",742,"1,932","3,017","1,375",892
2020년01월_계_10~19세,"27,702",133,386,369,123,114,249,167,147,111,202,149,143,457,682,381,111,"1,098","1,991",533,489,268,"7,824","1,279","3,065","4,515","1,716","1,000"
2020년01월_계_20~29세,"29,836",251,426,249,250,188,386,291,269,147,386,272,187,529,816,617,209,"1,352","2,451",756,589,327,"6,600","1,733","3,032","4,256","1,855","1,412"
2020년01월_계_30~39세,"32,417",215,727,238,157,177,403,196,205,126,300,265,238,530,674,459,242,"1,649","3,608",819,598,265,"8,306","1,461","2,402","3,993","2,324","1,840"
2020년01월_계_40~49세,"44,381",319,744,522,279,254,550,333,316,248,550,409,286,795,"1,024",668,344,"1,904","3,403","1,141",751,395,"11,059","1,921","4,076","6,484","3,241","2,365"
2020년01월_계_50~59세,"44,195",606,719,559,515,488,868,638,612,428,794,491,395,"1,059","1,176","1,005",512,"1,981","3,027","1,294","1,017",514,"7,762","2,507","4,195","5,506","3,108","2,419"
2020년01월_계_60~69세,"35,782",708,588,604,591,573,"1,122",646,634,493,693,617,498,"1,173","1,343","1,182",680,"1,677","2,450","1,409",986,511,"4,283","2,097","3,140","3,227","2,079","1,778"
2020년01월_계_70~79세,"21,818",559,378,436,434,409,818,452,436,376,391,542,422,831,992,960,535,"1,178","1,287",973,556,338,"2,130","1,103","1,614","1,691","1,004",973
2020년01월_계_80~89세,"9,759",311,242,308,266,321,510,264,235,253,173,261,132,337,364,417,191,416,513,325,197,171,842,397,824,694,370,425
2020년01월_계_90~99세,"1,408",51,32,50,58,59,87,37,42,39,19,41,19,47,42,55,32,47,69,43,33,27,121,58,107,74,69,50
2020년01월_계_100세 이상,111,5,0,0,4,5,6,4,2,3,3,7,7,10,5,4,2,3,2,4,1,2,4,1,3,6,11,7
2020년01월_남_총인구수,"136,268","1,669","2,455","1,810","1,387","1,349","2,584","1,579","1,524","1,186","2,028","1,619","1,195","3,000","3,763","2,909","1,531","6,268","10,772","3,898","2,803","1,533","27,913","6,653","11,825","16,630","9,290","7,095"
2020년01월_남_연령구간인구수,"136,268","1,669","2,455","1,810","1,387","1,349","2,584","1,579","1,524","1,186","2,028","1,619","1,195","3,000","3,763","2,909","1,531","6,268","10,772","3,898","2,803","1,533","27,913","6,653","11,825","16,630","9,290","7,095"
2020년01월_남_0~9세,"11,393",51,297,99,40,44,96,44,45,37,58,72,63,119,223,101,49,573,"1,234",212,189,73,"3,671",388,942,"1,512",723,438
2020년01월_남_10~19세,"14,346",75,188,204,65,57,137,94,78,60,111,80,63,237,345,188,48,578,"1,052",285,256,158,"4,045",686,"1,533","2,312",892,519
2020년01월_남_20~29세,"16,213",153,242,135,143,113,216,171,167,84,228,160,97,295,468,365,116,722,"1,274",410,335,201,"3,438",962,"1,628","2,256","1,019",815
2020년01월_남_30~39세,"16,958",134,354,121,95,109,218,108,107,74,193,141,127,292,353,249,151,867,"1,899",486,316,147,"3,970",806,"1,195","2,016","1,344","1,086"
2020년01월_남_40~49세,"23,303",196,424,306,174,168,340,191,176,154,363,248,165,426,537,376,226,"1,031","1,776",640,373,201,"5,448",928,"1,909","3,228","1,875","1,424"
2020년01월_남_50~59세,"23,025",330,384,329,280,271,492,337,316,253,437,276,195,560,587,504,280,"1,015","1,533",652,478,262,"4,034","1,217","2,122","2,773","1,732","1,376"
2020년01월_남_60~69세,"17,684",360,305,323,310,305,536,334,338,259,393,302,241,561,624,544,316,789,"1,195",649,505,252,"2,080","1,026","1,547","1,568","1,120",902
2020년01월_남_70~79세,"9,724",257,182,176,194,173,354,213,207,175,179,244,190,360,475,406,269,517,623,421,269,161,931,493,674,712,457,412
2020년01월_남_80~89세,"3,300",102,75,110,72,93,173,84,78,81,58,83,46,134,141,161,69,165,174,131,77,70,270,137,254,236,111,115
