카테고리,전라남도 보성군,전라남도 보성군 보성읍,전라남도 보성군 벌교읍,전라남도 보성군 노동면,전라남도 보성군 미력면,전라남도 보성군 겸백면,전라남도 보성군 율어면,전라남도 보성군 복내면,전라남도 보성군 문덕면,전라남도 보성군 조성면,전라남도 보성군 득량면,전라남도 보성군 득량면예당출장소,전라남도 보성군 회천면,전라남도 보성군 웅치면
2021년07월_계_총인구수,"39,790","9,004","11,574","1,109","1,415","1,160","1,197","1,666",892,"3,677","2,767","1,212","3,046","1,071"
2021년07월_계_연령구간인구수,"39,790","9,004","11,574","1,109","1,415","1,160","1,197","1,666",892,"3,677","2,767","1,212","3,046","1,071"
2021년07월_계_0~9세,"1,618",613,480,29,37,28,39,61,15,105,62,44,81,24
2021년07월_계_10~19세,"2,547",848,821,42,60,45,67,72,51,161,125,66,158,31
2021년07월_계_20~29세,"2,841",924,785,63,85,65,57,105,42,217,136,88,197,77
2021년07월_계_30~39세,"2,394",793,695,46,77,57,59,71,27,185,138,73,125,48
2021년07월_계_40~49세,"4,023","1,208","1,222",89,111,91,103,120,83,315,225,125,260,71
2021년07월_계_50~59세,"6,526","1,489","1,850",173,237,186,192,266,159,566,456,195,579,178
2021년07월_계_60~69세,"7,720","1,383","2,259",224,303,219,229,362,195,785,619,250,673,219
2021년07월_계_70~79세,"6,517",988,"1,972",201,257,221,213,292,169,731,507,211,544,211
2021년07월_계_80~89세,"4,819",670,"1,271",199,214,216,209,279,130,529,419,144,359,180
2021년07월_계_90~99세,762,84,211,42,33,31,28,38,21,82,77,16,67,32
2021년07월_계_100세 이상,23,4,8,1,1,1,1,0,0,1,3,0,3,0
2021년07월_남_총인구수,"19,430","4,412","5,673",529,704,558,582,790,457,"1,767","1,345",586,"1,508",519
2021년07월_남_연령구간인구수,"19,430","4,412","5,673",529,704,558,582,790,457,"1,767","1,345",586,"1,508",519
2021년07월_남_0~9세,852,334,254,14,18,11,24,24,7,59,26,29,41,11
2021년07월_남_10~19세,"1,304",407,432,25,35,26,36,41,24,87,69,28,76,18
2021년07월_남_20~29세,"1,634",509,445,38,50,33,35,61,25,127,84,62,121,44
2021년07월_남_30~39세,"1,282",400,377,27,45,27,33,35,19,97,77,41,75,29
2021년07월_남_40~49세,"2,289",610,698,58,70,52,67,72,51,201,141,71,153,45
2021년07월_남_50~59세,"3,648",794,"1,037",100,143,116,116,147,108,321,276,85,305,100
2021년07월_남_60~69세,"3,925",671,"1,123",123,168,117,123,204,103,382,309,128,361,113
2021년07월_남_70~79세,"2,811",435,847,92,103,104,81,123,77,314,214,96,236,89
2021년07월_남_80~89세,"1,529",235,419,44,68,62,62,74,39,162,132,46,125,61
2021년07월_남_90~99세,153,17,38,8,4,10,5,9,4,17,17,0,15,9
2021년07월_남_100세 이상,3,0,3,0,0,0,0,0,0,0,0,0,0,0
2021년07월_여_총인구수,"20,360","4,592","5,901",580,711,602,615,876,435,"1,910","1,422",626,"1,538",552
2021년07월_여_연령구간인구수,"20,360","4,592","5,901",580,711,602,615,876,435,"1,910","1,422",626,"1,538",552
2021년07월_여_0~9세,766,279,226,15,19,17,15,37,8,46,36,15,40,13
2021년07월_여_10~19세,"1,243",441,389,17,25,19,31,31,27,74,56,38,82,13
2021년07월_여_20~29세,"1,207",415,340,25,35,32,22,44,17,90,52,26,76,33
2021년07월_여_30~39세,"1,112",393,318,19,32,30,26,36,8,88,61,32,50,19
2021년07월_여_40~49세,"1,734",598,524,31,41,39,36,48,32,114,84,54,107,26
2021년07월_여_50~59세,"2,878",695,813,73,94,70,76,119,51,245,180,110,274,78
2021년07월_여_60~69세,"3,795",712,"1,136",101,135,102,106,158,92,403,310,122,312,106
2021년07월_여_70~79세,"3,706",553,"1,125",109,154,117,132,169,92,417,293,115,308,122
2021년07월_여_80~89세,"3,290",435,852,155,146,154,147,205,91,367,287,98,234,119
2021년07월_여_90~99세,609,67,173,34,29,21,23,29,17,65,60,16,52,23
2021년07월_여_100세 이상,20,4,5,1,1,1,1,0,0,1,3,0,3,0
