카테고리,경상북도 김천시,경상북도 김천시 아포읍,경상북도 김천시 농소면,경상북도 김천시 남면,경상북도 김천시 개령면,경상북도 김천시 감문면,경상북도 김천시 어모면,경상북도 김천시 봉산면,경상북도 김천시 대항면,경상북도 김천시 감천면,경상북도 김천시 조마면,경상북도 김천시 구성면,경상북도 김천시 지례면,경상북도 김천시 부항면,경상북도 김천시 대덕면,경상북도 김천시 증산면,경상북도 김천시 자산동,경상북도 김천시 평화남산동,경상북도 김천시 양금동,경상북도 김천시 대신동,경상북도 김천시 대곡동,경상북도 김천시 지좌동,경상북도 김천시 율곡동
2020년11월_계_총인구수,"140,547","7,129","3,020","3,145","2,474","3,309","4,066","3,207","3,487","1,950","2,250","2,830","1,589","1,259","2,308","1,040","6,785","7,637","3,966","25,098","20,454","11,079","22,465"
2020년11월_계_연령구간인구수,"140,547","7,129","3,020","3,145","2,474","3,309","4,066","3,207","3,487","1,950","2,250","2,830","1,589","1,259","2,308","1,040","6,785","7,637","3,966","25,098","20,454","11,079","22,465"
2020년11월_계_0~9세,"10,471",380,112,71,58,71,152,95,86,57,59,56,38,28,52,12,219,217,140,"2,125","1,406",905,"4,132"
2020년11월_계_10~19세,"12,220",428,125,149,103,104,192,150,192,77,99,86,58,36,300,36,380,437,239,"3,068","2,290","1,105","2,566"
2020년11월_계_20~29세,"14,676",558,254,248,189,178,314,263,305,155,138,174,88,67,120,46,639,805,322,"3,652","2,396","1,413","2,352"
2020년11월_계_30~39세,"15,194",577,213,194,142,176,212,196,211,120,124,139,67,47,107,29,559,705,266,"2,884","2,090","1,295","4,841"
2020년11월_계_40~49세,"19,408",840,306,307,209,252,430,290,329,178,200,200,118,113,168,85,840,862,415,"4,089","2,975","1,861","4,341"
2020년11월_계_50~59세,"23,926","1,457",560,605,480,588,743,628,739,384,440,540,273,218,379,230,"1,127","1,342",673,"4,276","3,717","1,956","2,571"
2020년11월_계_60~69세,"21,877","1,412",644,695,603,810,886,762,790,415,522,655,368,316,480,273,"1,521","1,600",855,"2,732","3,008","1,456","1,074"
2020년11월_계_70~79세,"13,453",849,445,480,400,576,663,502,467,286,352,516,313,231,379,155,"1,001","1,058",654,"1,394","1,620",730,382
2020년11월_계_80~89세,"8,084",535,316,332,249,479,399,285,307,245,275,390,228,177,286,156,443,534,362,781,830,303,172
2020년11월_계_90~99세,"1,182",91,45,60,40,74,71,34,57,32,38,72,35,24,34,16,56,72,37,90,119,52,33
2020년11월_계_100세 이상,56,2,0,4,1,1,4,2,4,1,3,2,3,2,3,2,0,5,3,7,3,3,1
2020년11월_남_총인구수,"70,498","3,597","1,578","1,612","1,252","1,648","2,066","1,644","1,788","1,013","1,119","1,398",797,624,"1,150",504,"3,458","3,731","1,916","12,439","10,178","5,647","11,339"
2020년11월_남_연령구간인구수,"70,498","3,597","1,578","1,612","1,252","1,648","2,066","1,644","1,788","1,013","1,119","1,398",797,624,"1,150",504,"3,458","3,731","1,916","12,439","10,178","5,647","11,339"
2020년11월_남_0~9세,"5,425",198,54,40,34,47,85,51,49,40,28,29,19,18,34,7,122,110,80,"1,096",713,458,"2,113"
2020년11월_남_10~19세,"6,561",223,67,82,56,55,120,89,104,45,55,55,34,18,154,20,181,234,130,"1,576","1,334",615,"1,314"
2020년11월_남_20~29세,"8,248",327,148,156,121,115,194,142,190,81,81,86,59,38,76,30,377,470,164,"2,019","1,402",786,"1,186"
2020년11월_남_30~39세,"8,007",298,129,107,78,102,113,117,123,86,71,85,42,29,65,13,344,430,139,"1,462","1,069",724,"2,381"
2020년11월_남_40~49세,"10,249",479,199,188,134,159,242,178,186,114,120,128,70,73,95,49,515,482,232,"1,983","1,447",953,"2,223"
2020년11월_남_50~59세,"12,484",769,328,342,267,324,400,337,404,206,236,313,162,127,204,129,602,661,353,"2,138","1,777","1,016","1,389"
2020년11월_남_60~69세,"10,750",733,325,380,305,437,464,396,410,215,273,340,200,177,250,143,690,690,397,"1,324","1,400",677,524
2020년11월_남_70~79세,"5,846",377,192,202,178,247,296,230,212,137,167,230,120,85,174,64,456,430,272,572,723,322,160
2020년11월_남_80~89세,"2,660",174,122,108,69,146,137,90,102,82,79,112,74,54,92,45,159,210,135,248,290,88,44
2020년11월_남_90~99세,257,18,14,7,10,16,14,13,7,7,9,18,15,5,6,4,12,14,12,21,22,8,5
2020년11월_남_100세 이상,11,1,0,0,0,0,1,1,1,0,0,2,2,0,0,0,0,0,2,0,1,0,0
2020년11월_여_총인구수,"70,049","3,532","1,442","1,533","1,222","1,661","2,000","1,563","1,699",937,"1,131","1,432",792,635,"1,158",536,"3,327","3,906","2,050","12,659","10,276","5,432","11,126"
2020년11월_여_연령구간인구수,"70,049","3,532","1,442","1,533","1,222","1,661","2,000","1,563","1,699",937,"1,131","1,432",792,635,"1,158",536,"3,327","3,906","2,050","12,659","10,276","5,432","11,126"
2020년11월_여_0~9세,"5,046",182,58,31,24,24,67,44,37,17,31,27,19,10,18,5,97,107,60,"1,029",693,447,"2,019"
2020년11월_여_10~19세,"5,659",205,58,67,47,49,72,61,88,32,44,31,24,18,146,16,199,203,109,"1,492",956,490,"1,252"
2020년11월_여_20~29세,"6,428",231,106,92,68,63,120,121,115,74,57,88,29,29,44,16,262,335,158,"1,633",994,627,"1,166"
2020년11월_여_30~39세,"7,187",279,84,87,64,74,99,79,88,34,53,54,25,18,42,16,215,275,127,"1,422","1,021",571,"2,460"
2020년11월_여_40~49세,"9,159",361,107,119,75,93,188,112,143,64,80,72,48,40,73,36,325,380,183,"2,106","1,528",908,"2,118"
2020년11월_여_50~59세,"11,442",688,232,263,213,264,343,291,335,178,204,227,111,91,175,101,525,681,320,"2,138","1,940",940,"1,182"
2020년11월_여_60~69세,"11,127",679,319,315,298,373,422,366,380,200,249,315,168,139,230,130,831,910,458,"1,408","1,608",779,550
2020년11월_여_70~79세,"7,607",472,253,278,222,329,367,272,255,149,185,286,193,146,205,91,545,628,382,822,897,408,222
2020년11월_여_80~89세,"5,424",361,194,224,180,333,262,195,205,163,196,278,154,123,194,111,284,324,227,533,540,215,128
2020년11월_여_90~99세,925,73,31,53,30,58,57,21,50,25,29,54,20,19,28,12,44,58,25,69,97,44,28
2020년11월_여_100세 이상,45,1,0,4,1,1,3,1,3,1,3,0,1,2,3,2,0,5,1,7,2,3,1
