카테고리,전라남도 장흥군,전라남도 장흥군 장흥읍,전라남도 장흥군 관산읍,전라남도 장흥군 대덕읍,전라남도 장흥군 용산면,전라남도 장흥군 안양면,전라남도 장흥군 장동면,전라남도 장흥군 장평면,전라남도 장흥군 유치면,전라남도 장흥군 부산면,전라남도 장흥군 회진면
2020년09월_계_총인구수,"37,839","15,432","5,012","3,404","2,351","2,861","1,275","2,111","1,093","1,461","2,839"
2020년09월_계_연령구간인구수,"37,839","15,432","5,012","3,404","2,351","2,861","1,275","2,111","1,093","1,461","2,839"
2020년09월_계_0~9세,"2,034","1,329",162,139,83,83,35,36,18,46,103
2020년09월_계_10~19세,"2,850","1,616",309,215,114,130,58,107,39,76,186
2020년09월_계_20~29세,"3,079","1,588",332,216,139,213,69,140,67,96,219
2020년09월_계_30~39세,"2,830","1,586",309,201,142,167,76,93,40,62,154
2020년09월_계_40~49세,"4,199","2,155",424,348,206,271,101,158,103,150,283
2020년09월_계_50~59세,"6,314","2,457",856,563,353,504,208,393,258,247,475
2020년09월_계_60~69세,"6,527","2,154",990,673,492,559,266,375,244,229,545
2020년09월_계_70~79세,"5,482","1,486",906,565,424,483,215,409,180,268,546
2020년09월_계_80~89세,"3,889",889,633,425,335,376,218,359,123,233,298
2020년09월_계_90~99세,611,161,90,54,60,74,27,41,20,54,30
2020년09월_계_100세 이상,24,11,1,5,3,1,2,0,1,0,0
2020년09월_남_총인구수,"18,372","7,513","2,431","1,641","1,134","1,404",603,"1,004",549,707,"1,386"
2020년09월_남_연령구간인구수,"18,372","7,513","2,431","1,641","1,134","1,404",603,"1,004",549,707,"1,386"
2020년09월_남_0~9세,"1,046",670,89,57,46,53,20,17,7,28,59
2020년09월_남_10~19세,"1,497",836,178,110,60,76,25,51,24,36,101
2020년09월_남_20~29세,"1,730",871,194,118,86,120,33,86,37,53,132
2020년09월_남_30~39세,"1,486",783,167,111,87,101,37,51,31,32,86
2020년09월_남_40~49세,"2,328","1,082",248,221,129,159,68,106,62,84,169
2020년09월_남_50~59세,"3,417","1,288",456,314,189,277,115,227,146,156,249
2020년09월_남_60~69세,"3,262","1,041",508,331,269,293,136,197,127,117,243
2020년09월_남_70~79세,"2,300",637,364,235,168,217,97,158,70,111,243
2020년09월_남_80~89세,"1,187",274,210,128,93,93,66,105,39,80,99
2020년09월_남_90~99세,115,30,17,14,7,15,5,6,6,10,5
2020년09월_남_100세 이상,4,1,0,2,0,0,1,0,0,0,0
2020년09월_여_총인구수,"19,467","7,919","2,581","1,763","1,217","1,457",672,"1,107",544,754,"1,453"
2020년09월_여_연령구간인구수,"19,467","7,919","2,581","1,763","1,217","1,457",672,"1,107",544,754,"1,453"
2020년09월_여_0~9세,988,659,73,82,37,30,15,19,11,18,44
2020년09월_여_10~19세,"1,353",780,131,105,54,54,33,56,15,40,85
2020년09월_여_20~29세,"1,349",717,138,98,53,93,36,54,30,43,87
2020년09월_여_30~39세,"1,344",803,142,90,55,66,39,42,9,30,68
2020년09월_여_40~49세,"1,871","1,073",176,127,77,112,33,52,41,66,114
2020년09월_여_50~59세,"2,897","1,169",400,249,164,227,93,166,112,91,226
2020년09월_여_60~69세,"3,265","1,113",482,342,223,266,130,178,117,112,302
2020년09월_여_70~79세,"3,182",849,542,330,256,266,118,251,110,157,303
2020년09월_여_80~89세,"2,702",615,423,297,242,283,152,254,84,153,199
2020년09월_여_90~99세,496,131,73,40,53,59,22,35,14,44,25
2020년09월_여_100세 이상,20,10,1,3,3,1,1,0,1,0,0
