,전라북도 익산시,전라북도 익산시 함열읍,전라북도 익산시 오산면,전라북도 익산시 황등면,전라북도 익산시 함라면,전라북도 익산시 웅포면,전라북도 익산시 성당면,전라북도 익산시 용안면,전라북도 익산시 낭산면,전라북도 익산시 망성면,전라북도 익산시 여산면,전라북도 익산시 금마면,전라북도 익산시 왕궁면,전라북도 익산시 춘포면,전라북도 익산시 삼기면,전라북도 익산시 용동면,전라북도 익산시 중앙동,전라북도 익산시 평화동,전라북도 익산시 인화동,전라북도 익산시 동산동,전라북도 익산시 마동,전라북도 익산시 남중동,전라북도 익산시 모현동,전라북도 익산시 송학동,전라북도 익산시 영등1동,전라북도 익산시 영등2동,전라북도 익산시 어양동,전라북도 익산시 신동,전라북도 익산시 팔봉동,전라북도 익산시 삼성동
2021년07월_계_총인구수,"279,836","6,849","7,752","7,053","2,266","1,544","1,898","2,627","3,062","2,974","3,305","5,246","4,345","4,494","2,588","1,564","3,348","4,799","6,959","22,473","9,347","11,536","38,588","8,481","22,968","14,077","24,929","15,666","6,636","32,462"
2021년07월_계_연령구간인구수,"279,836","6,849","7,752","7,053","2,266","1,544","1,898","2,627","3,062","2,974","3,305","5,246","4,345","4,494","2,588","1,564","3,348","4,799","6,959","22,473","9,347","11,536","38,588","8,481","22,968","14,077","24,929","15,666","6,636","32,462"
2021년07월_계_0~9세,"18,124",335,494,256,61,24,33,65,107,83,164,342,83,165,61,25,91,293,298,"1,577",415,453,"3,571",818,"1,405","1,167","2,090",580,518,"2,550"
2021년07월_계_10~19세,"27,366",572,602,470,125,55,92,132,136,143,163,332,183,267,94,78,116,338,404,"2,172",690,910,"4,340",977,"2,622","1,978","3,298","1,182",642,"4,253"
2021년07월_계_20~29세,"35,593",581,665,645,163,95,120,180,210,132,305,623,270,398,225,87,354,478,882,"2,457","1,365","1,284","4,642",904,"3,248","2,316","3,520","4,167",747,"4,530"
2021년07월_계_30~39세,"27,755",495,723,509,115,65,78,138,196,148,258,467,203,329,148,72,304,474,745,"2,362",877,957,"4,403","1,112","2,303","1,522","2,963","1,455",801,"3,533"
2021년07월_계_40~49세,"40,904",784,"1,015",736,212,126,171,215,306,260,324,579,390,475,238,128,386,712,803,"3,394","1,243","1,413","6,250","1,413","3,488","2,647","4,769","1,649","1,032","5,746"
2021년07월_계_50~59세,"48,408","1,175","1,305","1,305",409,248,337,371,537,476,539,871,722,822,532,230,539,920,"1,117","3,991","1,841","1,857","6,243","1,265","4,382","2,513","4,562","2,241","1,089","5,969"
2021년07월_계_60~69세,"42,006","1,429","1,481","1,427",477,386,472,616,672,745,653,"1,053","1,028",941,559,375,737,873,"1,306","3,603","1,645","2,155","5,087","1,118","3,460","1,073","2,245","2,092",927,"3,371"
2021년07월_계_70~79세,"24,874",882,875,"1,002",405,287,338,524,532,576,516,619,824,591,399,317,550,485,909,"1,934",873,"1,718","2,641",599,"1,357",590,989,"1,453",514,"1,575"
2021년07월_계_80~89세,"12,656",511,502,590,244,215,211,325,323,356,336,316,529,421,269,215,220,200,435,873,355,695,"1,218",241,590,234,429,697,286,820
2021년07월_계_90~99세,"2,076",83,88,105,52,42,45,61,42,52,47,44,109,84,59,35,47,26,58,104,43,92,187,32,111,36,62,139,77,114
2021년07월_계_100세 이상,74,2,2,8,3,1,1,0,1,3,0,0,4,1,4,2,4,0,2,6,0,2,6,2,2,1,2,11,3,1
2021년07월_남_총인구수,"139,445","3,362","3,843","3,571","1,121",782,959,"1,315","1,617","1,467","1,673","2,745","2,236","2,327","1,344",771,"1,776","2,556","3,565","11,056","4,744","5,939","18,647","4,206","11,335","6,899","12,169","7,876","3,429","16,115"
2021년07월_남_연령구간인구수,"139,445","3,362","3,843","3,571","1,121",782,959,"1,315","1,617","1,467","1,673","2,745","2,236","2,327","1,344",771,"1,776","2,556","3,565","11,056","4,744","5,939","18,647","4,206","11,335","6,899","12,169","7,876","3,429","16,115"
2021년07월_남_0~9세,"9,324",178,250,139,28,9,20,33,49,33,73,173,54,91,37,13,54,164,161,773,238,236,"1,847",403,731,597,"1,093",299,265,"1,283"
2021년07월_남_10~19세,"14,012",271,296,245,59,37,45,60,84,67,88,165,107,154,51,44,70,161,210,"1,143",378,559,"2,137",523,"1,347","1,030","1,669",556,324,"2,132"
2021년07월_남_20~29세,"19,388",329,363,367,95,50,71,107,125,81,178,405,150,239,140,53,192,263,451,"1,348",722,738,"2,398",488,"1,796","1,212","1,868","2,276",429,"2,454"
2021년07월_남_30~39세,"14,523",255,395,282,68,41,44,91,110,99,159,263,131,173,95,39,192,252,438,"1,234",499,550,"2,125",528,"1,172",756,"1,457",853,442,"1,780"
2021년07월_남_40~49세,"20,911",436,543,414,121,82,115,139,189,153,196,322,266,294,157,81,235,398,461,"1,768",672,788,"3,088",743,"1,660","1,190","2,216",896,540,"2,748"
2021년07월_남_50~59세,"24,677",614,676,722,228,150,196,209,324,266,308,460,393,470,301,124,283,516,618,"1,994",894,961,"2,965",644,"2,103","1,274","2,261","1,114",569,"3,040"
2021년07월_남_60~69세,"20,775",714,730,726,262,193,249,317,375,377,314,539,549,486,291,195,381,469,601,"1,700",812,998,"2,446",528,"1,694",524,"1,068",996,486,"1,755"
2021년07월_남_70~79세,"11,200",383,394,449,174,133,146,236,238,263,255,286,374,279,174,139,262,258,444,809,404,788,"1,177",256,637,230,398,663,259,692
2021년07월_남_80~89세,"4,163",167,175,204,75,78,65,107,115,116,93,116,172,120,86,75,94,72,164,266,117,296,412,86,175,80,124,202,97,214
2021년07월_남_90~99세,458,15,19,21,11,9,8,16,8,12,9,16,39,21,11,8,13,3,17,21,8,23,51,6,20,6,14,20,17,16
2021년07월_남_100세 이상,14,0,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,1,0,0,1,1,1,1
2021년07월_여_총인구수,"140,391","3,487","3,909","3,482","1,145",762,939,"1,312","1,445","1,507","1,632","2,501","2,109","2,167","1,244",793,"1,572","2,243","3,394","11,417","4,603","5,597","19,941","4,275","11,633","7,178","12,760","7,790","3,207","16,347"
2021년07월_여_연령구간인구수,"140,391","3,487","3,909","3,482","1,145",762,939,"1,312","1,445","1,507","1,632","2,501","2,109","2,167","1,244",793,"1,572","2,243","3,394","11,417","4,603","5,597","19,941","4,275","11,633","7,178","12,760","7,790","3,207","16,347"
