카테고리,서울특별시 양천구,서울특별시 양천구 목1동,서울특별시 양천구 목2동,서울특별시 양천구 목3동,서울특별시 양천구 목4동,서울특별시 양천구 목5동,서울특별시 양천구 신월1동,서울특별시 양천구 신월2동,서울특별시 양천구 신월3동,서울특별시 양천구 신월4동,서울특별시 양천구 신월5동,서울특별시 양천구 신월6동,서울특별시 양천구 신월7동,서울특별시 양천구 신정1동,서울특별시 양천구 신정2동,서울특별시 양천구 신정3동,서울특별시 양천구 신정4동,서울특별시 양천구 신정6동,서울특별시 양천구 신정7동
2020년03월_계_총인구수,"456,339","31,981","31,105","22,869","26,515","42,824","21,216","21,747","16,312","18,828","15,334","6,657","21,344","21,273","20,469","47,688","34,442","25,273","30,462"
2020년03월_계_연령구간인구수,"456,339","31,981","31,105","22,869","26,515","42,824","21,216","21,747","16,312","18,828","15,334","6,657","21,344","21,273","20,469","47,688","34,442","25,273","30,462"
2020년03월_계_0~9세,"32,950","3,111","1,894","1,441","1,541","3,637","1,098","1,575",992,"1,653","1,060",409,"1,238","1,910","1,413","3,787","1,928","2,177","2,086"
2020년03월_계_10~19세,"51,854","5,186","2,677","1,606","3,562","7,700","1,400","1,855","1,229","1,713","1,381",726,"1,497","3,133","2,994","5,481","2,445","3,726","3,543"
2020년03월_계_20~29세,"60,438","3,487","5,122","3,700","4,181","4,674","2,717","2,679","2,127","2,206","2,155",821,"2,786","2,513","2,715","6,085","5,340","3,274","3,856"
2020년03월_계_30~39세,"59,014","3,556","5,503","4,109","2,979","4,227","2,817","3,186","2,150","2,650","2,235",782,"2,815","2,197","1,932","6,071","5,525","2,888","3,392"
2020년03월_계_40~49세,"80,407","7,073","4,764","3,330","4,815","9,481","3,259","3,438","2,398","3,093","2,390","1,086","3,132","4,223","3,931","8,420","5,369","4,828","5,377"
2020년03월_계_50~59세,"76,779","4,952","5,020","3,800","4,844","6,676","4,031","3,446","3,072","2,972","2,615","1,137","3,760","3,545","3,689","7,936","5,555","4,382","5,347"
2020년03월_계_60~69세,"55,248","2,780","3,709","2,900","2,572","3,919","3,454","3,304","2,516","2,643","2,042",986,"3,425","2,110","2,174","5,594","4,737","2,518","3,865"
2020년03월_계_70~79세,"27,475","1,295","1,644","1,336","1,423","1,625","1,796","1,640","1,318","1,360","1,052",507,"1,823","1,091","1,070","2,999","2,610",946,"1,940"
2020년03월_계_80~89세,"10,374",451,657,557,529,716,551,540,441,475,355,166,767,445,471,"1,122",803,437,891
2020년03월_계_90~99세,"1,628",84,103,74,62,163,81,77,56,54,41,27,99,101,66,182,115,95,148
2020년03월_계_100세 이상,172,6,12,16,7,6,12,7,13,9,8,10,2,5,14,11,15,2,17
2020년03월_남_총인구수,"224,241","15,360","15,173","10,997","13,001","21,205","10,893","10,645","8,609","9,245","7,621","3,300","10,502","10,391","10,023","23,270","16,915","12,305","14,786"
2020년03월_남_연령구간인구수,"224,241","15,360","15,173","10,997","13,001","21,205","10,893","10,645","8,609","9,245","7,621","3,300","10,502","10,391","10,023","23,270","16,915","12,305","14,786"
2020년03월_남_0~9세,"16,964","1,559",937,758,768,"1,924",576,784,548,845,547,215,633,"1,022",699,"1,946","1,009","1,127","1,067"
2020년03월_남_10~19세,"27,056","2,612","1,435",875,"1,923","4,179",701,936,644,895,720,360,749,"1,583","1,566","2,842","1,254","1,934","1,848"
2020년03월_남_20~29세,"30,990","1,693","2,525","1,824","2,211","2,449","1,463","1,379","1,106","1,148","1,123",437,"1,483","1,271","1,403","3,136","2,599","1,700","2,040"
2020년03월_남_30~39세,"28,994","1,492","2,826","2,041","1,488","1,834","1,536","1,630","1,193","1,295","1,163",415,"1,492",969,900,"2,960","2,884","1,267","1,609"
2020년03월_남_40~49세,"38,504","3,269","2,253","1,596","2,120","4,282","1,696","1,729","1,333","1,571","1,182",532,"1,631","1,989","1,821","4,067","2,680","2,182","2,571"
2020년03월_남_50~59세,"38,183","2,573","2,405","1,728","2,417","3,459","2,100","1,663","1,668","1,437","1,250",561,"1,836","1,833","1,880","3,868","2,664","2,180","2,661"
2020년03월_남_60~69세,"26,655","1,359","1,772","1,371","1,250","1,942","1,738","1,525","1,330","1,239","1,008",455,"1,624","1,024","1,099","2,623","2,211","1,254","1,831"
2020년03월_남_70~79세,"12,878",625,770,599,648,843,878,792,588,644,490,255,771,521,463,"1,392","1,245",493,861
