카테고리,경상북도 영천시,경상북도 영천시 금호읍,경상북도 영천시 청통면,경상북도 영천시 신녕면,경상북도 영천시 화산면,경상북도 영천시 화북면,경상북도 영천시 화남면,경상북도 영천시 자양면,경상북도 영천시 임고면,경상북도 영천시 고경면,경상북도 영천시 북안면,경상북도 영천시 대창면,경상북도 영천시 동부동,경상북도 영천시 중앙동,경상북도 영천시 서부동,경상북도 영천시 완산동,경상북도 영천시 남부동
2020년10월_계_총인구수,"101,840","11,021","4,188","3,873","3,221","2,217","3,130","1,193","4,224","5,940","4,476","3,087","29,520","9,708","4,838","6,963","4,241"
2020년10월_계_연령구간인구수,"101,840","11,021","4,188","3,873","3,221","2,217","3,130","1,193","4,224","5,940","4,476","3,087","29,520","9,708","4,838","6,963","4,241"
2020년10월_계_0~9세,"5,776",412,110,106,64,66,68,15,116,277,80,83,"2,661",713,183,569,253
2020년10월_계_10~19세,"6,684",487,143,163,91,83,89,37,156,230,132,89,"2,983",956,271,568,206
2020년10월_계_20~29세,"10,157","1,000",316,245,183,111,177,71,266,906,272,209,"3,541","1,252",488,709,411
2020년10월_계_30~39세,"9,464",791,299,216,182,98,169,45,231,490,257,206,"3,702","1,084",395,846,453
2020년10월_계_40~49세,"12,727","1,281",372,342,289,175,243,66,387,501,409,260,"4,802","1,473",552,"1,063",512
2020년10월_계_50~59세,"18,311","2,290",779,669,569,409,597,270,709,889,798,566,"5,242","1,687",906,"1,132",799
2020년10월_계_60~69세,"18,444","2,261","1,007",950,770,556,819,287,974,"1,134","1,094",835,"3,747","1,274",965,"1,011",760
2020년10월_계_70~79세,"12,532","1,596",723,712,629,387,580,221,849,927,851,502,"1,808",833,693,704,517
2020년10월_계_80~89세,"6,908",817,384,421,396,293,343,159,475,524,514,300,937,385,349,327,284
2020년10월_계_90~99세,795,82,52,48,48,38,39,21,61,59,66,36,92,46,35,27,45
2020년10월_계_100세 이상,42,4,3,1,0,1,6,1,0,3,3,1,5,5,1,7,1
2020년10월_남_총인구수,"51,701","5,777","2,178","1,907","1,676","1,096","1,589",593,"2,153","3,248","2,312","1,628","14,584","4,816","2,388","3,466","2,290"
2020년10월_남_연령구간인구수,"51,701","5,777","2,178","1,907","1,676","1,096","1,589",593,"2,153","3,248","2,312","1,628","14,584","4,816","2,388","3,466","2,290"
2020년10월_남_0~9세,"2,913",211,59,61,33,40,30,9,59,148,36,45,"1,334",355,91,272,130
2020년10월_남_10~19세,"3,594",290,80,79,56,44,53,20,88,122,73,41,"1,601",483,139,321,104
2020년10월_남_20~29세,"5,988",569,189,157,132,65,105,37,162,706,160,121,"1,998",678,266,388,255
2020년10월_남_30~39세,"5,171",445,188,125,101,55,104,25,128,282,160,130,"1,930",568,221,433,276
2020년10월_남_40~49세,"7,001",755,242,196,180,102,153,41,241,312,250,176,"2,383",779,319,558,314
2020년10월_남_50~59세,"9,784","1,332",421,369,349,222,336,139,396,469,461,347,"2,576",822,483,576,486
2020년10월_남_60~69세,"9,211","1,144",513,473,411,289,415,164,484,601,581,426,"1,742",647,457,481,383
2020년10월_남_70~79세,"5,586",732,346,304,280,177,270,96,395,417,407,230,747,344,300,299,242
2020년10월_남_80~89세,"2,248",276,127,135,120,97,113,56,177,175,171,104,251,132,102,122,90
2020년10월_남_90~99세,192,22,12,8,14,5,9,6,23,15,12,7,21,7,10,11,10
2020년10월_남_100세 이상,13,1,1,0,0,0,1,0,0,1,1,1,1,1,0,5,0
2020년10월_여_총인구수,"50,139","5,244","2,010","1,966","1,545","1,121","1,541",600,"2,071","2,692","2,164","1,459","14,936","4,892","2,450","3,497","1,951"
2020년10월_여_연령구간인구수,"50,139","5,244","2,010","1,966","1,545","1,121","1,541",600,"2,071","2,692","2,164","1,459","14,936","4,892","2,450","3,497","1,951"
2020년10월_여_0~9세,"2,863",201,51,45,31,26,38,6,57,129,44,38,"1,327",358,92,297,123
2020년10월_여_10~19세,"3,090",197,63,84,35,39,36,17,68,108,59,48,"1,382",473,132,247,102
2020년10월_여_20~29세,"4,169",431,127,88,51,46,72,34,104,200,112,88,"1,543",574,222,321,156
2020년10월_여_30~39세,"4,293",346,111,91,81,43,65,20,103,208,97,76,"1,772",516,174,413,177
2020년10월_여_40~49세,"5,726",526,130,146,109,73,90,25,146,189,159,84,"2,419",694,233,505,198
2020년10월_여_50~59세,"8,527",958,358,300,220,187,261,131,313,420,337,219,"2,666",865,423,556,313
2020년10월_여_60~69세,"9,233","1,117",494,477,359,267,404,123,490,533,513,409,"2,005",627,508,530,377
2020년10월_여_70~79세,"6,946",864,377,408,349,210,310,125,454,510,444,272,"1,061",489,393,405,275
2020년10월_여_80~89세,"4,660",541,257,286,276,196,230,103,298,349,343,196,686,253,247,205,194
2020년10월_여_90~99세,603,60,40,40,34,33,30,15,38,44,54,29,71,39,25,16,35
2020년10월_여_100세 이상,29,3,2,1,0,1,5,1,0,2,2,0,4,4,1,2,1
