,인천광역시 부평구,인천광역시 부평구 부평1동,인천광역시 부평구 부평2동,인천광역시 부평구 부평3동,인천광역시 부평구 부평4동,인천광역시 부평구 부평5동,인천광역시 부평구 부평6동,인천광역시 부평구 산곡1동,인천광역시 부평구 산곡2동,인천광역시 부평구 산곡3동,인천광역시 부평구 산곡4동,인천광역시 부평구 청천1동,인천광역시 부평구 청천2동,인천광역시 부평구 갈산1동,인천광역시 부평구 갈산2동,인천광역시 부평구 삼산1동,인천광역시 부평구 삼산2동,인천광역시 부평구 부개1동,인천광역시 부평구 부개2동,인천광역시 부평구 부개3동,인천광역시 부평구 일신동,인천광역시 부평구 십정1동,인천광역시 부평구 십정2동
2020년03월_계_총인구수,"506,682","37,907","18,757","13,291","37,274","34,076","14,695","13,387","32,597","22,973","18,473","7,311","35,108","16,987","19,881","35,360","29,939","17,172","17,931","32,883","13,256","13,134","24,290"
2020년03월_계_연령구간인구수,"506,682","37,907","18,757","13,291","37,274","34,076","14,695","13,387","32,597","22,973","18,473","7,311","35,108","16,987","19,881","35,360","29,939","17,172","17,931","32,883","13,256","13,134","24,290"
2020년03월_계_0~9세,"35,512","2,557","1,061",698,"2,795","2,779","1,001",632,"2,845","1,353","1,302",369,"2,842",959,"1,345","2,707","2,698",965,"1,240","2,113","1,178",780,"1,293"
2020년03월_계_10~19세,"45,336","3,044","1,448",892,"2,522","2,465",881,"1,031","3,906","2,147","1,922",561,"3,108","1,383","1,572","3,842","4,394","1,210","1,649","3,538","1,093","1,072","1,656"
2020년03월_계_20~29세,"72,539","6,271","2,681","1,750","5,861","5,259","2,152","1,799","4,379","2,998","2,737",939,"4,975","2,612","2,685","4,969","3,802","2,270","2,563","5,141","1,743","1,677","3,276"
2020년03월_계_30~39세,"70,887","6,241","2,741","1,756","6,869","6,436","2,316","1,462","4,041","2,548","2,240",881,"5,231","2,317","2,961","4,282","3,239","2,207","2,358","4,160","1,940","1,523","3,138"
2020년03월_계_40~49세,"80,011","5,855","2,874","1,929","5,740","5,488","2,177","1,871","5,638","3,308","2,941","1,149","5,346","2,516","2,619","5,966","6,086","2,501","2,852","5,552","1,914","2,019","3,670"
2020년03월_계_50~59세,"92,586","6,140","3,401","2,468","6,227","5,546","2,546","2,699","5,891","4,247","3,462","1,565","6,579","3,412","3,746","6,670","5,232","3,107","3,303","6,494","2,292","2,573","4,986"
2020년03월_계_60~69세,"63,169","4,447","2,499","2,040","4,178","3,513","2,038","2,190","3,539","3,352","2,290","1,092","4,217","2,270","2,935","3,916","2,642","2,757","2,280","3,437","1,898","1,970","3,669"
2020년03월_계_70~79세,"30,859","2,170","1,430","1,155","2,097","1,723","1,027","1,102","1,577","1,868",975,525,"1,872","1,022","1,279","1,873","1,194","1,524","1,156","1,617",826,"1,048","1,799"
2020년03월_계_80~89세,"13,554","1,014",539,508,856,738,470,503,668,988,527,178,818,427,626,971,556,566,468,715,317,397,704
2020년03월_계_90~99세,"2,033",156,72,83,114,117,77,84,106,147,75,41,114,65,110,152,95,61,57,112,49,63,83
2020년03월_계_100세 이상,196,12,11,12,15,12,10,14,7,17,2,11,6,4,3,12,1,4,5,4,6,12,16
2020년03월_남_총인구수,"251,023","18,243","9,374","6,637","18,447","16,902","7,288","6,768","16,085","11,178","8,870","3,938","17,577","8,615","9,721","17,369","14,557","8,683","8,738","15,907","6,811","6,731","12,584"
