,대전광역시 서구,대전광역시 서구 복수동,대전광역시 서구 도마1동,대전광역시 서구 도마2동,대전광역시 서구 정림동,대전광역시 서구 변동,대전광역시 서구 용문동,대전광역시 서구 탄방동,대전광역시 서구 괴정동,대전광역시 서구 가장동,대전광역시 서구 내동,대전광역시 서구 갈마1동,대전광역시 서구 갈마2동,대전광역시 서구 월평1동,대전광역시 서구 월평2동,대전광역시 서구 월평3동,대전광역시 서구 가수원동,대전광역시 서구 관저1동,대전광역시 서구 관저2동,대전광역시 서구 기성동,대전광역시 서구 둔산1동,대전광역시 서구 둔산2동,대전광역시 서구 만년동,대전광역시 서구 둔산3동
2021년06월_계_총인구수,"474,934","22,687","15,215","17,352","16,404","16,218","12,370","27,384","19,226","12,041","23,875","21,564","25,044","11,231","15,029","21,516","41,693","15,787","50,453","3,760","17,040","36,156","12,873","20,016"
2021년06월_계_연령구간인구수,"474,934","22,687","15,215","17,352","16,404","16,218","12,370","27,384","19,226","12,041","23,875","21,564","25,044","11,231","15,029","21,516","41,693","15,787","50,453","3,760","17,040","36,156","12,873","20,016"
2021년06월_계_0~9세,"36,743","2,067",695,842,"1,065",962,603,"1,678","1,165",810,"1,861","1,126","1,405",374,775,"1,765","5,274","1,276","6,102",91,"1,578","3,127",941,"1,161"
2021년06월_계_10~19세,"48,761","3,039",997,"1,367","1,440","1,229",619,"2,378","1,257","1,097","2,639","1,630","2,017",544,"1,283","2,663","4,827","1,600","6,115",172,"3,388","4,260","1,294","2,906"
2021년06월_계_20~29세,"73,505","2,830","2,505","2,442","2,024","2,154","2,444","5,473","4,560","1,619","3,153","4,221","5,643","2,875","1,888","2,713","5,011","2,777","6,794",296,"1,658","5,447","2,345","2,633"
2021년06월_계_30~39세,"65,140","2,609","1,597","1,810","1,749","1,994","2,174","4,642","3,578","1,437","2,714","3,426","4,178","1,866","1,538","2,624","6,582","2,066","7,951",265,"1,342","5,334","1,985","1,679"
2021년06월_계_40~49세,"77,054","4,276","1,789","2,345","2,253","2,269","1,710","4,413","2,813","1,826","3,966","3,065","3,773","1,514","1,941","3,384","7,824","2,343","9,426",405,"4,001","6,251","2,067","3,400"
2021년06월_계_50~59세,"76,766","3,511","2,619","2,929","3,077","2,882","1,738","4,304","2,485","1,964","3,941","3,361","4,022","1,889","2,805","3,886","5,743","2,781","7,612",673,"2,475","6,271","2,240","3,558"
2021년06월_계_60~69세,"57,331","2,561","2,763","3,120","2,835","2,650","1,688","2,776","2,009","1,834","3,187","3,024","2,628","1,349","2,616","3,018","4,081","1,677","3,872",782,"1,341","3,636","1,295","2,589"
2021년06월_계_70~79세,"26,193","1,227","1,549","1,678","1,293","1,418",926,"1,093",935,990,"1,665","1,181",893,557,"1,287",938,"1,591",812,"1,708",580,817,"1,196",467,"1,392"
2021년06월_계_80~89세,"11,680",495,620,735,580,572,410,548,360,404,660,467,438,226,763,450,652,400,759,405,378,555,202,601
2021년06월_계_90~99세,"1,703",69,76,82,86,86,54,76,60,60,88,61,46,35,131,74,105,53,111,87,60,75,37,91
2021년06월_계_100세 이상,58,3,5,2,2,2,4,3,4,0,1,2,1,2,2,1,3,2,3,4,2,4,0,6
2021년06월_남_총인구수,"233,513","11,183","7,721","8,769","8,010","8,245","5,898","13,131","9,404","5,837","11,472","11,004","12,520","5,998","7,146","10,574","20,517","7,545","24,636","1,937","8,397","17,474","6,446","9,649"
