카테고리,서울특별시 용산구,서울특별시 용산구 후암동,서울특별시 용산구 용산2가동,서울특별시 용산구 남영동,서울특별시 용산구 청파동,서울특별시 용산구 원효로제1동,서울특별시 용산구 원효로제2동,서울특별시 용산구 효창동,서울특별시 용산구 용문동,서울특별시 용산구 한강로동,서울특별시 용산구 이촌제1동,서울특별시 용산구 이촌제2동,서울특별시 용산구 이태원제1동,서울특별시 용산구 이태원제2동,서울특별시 용산구 한남동,서울특별시 용산구 서빙고동,서울특별시 용산구 보광동
2020년01월_계_총인구수,"229,385","17,948","10,415","7,779","19,816","16,071","14,543","10,226","12,471","18,079","28,424","8,891","6,827","9,273","20,868","13,389","14,365"
2020년01월_계_연령구간인구수,"229,385","17,948","10,415","7,779","19,816","16,071","14,543","10,226","12,471","18,079","28,424","8,891","6,827","9,273","20,868","13,389","14,365"
2020년01월_계_0~9세,"14,127","1,052",447,232,735,"1,399","1,019",779,841,926,"2,880",578,260,462,"1,190",828,499
2020년01월_계_10~19세,"16,395","1,370",641,280,"1,280",882,"1,352",813,924,897,"3,010",535,309,506,"1,170","1,562",864
2020년01월_계_20~29세,"32,991","2,660","1,595",963,"4,052","2,460","1,894","1,586","1,813","2,773","3,030","1,026",984,"1,351","2,764","1,807","2,233"
2020년01월_계_30~39세,"38,086","2,860","1,825","1,047","3,121","3,652","2,130","1,871","2,043","3,587","3,835","1,546","1,086","1,702","4,037","1,558","2,186"
2020년01월_계_40~49세,"36,263","2,827","1,479","1,185","2,861","2,666","2,413","1,585","1,941","2,567","5,121","1,254",917,"1,389","3,363","2,534","2,161"
2020년01월_계_50~59세,"36,595","2,928","1,528","1,691","3,099","2,153","2,368","1,558","2,004","3,011","4,411","1,424","1,129","1,301","3,216","2,245","2,529"
2020년01월_계_60~69세,"27,599","2,175","1,435","1,320","2,328","1,553","1,702","1,006","1,508","2,234","2,850","1,310","1,041","1,186","2,633","1,357","1,961"
2020년01월_계_70~79세,"17,192","1,322",935,691,"1,568",841,"1,053",642,944,"1,313","1,889",771,645,872,"1,638",804,"1,264"
2020년01월_계_80~89세,"8,246",590,431,277,637,376,524,321,372,596,"1,137",373,365,414,675,605,553
2020년01월_계_90~99세,"1,534",135,79,60,102,72,75,52,68,132,226,60,70,76,150,83,94
2020년01월_계_100세 이상,357,29,20,33,33,17,13,13,13,43,35,14,21,14,32,6,21
2020년01월_남_총인구수,"110,701","8,734","5,037","4,748","9,376","7,749","6,854","4,881","5,966","8,748","13,321","4,186","3,228","4,288","10,078","6,452","7,055"
2020년01월_남_연령구간인구수,"110,701","8,734","5,037","4,748","9,376","7,749","6,854","4,881","5,966","8,748","13,321","4,186","3,228","4,288","10,078","6,452","7,055"
2020년01월_남_0~9세,"7,307",548,237,116,369,716,511,396,431,480,"1,504",311,130,236,638,415,269
2020년01월_남_10~19세,"8,390",758,325,156,689,447,542,426,483,473,"1,527",278,154,237,610,799,486
2020년01월_남_20~29세,"15,865","1,344",853,463,"1,685","1,037",900,750,854,"1,278","1,474",497,519,694,"1,362",914,"1,241"
2020년01월_남_30~39세,"19,001","1,474",931,539,"1,671","1,802","1,081",929,"1,017","1,690","1,713",781,570,852,"2,023",744,"1,184"
2020년01월_남_40~49세,"17,858","1,387",750,784,"1,431","1,381","1,183",753,953,"1,285","2,305",618,453,655,"1,649","1,204","1,067"
2020년01월_남_50~59세,"18,103","1,407",706,"1,210","1,543","1,051","1,178",752,995,"1,489","2,131",650,532,578,"1,554","1,131","1,196"
2020년01월_남_60~69세,"13,094","1,019",651,904,"1,061",743,793,465,681,"1,127","1,348",594,461,499,"1,218",668,862
2020년01월_남_70~79세,"7,435",575,423,394,649,384,460,268,394,612,778,328,250,358,715,323,524
2020년01월_남_80~89세,"3,067",181,136,137,240,163,181,123,140,248,444,118,132,156,255,224,189
2020년01월_남_90~99세,482,36,20,28,28,21,21,17,13,52,90,9,21,20,47,28,31
2020년01월_남_100세 이상,99,5,5,17,10,4,4,2,5,14,7,2,6,3,7,2,6
2020년01월_여_총인구수,"118,684","9,214","5,378","3,031","10,440","8,322","7,689","5,345","6,505","9,331","15,103","4,705","3,599","4,985","10,790","6,937","7,310"
2020년01월_여_연령구간인구수,"118,684","9,214","5,378","3,031","10,440","8,322","7,689","5,345","6,505","9,331","15,103","4,705","3,599","4,985","10,790","6,937","7,310"
2020년01월_여_0~9세,"6,820",504,210,116,366,683,508,383,410,446,"1,376",267,130,226,552,413,230
2020년01월_여_10~19세,"8,005",612,316,124,591,435,810,387,441,424,"1,483",257,155,269,560,763,378
2020년01월_여_20~29세,"17,126","1,316",742,500,"2,367","1,423",994,836,959,"1,495","1,556",529,465,657,"1,402",893,992
