,경상남도 고성군,경상남도 고성군 고성읍,경상남도 고성군 삼산면,경상남도 고성군 하일면,경상남도 고성군 하이면,경상남도 고성군 상리면,경상남도 고성군 대가면,경상남도 고성군 영현면,경상남도 고성군 영오면,경상남도 고성군 개천면,경상남도 고성군 구만면,경상남도 고성군 회화면,경상남도 고성군 마암면,경상남도 고성군 동해면,경상남도 고성군 거류면
2021년05월_계_총인구수,"50,987","24,276","1,752","1,853","2,724","1,589","1,666",861,"1,427","1,109","1,016","3,592","1,736","3,073","4,313"
2021년05월_계_연령구간인구수,"50,987","24,276","1,752","1,853","2,724","1,589","1,666",861,"1,427","1,109","1,016","3,592","1,736","3,073","4,313"
2021년05월_계_0~9세,"2,429","1,756",42,25,99,24,32,13,37,22,26,145,16,64,128
2021년05월_계_10~19세,"4,159","2,678",78,109,181,67,60,28,58,71,31,312,54,141,291
2021년05월_계_20~29세,"3,817","2,232",83,83,232,69,78,45,100,57,50,257,76,173,282
2021년05월_계_30~39세,"3,665","2,280",85,87,188,64,72,34,70,40,40,222,60,150,273
2021년05월_계_40~49세,"6,206","3,684",165,138,290,134,124,49,119,74,65,384,166,283,531
2021년05월_계_50~59세,"8,986","4,288",290,290,485,277,293,110,250,168,179,637,336,568,815
2021년05월_계_60~69세,"9,975","3,852",460,455,594,370,417,211,324,279,247,796,410,717,843
2021년05월_계_70~79세,"6,768","2,220",321,392,375,317,299,198,231,181,195,509,336,565,629
2021년05월_계_80~89세,"4,310","1,128",197,235,238,227,238,152,201,181,153,292,245,360,463
2021년05월_계_90~99세,657,154,30,39,41,39,53,21,36,35,28,38,36,51,56
2021년05월_계_100세 이상,15,4,1,0,1,1,0,0,1,1,2,0,1,1,2
2021년05월_남_총인구수,"25,578","12,191",897,909,"1,414",781,853,382,698,543,509,"1,745",865,"1,589","2,202"
2021년05월_남_연령구간인구수,"25,578","12,191",897,909,"1,414",781,853,382,698,543,509,"1,745",865,"1,589","2,202"
2021년05월_남_0~9세,"1,217",899,21,11,46,13,15,8,13,11,12,67,5,32,64
2021년05월_남_10~19세,"2,275","1,485",47,61,94,37,35,13,30,36,15,155,28,80,159
2021년05월_남_20~29세,"2,254","1,298",54,54,148,45,42,23,66,34,34,133,49,99,175
2021년05월_남_30~39세,"2,026","1,191",56,50,117,34,51,17,43,24,27,112,40,100,164
2021년05월_남_40~49세,"3,447","1,920",97,95,173,81,74,27,76,48,38,201,96,199,322
2021년05월_남_50~59세,"4,903","2,237",168,166,254,144,173,59,140,97,110,337,199,337,482
2021년05월_남_60~69세,"4,990","1,838",243,209,315,202,230,102,171,142,140,403,221,364,410
2021년05월_남_70~79세,"3,012",949,149,179,176,141,145,88,98,85,79,235,146,269,273
2021년05월_남_80~89세,"1,337",346,58,74,82,76,73,43,58,58,47,97,77,103,145
2021년05월_남_90~99세,115,27,4,10,9,8,15,2,3,8,6,5,4,6,8
2021년05월_남_100세 이상,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2021년05월_여_총인구수,"25,409","12,085",855,944,"1,310",808,813,479,729,566,507,"1,847",871,"1,484","2,111"
2021년05월_여_연령구간인구수,"25,409","12,085",855,944,"1,310",808,813,479,729,566,507,"1,847",871,"1,484","2,111"
2021년05월_여_0~9세,"1,212",857,21,14,53,11,17,5,24,11,14,78,11,32,64
2021년05월_여_10~19세,"1,884","1,193",31,48,87,30,25,15,28,35,16,157,26,61,132
2021년05월_여_20~29세,"1,563",934,29,29,84,24,36,22,34,23,16,124,27,74,107
2021년05월_여_30~39세,"1,639","1,089",29,37,71,30,21,17,27,16,13,110,20,50,109
2021년05월_여_40~49세,"2,759","1,764",68,43,117,53,50,22,43,26,27,183,70,84,209
2021년05월_여_50~59세,"4,083","2,051",122,124,231,133,120,51,110,71,69,300,137,231,333
2021년05월_여_60~69세,"4,985","2,014",217,246,279,168,187,109,153,137,107,393,189,353,433
2021년05월_여_70~79세,"3,756","1,271",172,213,199,176,154,110,133,96,116,274,190,296,356
2021년05월_여_80~89세,"2,973",782,139,161,156,151,165,109,143,123,106,195,168,257,318
2021년05월_여_90~99세,542,127,26,29,32,31,38,19,33,27,22,33,32,45,48
2021년05월_여_100세 이상,13,3,1,0,1,1,0,0,1,1,1,0,1,1,2
