,충청남도 금산군,충청남도 금산군 금산읍,충청남도 금산군 금성면,충청남도 금산군 제원면,충청남도 금산군 부리면,충청남도 금산군 군북면,충청남도 금산군 남일면,충청남도 금산군 남이면,충청남도 금산군 진산면,충청남도 금산군 복수면,충청남도 금산군 추부면
2020년05월_계_총인구수,"51,746","22,924","3,342","2,862","2,528","2,581","2,875","2,170","3,273","3,090","6,101"
2020년05월_계_연령구간인구수,"51,746","22,924","3,342","2,862","2,528","2,581","2,875","2,170","3,273","3,090","6,101"
2020년05월_계_0~9세,"2,711","1,743",94,78,71,136,88,64,79,82,276
2020년05월_계_10~19세,"4,400","2,494",168,110,86,139,417,187,225,148,426
2020년05월_계_20~29세,"4,040","2,188",229,182,114,138,163,103,196,219,508
2020년05월_계_30~39세,"3,984","2,292",218,174,122,162,129,90,149,190,458
2020년05월_계_40~49세,"6,359","3,580",306,236,204,258,237,183,347,305,703
2020년05월_계_50~59세,"9,241","3,759",635,513,440,441,461,445,635,630,"1,282"
2020년05월_계_60~69세,"9,435","3,260",708,716,591,575,547,439,679,709,"1,211"
2020년05월_계_70~79세,"6,804","2,360",534,453,463,417,444,375,578,473,707
2020년05월_계_80~89세,"4,214","1,099",378,357,391,289,358,248,343,286,465
2020년05월_계_90~99세,527,134,69,43,44,26,30,33,39,46,63
2020년05월_계_100세 이상,31,15,3,0,2,0,1,3,3,2,2
2020년05월_남_총인구수,"26,057","11,278","1,714","1,494","1,255","1,293","1,447","1,114","1,653","1,632","3,177"
2020년05월_남_연령구간인구수,"26,057","11,278","1,714","1,494","1,255","1,293","1,447","1,114","1,653","1,632","3,177"
2020년05월_남_0~9세,"1,380",859,59,43,34,63,50,36,48,45,143
2020년05월_남_10~19세,"2,305","1,283",98,69,41,76,208,97,125,85,223
2020년05월_남_20~29세,"2,320","1,231",137,112,64,85,101,70,102,132,286
2020년05월_남_30~39세,"2,089","1,172",124,101,70,82,61,41,81,94,263
2020년05월_남_40~49세,"3,543","1,864",176,153,144,157,148,115,205,190,391
2020년05월_남_50~59세,"5,060","1,923",366,296,262,259,262,258,361,360,713
2020년05월_남_60~69세,"4,770","1,534",366,384,297,290,289,240,340,376,654
2020년05월_남_70~79세,"3,041",997,239,213,209,182,202,161,267,234,337
2020년05월_남_80~89세,"1,414",383,133,109,125,95,118,89,113,102,147
2020년05월_남_90~99세,126,28,15,14,9,4,8,7,9,13,19
2020년05월_남_100세 이상,9,4,1,0,0,0,0,0,2,1,1
2020년05월_여_총인구수,"25,689","11,646","1,628","1,368","1,273","1,288","1,428","1,056","1,620","1,458","2,924"
2020년05월_여_연령구간인구수,"25,689","11,646","1,628","1,368","1,273","1,288","1,428","1,056","1,620","1,458","2,924"
2020년05월_여_0~9세,"1,331",884,35,35,37,73,38,28,31,37,133
2020년05월_여_10~19세,"2,095","1,211",70,41,45,63,209,90,100,63,203
2020년05월_여_20~29세,"1,720",957,92,70,50,53,62,33,94,87,222
2020년05월_여_30~39세,"1,895","1,120",94,73,52,80,68,49,68,96,195
2020년05월_여_40~49세,"2,816","1,716",130,83,60,101,89,68,142,115,312
2020년05월_여_50~59세,"4,181","1,836",269,217,178,182,199,187,274,270,569
2020년05월_여_60~69세,"4,665","1,726",342,332,294,285,258,199,339,333,557
2020년05월_여_70~79세,"3,763","1,363",295,240,254,235,242,214,311,239,370
2020년05월_여_80~89세,"2,800",716,245,248,266,194,240,159,230,184,318
2020년05월_여_90~99세,401,106,54,29,35,22,22,26,30,33,44
2020년05월_여_100세 이상,22,11,2,0,2,0,1,3,1,1,1
