,경상남도 함안군,경상남도 함안군 가야읍,경상남도 함안군 칠원읍,경상남도 함안군 함안면,경상남도 함안군 군북면,경상남도 함안군 법수면,경상남도 함안군 대산면,경상남도 함안군 칠서면,경상남도 함안군 칠북면,경상남도 함안군 산인면,경상남도 함안군 여항면
2020년04월_계_총인구수,"64,959","18,768","19,904","2,442","6,266","2,896","3,533","5,516","1,973","2,756",905
2020년04월_계_연령구간인구수,"64,959","18,768","19,904","2,442","6,266","2,896","3,533","5,516","1,973","2,756",905
2020년04월_계_0~9세,"4,429","1,379","2,093",67,321,66,72,327,25,64,15
2020년04월_계_10~19세,"6,058","2,007","2,670",126,313,92,139,485,69,129,28
2020년04월_계_20~29세,"5,694","2,066","1,659",166,493,192,257,449,128,230,54
2020년04월_계_30~39세,"6,052","1,991","2,229",154,577,153,156,462,97,182,51
2020년04월_계_40~49세,"9,622","2,928","3,922",228,601,287,320,839,168,262,67
2020년04월_계_50~59세,"11,402","3,393","3,140",430,"1,085",568,622,"1,048",367,567,182
2020년04월_계_60~69세,"10,576","2,619","2,358",549,"1,227",689,796,903,493,685,257
2020년04월_계_70~79세,"6,646","1,443","1,202",407,917,488,679,633,374,357,146
2020년04월_계_80~89세,"3,947",821,542,285,645,322,432,326,233,250,91
2020년04월_계_90~99세,522,116,85,30,85,39,60,44,19,30,14
2020년04월_계_100세 이상,11,5,4,0,2,0,0,0,0,0,0
2020년04월_남_총인구수,"32,912","9,462","10,074","1,206","3,231","1,474","1,744","2,845","1,020","1,396",460
2020년04월_남_연령구간인구수,"32,912","9,462","10,074","1,206","3,231","1,474","1,744","2,845","1,020","1,396",460
2020년04월_남_0~9세,"2,218",715,"1,018",30,156,33,42,174,10,30,10
2020년04월_남_10~19세,"3,237","1,102","1,409",69,174,52,69,229,40,75,18
2020년04월_남_20~29세,"3,273","1,182",917,90,302,118,148,263,80,143,30
2020년04월_남_30~39세,"3,098","1,012","1,045",85,335,99,90,243,59,98,32
2020년04월_남_40~49세,"5,214","1,510","2,014",130,392,187,205,465,114,154,43
2020년04월_남_50~59세,"6,251","1,771","1,715",235,628,332,361,605,221,288,95
2020년04월_남_60~69세,"5,460","1,305","1,207",297,647,356,396,481,259,373,139
2020년04월_남_70~79세,"2,884",600,569,178,382,198,284,281,159,167,66
2020년04월_남_80~89세,"1,165",236,158,87,191,90,137,99,76,65,26
2020년04월_남_90~99세,109,29,21,5,22,9,12,5,2,3,1
2020년04월_남_100세 이상,3,0,1,0,2,0,0,0,0,0,0
2020년04월_여_총인구수,"32,047","9,306","9,830","1,236","3,035","1,422","1,789","2,671",953,"1,360",445
2020년04월_여_연령구간인구수,"32,047","9,306","9,830","1,236","3,035","1,422","1,789","2,671",953,"1,360",445
2020년04월_여_0~9세,"2,211",664,"1,075",37,165,33,30,153,15,34,5
2020년04월_여_10~19세,"2,821",905,"1,261",57,139,40,70,256,29,54,10
2020년04월_여_20~29세,"2,421",884,742,76,191,74,109,186,48,87,24
2020년04월_여_30~39세,"2,954",979,"1,184",69,242,54,66,219,38,84,19
2020년04월_여_40~49세,"4,408","1,418","1,908",98,209,100,115,374,54,108,24
2020년04월_여_50~59세,"5,151","1,622","1,425",195,457,236,261,443,146,279,87
2020년04월_여_60~69세,"5,116","1,314","1,151",252,580,333,400,422,234,312,118
2020년04월_여_70~79세,"3,762",843,633,229,535,290,395,352,215,190,80
2020년04월_여_80~89세,"2,782",585,384,198,454,232,295,227,157,185,65
2020년04월_여_90~99세,413,87,64,25,63,30,48,39,17,27,13
2020년04월_여_100세 이상,8,5,3,0,0,0,0,0,0,0,0
