,서울특별시 관악구,서울특별시 관악구 보라매동,서울특별시 관악구 청림동,서울특별시 관악구 성현동,서울특별시 관악구 행운동,서울특별시 관악구 낙성대동,서울특별시 관악구 청룡동,서울특별시 관악구 은천동,서울특별시 관악구 중앙동,서울특별시 관악구 인헌동,서울특별시 관악구 남현동,서울특별시 관악구 서원동,서울특별시 관악구 신원동,서울특별시 관악구 서림동,서울특별시 관악구 신사동,서울특별시 관악구 신림동,서울특별시 관악구 난향동,서울특별시 관악구 조원동,서울특별시 관악구 대학동,서울특별시 관악구 삼성동,서울특별시 관악구 미성동,서울특별시 관악구 난곡동
2021년04월_계_총인구수,"489,464","24,360","15,271","29,742","29,027","16,861","35,219","33,547","15,184","25,948","18,141","22,592","18,067","23,428","22,634","21,799","15,508","17,293","23,638","23,032","30,935","27,238"
2021년04월_계_연령구간인구수,"489,464","24,360","15,271","29,742","29,027","16,861","35,219","33,547","15,184","25,948","18,141","22,592","18,067","23,428","22,634","21,799","15,508","17,293","23,638","23,032","30,935","27,238"
2021년04월_계_0~9세,"21,264","1,165","1,222","1,974","1,133",659,"1,252","2,027",400,"1,104",955,653,559,776,775,344,"1,180",632,674,859,"1,700","1,221"
2021년04월_계_10~19세,"28,135","1,458","1,128","2,863","1,373",870,"1,685","2,641",564,"1,542",807,826,850,"1,053","1,102",505,"1,414",827,998,"1,496","2,272","1,861"
2021년04월_계_20~29세,"108,707","4,710","1,842","3,897","7,450","5,480","11,378","5,474","4,470","5,818","3,909","6,341","4,415","5,672","5,833","8,358","1,741","4,027","6,166","2,797","4,814","4,115"
2021년04월_계_30~39세,"85,746","4,031","2,533","3,884","5,951","3,494","6,780","5,235","2,979","4,941","3,607","4,573","3,197","4,650","3,930","5,634","1,829","3,214","4,795","2,593","4,245","3,651"
2021년04월_계_40~49세,"67,213","3,361","2,481","4,941","3,631","2,004","4,012","5,191","1,725","3,526","2,288","2,743","2,242","3,220","2,892","2,470","2,930","2,245","3,542","3,226","4,657","3,886"
2021년04월_계_50~59세,"67,363","3,363","2,292","4,760","3,448","1,651","3,871","4,850","1,796","3,484","2,535","2,778","2,413","3,095","3,206","1,766","2,551","2,384","3,204","4,137","4,949","4,830"
2021년04월_계_60~69세,"59,325","3,304","1,952","3,895","3,190","1,354","3,310","4,317","1,682","2,953","2,263","2,551","2,233","2,753","2,620","1,461","2,101","2,183","2,338","4,105","4,637","4,123"
2021년04월_계_70~79세,"36,629","2,128","1,199","2,457","2,066",948,"2,138","2,736","1,101","1,845","1,304","1,513","1,524","1,553","1,626",917,"1,245","1,228","1,317","2,597","2,665","2,522"
2021년04월_계_80~89세,"13,357",733,552,944,696,362,708,967,424,658,412,555,559,574,583,304,463,495,541,"1,048",864,915
2021년04월_계_90~99세,"1,622",102,67,123,82,35,83,104,39,74,60,54,71,76,63,34,50,55,62,167,115,106
2021년04월_계_100세 이상,103,5,3,4,7,4,2,5,4,3,1,5,4,6,4,6,4,3,1,7,17,8
