,경상남도 하동군,경상남도 하동군 하동읍,경상남도 하동군 화개면,경상남도 하동군 악양면,경상남도 하동군 적량면,경상남도 하동군 횡천면,경상남도 하동군 고전면,경상남도 하동군 금남면,경상남도 하동군 진교면,경상남도 하동군 양보면,경상남도 하동군 북천면,경상남도 하동군 청암면,경상남도 하동군 옥종면,경상남도 하동군 금성면
2021년06월_계_총인구수,"44,065","9,873","3,056","3,503","1,934","1,858","2,246","3,442","5,938","1,730","1,725","1,475","4,271","3,014"
2021년06월_계_연령구간인구수,"44,065","9,873","3,056","3,503","1,934","1,858","2,246","3,442","5,938","1,730","1,725","1,475","4,271","3,014"
2021년06월_계_0~9세,"1,710",545,84,103,53,49,60,85,330,23,62,51,150,115
2021년06월_계_10~19세,"2,759",868,198,184,85,67,123,145,435,70,82,126,226,150
2021년06월_계_20~29세,"3,251",956,231,187,125,110,139,256,459,79,85,72,252,300
2021년06월_계_30~39세,"2,653",813,123,155,97,102,103,174,413,68,100,78,227,200
2021년06월_계_40~49세,"4,774","1,335",344,331,182,142,216,313,771,137,147,125,372,359
2021년06월_계_50~59세,"8,133","1,776",700,707,328,338,378,635,"1,042",281,275,262,825,586
2021년06월_계_60~69세,"9,186","1,704",635,778,446,439,517,784,"1,134",387,395,394,983,590
2021년06월_계_70~79세,"6,360","1,144",448,578,303,294,363,586,728,355,304,221,634,402
2021년06월_계_80~89세,"4,445",638,246,404,276,270,277,392,527,275,235,122,510,273
2021년06월_계_90~99세,777,93,45,75,39,45,69,69,97,53,40,23,90,39
2021년06월_계_100세 이상,17,1,2,1,0,2,1,3,2,2,0,1,2,0
2021년06월_남_총인구수,"22,015","4,871","1,548","1,725",944,923,"1,107","1,754","2,936",848,842,771,"2,160","1,586"
2021년06월_남_연령구간인구수,"22,015","4,871","1,548","1,725",944,923,"1,107","1,754","2,936",848,842,771,"2,160","1,586"
2021년06월_남_0~9세,892,277,41,64,33,24,37,47,151,13,28,29,81,67
2021년06월_남_10~19세,"1,497",450,111,104,51,33,57,74,240,32,47,85,124,89
2021년06월_남_20~29세,"1,945",534,130,121,70,66,92,168,280,54,45,40,151,194
2021년06월_남_30~39세,"1,463",433,64,85,54,58,61,115,203,43,58,42,128,119
2021년06월_남_40~49세,"2,655",683,181,182,103,93,124,184,429,80,84,73,218,221
2021년06월_남_50~59세,"4,483",951,398,370,177,175,214,371,550,154,165,143,467,348
2021년06월_남_60~69세,"4,777",841,337,409,238,242,267,397,577,209,215,212,529,304
2021년06월_남_70~79세,"2,776",481,187,240,132,139,160,255,325,166,128,113,290,160
2021년06월_남_80~89세,"1,365",200,86,142,73,80,84,129,161,88,63,31,153,75
2021년06월_남_90~99세,158,21,12,8,13,11,11,14,20,9,9,3,18,9
2021년06월_남_100세 이상,4,0,1,0,0,2,0,0,0,0,0,0,1,0
2021년06월_여_총인구수,"22,050","5,002","1,508","1,778",990,935,"1,139","1,688","3,002",882,883,704,"2,111","1,428"
2021년06월_여_연령구간인구수,"22,050","5,002","1,508","1,778",990,935,"1,139","1,688","3,002",882,883,704,"2,111","1,428"
2021년06월_여_0~9세,818,268,43,39,20,25,23,38,179,10,34,22,69,48
2021년06월_여_10~19세,"1,262",418,87,80,34,34,66,71,195,38,35,41,102,61
2021년06월_여_20~29세,"1,306",422,101,66,55,44,47,88,179,25,40,32,101,106
2021년06월_여_30~39세,"1,190",380,59,70,43,44,42,59,210,25,42,36,99,81
2021년06월_여_40~49세,"2,119",652,163,149,79,49,92,129,342,57,63,52,154,138
2021년06월_여_50~59세,"3,650",825,302,337,151,163,164,264,492,127,110,119,358,238
2021년06월_여_60~69세,"4,409",863,298,369,208,197,250,387,557,178,180,182,454,286
2021년06월_여_70~79세,"3,584",663,261,338,171,155,203,331,403,189,176,108,344,242
2021년06월_여_80~89세,"3,080",438,160,262,203,190,193,263,366,187,172,91,357,198
2021년06월_여_90~99세,619,72,33,67,26,34,58,55,77,44,31,20,72,30
2021년06월_여_100세 이상,13,1,1,1,0,0,1,3,2,2,0,1,1,0
