,경상남도 밀양시,경상남도 밀양시 삼랑진읍,경상남도 밀양시 삼랑진임천출장소,경상남도 밀양시 하남읍,경상남도 밀양시 부북면,경상남도 밀양시 상동면,경상남도 밀양시 산외면,경상남도 밀양시 산내면,경상남도 밀양시 단장면,경상남도 밀양시 상남면,경상남도 밀양시 초동면,경상남도 밀양시 무안면,경상남도 밀양시 청도면,경상남도 밀양시 내일동,경상남도 밀양시 내이동,경상남도 밀양시 삼문동,경상남도 밀양시 가곡동,경상남도 밀양시 교동
2021년02월_계_총인구수,"104,497","5,358","1,304","7,138","5,196","3,066","2,809","3,938","4,303","8,423","3,421","4,995","1,776","2,734","15,966","20,275","7,925","5,870"
2021년02월_계_연령구간인구수,"104,497","5,358","1,304","7,138","5,196","3,066","2,809","3,938","4,303","8,423","3,421","4,995","1,776","2,734","15,966","20,275","7,925","5,870"
2021년02월_계_0~9세,"5,521",141,21,282,119,59,57,87,78,450,84,105,34,63,"1,320","1,929",364,328
2021년02월_계_10~19세,"7,779",248,48,419,237,87,117,221,151,531,122,251,58,140,"1,400","2,574",624,551
2021년02월_계_20~29세,"9,031",322,125,478,357,152,179,211,228,649,171,309,88,230,"1,939","2,157",771,665
2021년02월_계_30~39세,"8,790",317,71,485,325,153,146,177,245,654,164,239,66,188,"2,125","2,130",699,606
2021년02월_계_40~49세,"12,864",512,96,759,466,205,256,363,306,"1,004",299,373,131,308,"2,414","3,469","1,046",857
2021년02월_계_50~59세,"18,670",991,232,"1,330","1,005",520,560,733,887,"1,491",577,867,277,530,"2,793","3,306","1,444","1,127"
2021년02월_계_60~69세,"21,232","1,368",331,"1,615","1,331",942,727,"1,061","1,280","1,793",934,"1,304",500,612,"2,326","2,626","1,470","1,012"
2021년02월_계_70~79세,"12,715",926,220,"1,074",793,562,472,677,690,"1,137",646,850,345,424,"1,090","1,359",940,510
2021년02월_계_80~89세,"6,932",464,138,622,489,336,255,355,387,627,378,611,248,212,467,643,506,194
2021년02월_계_90~99세,916,67,22,66,72,50,36,52,48,83,42,83,29,21,89,79,59,18
2021년02월_계_100세 이상,47,2,0,8,2,0,4,1,3,4,4,3,0,6,3,3,2,2
2021년02월_남_총인구수,"51,214","2,651",646,"3,573","2,675","1,473","1,434","2,022","2,126","4,157","1,688","2,436",862,"1,324","7,868","9,775","3,668","2,836"
2021년02월_남_연령구간인구수,"51,214","2,651",646,"3,573","2,675","1,473","1,434","2,022","2,126","4,157","1,688","2,436",862,"1,324","7,868","9,775","3,668","2,836"
2021년02월_남_0~9세,"2,818",74,9,156,67,30,31,47,43,224,39,57,15,31,636,"1,016",188,155
2021년02월_남_10~19세,"4,081",127,27,227,128,49,69,124,77,267,67,140,30,75,732,"1,366",298,278
2021년02월_남_20~29세,"5,212",190,72,292,240,96,118,136,142,389,100,171,60,150,"1,072","1,208",405,371
2021년02월_남_30~39세,"4,650",185,44,279,195,85,82,106,140,349,98,137,39,97,"1,105","1,025",372,312
2021년02월_남_40~49세,"6,822",311,63,462,283,130,155,228,179,567,189,209,80,167,"1,232","1,631",509,427
2021년02월_남_50~59세,"9,422",504,131,702,552,263,300,388,445,761,304,485,125,264,"1,387","1,562",713,536
2021년02월_남_60~69세,"10,360",693,155,772,687,452,369,552,653,908,458,653,272,287,"1,102","1,189",680,478
2021년02월_남_70~79세,"5,530",406,97,482,346,267,223,325,328,489,303,380,155,180,435,560,337,217
2021년02월_남_80~89세,"2,131",147,45,188,163,89,82,109,111,185,123,191,80,67,144,199,151,57
2021년02월_남_90~99세,179,13,3,12,14,12,4,7,7,18,6,13,6,4,23,18,14,5
2021년02월_남_100세 이상,9,1,0,1,0,0,1,0,1,0,1,0,0,2,0,1,1,0
2021년02월_여_총인구수,"53,283","2,707",658,"3,565","2,521","1,593","1,375","1,916","2,177","4,266","1,733","2,559",914,"1,410","8,098","10,500","4,257","3,034"
2021년02월_여_연령구간인구수,"53,283","2,707",658,"3,565","2,521","1,593","1,375","1,916","2,177","4,266","1,733","2,559",914,"1,410","8,098","10,500","4,257","3,034"
2021년02월_여_0~9세,"2,703",67,12,126,52,29,26,40,35,226,45,48,19,32,684,913,176,173
2021년02월_여_10~19세,"3,698",121,21,192,109,38,48,97,74,264,55,111,28,65,668,"1,208",326,273
2021년02월_여_20~29세,"3,819",132,53,186,117,56,61,75,86,260,71,138,28,80,867,949,366,294
2021년02월_여_30~39세,"4,140",132,27,206,130,68,64,71,105,305,66,102,27,91,"1,020","1,105",327,294
2021년02월_여_40~49세,"6,042",201,33,297,183,75,101,135,127,437,110,164,51,141,"1,182","1,838",537,430
2021년02월_여_50~59세,"9,248",487,101,628,453,257,260,345,442,730,273,382,152,266,"1,406","1,744",731,591
2021년02월_여_60~69세,"10,872",675,176,843,644,490,358,509,627,885,476,651,228,325,"1,224","1,437",790,534
2021년02월_여_70~79세,"7,185",520,123,592,447,295,249,352,362,648,343,470,190,244,655,799,603,293
2021년02월_여_80~89세,"4,801",317,93,434,326,247,173,246,276,442,255,420,168,145,323,444,355,137
2021년02월_여_90~99세,737,54,19,54,58,38,32,45,41,65,36,70,23,17,66,61,45,13
2021년02월_여_100세 이상,38,1,0,7,2,0,3,1,2,4,3,3,0,4,3,2,1,2
