,경기도 시흥시,경기도 시흥시 대야동,경기도 시흥시 신천동,경기도 시흥시 신현동,경기도 시흥시 은행동,경기도 시흥시 매화동,경기도 시흥시 목감동,경기도 시흥시 군자동,경기도 시흥시 월곶동,경기도 시흥시 정왕본동,경기도 시흥시 정왕1동,경기도 시흥시 정왕2동,경기도 시흥시 정왕3동,경기도 시흥시 정왕4동,경기도 시흥시 배곧동,경기도 시흥시 과림동,경기도 시흥시 연성동,경기도 시흥시 장곡동,경기도 시흥시 능곡동
2020년07월_계_총인구수,"484,164","40,203","37,190","10,128","49,138","12,305","42,978","22,616","15,801","20,408","22,477","32,022","23,054","21,595","70,325","1,946","24,226","19,137","18,615"
2020년07월_계_연령구간인구수,"484,164","40,203","37,190","10,128","49,138","12,305","42,978","22,616","15,801","20,408","22,477","32,022","23,054","21,595","70,325","1,946","24,226","19,137","18,615"
2020년07월_계_0~9세,"47,011","3,124","1,853",487,"5,973",748,"6,330","1,706","1,497","1,210","1,413","2,568","1,800","1,736","11,238",49,"1,862","1,878","1,539"
2020년07월_계_10~19세,"49,490","3,430","3,519",794,"5,242","1,249","3,407","2,302","1,485","1,171","1,950","3,697","2,167","2,776","7,689",49,"3,148","2,997","2,418"
2020년07월_계_20~29세,"67,392","6,267","5,985","1,425","6,345","1,693","4,243","2,958","1,755","3,139","3,401","5,141","3,130","3,624","9,036",154,"3,667","2,730","2,699"
2020년07월_계_30~39세,"74,718","5,963","4,035","1,014","8,172","1,147","8,861","2,847","2,387","4,225","3,570","4,374","3,315","2,510","15,084",178,"2,601","2,205","2,230"
2020년07월_계_40~49세,"88,002","5,901","5,652","1,396","8,396","2,042","7,442","3,974","3,138","4,247","4,650","6,262","4,656","3,951","14,141",185,"4,529","4,017","3,423"
2020년07월_계_50~59세,"85,087","7,911","8,264","2,284","8,134","2,515","5,785","4,168","2,626","3,768","4,379","6,025","4,520","4,324","8,358",473,"4,802","3,397","3,354"
2020년07월_계_60~69세,"43,788","4,663","4,797","1,568","4,285","1,556","4,272","2,696","1,697","1,724","2,017","2,361","2,146","1,469","3,387",535,"1,936","1,062","1,617"
2020년07월_계_70~79세,"18,819","1,853","2,078",749,"1,701",866,"1,792","1,291",828,639,746,"1,016",855,744,980,225,"1,069",535,852
2020년07월_계_80~89세,"8,517",941,865,359,767,427,720,583,337,248,305,525,390,415,359,79,526,266,405
2020년07월_계_90~99세,"1,244",140,122,44,116,58,112,81,49,34,44,51,74,44,52,17,81,48,77
2020년07월_계_100세 이상,96,10,20,8,7,4,14,10,2,3,2,2,1,2,1,2,5,2,1
2020년07월_남_총인구수,"253,293","20,442","19,280","5,330","24,625","6,433","21,770","11,862","8,235","12,828","13,204","17,170","12,973","10,734","36,022","1,181","12,331","9,600","9,273"
2020년07월_남_연령구간인구수,"253,293","20,442","19,280","5,330","24,625","6,433","21,770","11,862","8,235","12,828","13,204","17,170","12,973","10,734","36,022","1,181","12,331","9,600","9,273"
2020년07월_남_0~9세,"24,054","1,617",995,250,"3,075",373,"3,181",884,763,610,713,"1,301",930,894,"5,701",30,959,970,808
2020년07월_남_10~19세,"25,487","1,777","1,855",411,"2,683",661,"1,772","1,206",778,611,"1,000","1,895","1,140","1,433","3,835",24,"1,640","1,557","1,209"
