카테고리,경상북도 문경시,경상북도 문경시 문경읍,경상북도 문경시 문경읍갈평출장소,경상북도 문경시 가은읍,경상북도 문경시 가은읍북부출장소,경상북도 문경시 영순면,경상북도 문경시 산양면,경상북도 문경시 호계면,경상북도 문경시 산북면,경상북도 문경시 동로면,경상북도 문경시 마성면,경상북도 문경시 농암면,경상북도 문경시 점촌1동,경상북도 문경시 점촌2동,경상북도 문경시 점촌3동,경상북도 문경시 점촌4동,경상북도 문경시 점촌5동
2020년06월_계_총인구수,"71,683","5,840","1,116","3,194",823,"2,520","3,073","2,426","2,782","1,938","3,608","2,615","5,894","7,133","9,205","3,158","16,358"
2020년06월_계_연령구간인구수,"71,683","5,840","1,116","3,194",823,"2,520","3,073","2,426","2,782","1,938","3,608","2,615","5,894","7,133","9,205","3,158","16,358"
2020년06월_계_0~9세,"4,099",222,42,99,18,61,86,48,57,83,87,71,372,428,683,117,"1,625"
2020년06월_계_10~19세,"5,828",345,59,155,40,336,133,175,115,74,147,90,432,595,892,148,"2,092"
2020년06월_계_20~29세,"6,147",400,72,158,28,144,206,319,152,101,211,124,523,615,888,219,"1,987"
2020년06월_계_30~39세,"5,960",378,52,162,50,109,161,106,121,96,228,136,620,663,854,252,"1,972"
2020년06월_계_40~49세,"8,910",622,106,263,77,177,260,193,242,177,310,195,724,899,"1,351",323,"2,991"
2020년06월_계_50~59세,"12,151","1,066",231,544,169,351,488,374,496,361,630,510,989,"1,161","1,609",557,"2,615"
2020년06월_계_60~69세,"13,099","1,223",255,709,192,553,699,531,605,481,743,626,"1,135","1,372","1,500",675,"1,800"
2020년06월_계_70~79세,"9,311","1,011",171,598,150,387,562,376,544,329,726,475,721,938,919,529,875
2020년06월_계_80~89세,"5,344",488,110,431,84,344,402,267,391,208,462,319,340,411,449,299,339
2020년06월_계_90~99세,777,74,18,72,14,57,74,36,54,28,57,63,35,43,54,37,61
2020년06월_계_100세 이상,57,11,0,3,1,1,2,1,5,0,7,6,3,8,6,2,1
2020년06월_남_총인구수,"35,101","2,832",563,"1,546",419,"1,322","1,530","1,153","1,383",984,"1,712","1,206","2,896","3,448","4,571","1,563","7,973"
2020년06월_남_연령구간인구수,"35,101","2,832",563,"1,546",419,"1,322","1,530","1,153","1,383",984,"1,712","1,206","2,896","3,448","4,571","1,563","7,973"
2020년06월_남_0~9세,"2,140",102,21,48,9,31,44,30,34,45,41,37,210,221,368,53,846
2020년06월_남_10~19세,"3,141",183,30,91,25,219,77,76,63,39,81,46,239,313,512,89,"1,058"
2020년06월_남_20~29세,"3,457",255,44,99,12,81,121,140,99,57,117,72,312,357,538,120,"1,033"
2020년06월_남_30~39세,"3,179",215,29,88,22,67,94,61,75,55,139,79,332,365,429,143,986
2020년06월_남_40~49세,"4,776",343,61,150,43,111,168,115,152,112,199,124,396,468,711,204,"1,419"
2020년06월_남_50~59세,"6,238",557,133,278,94,203,272,210,291,185,349,249,465,577,778,309,"1,288"
2020년06월_남_60~69세,"6,303",566,130,379,119,284,347,273,312,275,362,302,501,603,671,323,856
2020년06월_남_70~79세,"4,017",430,75,258,65,189,259,153,236,139,289,199,313,406,393,237,376
2020년06월_남_80~89세,"1,684",162,38,137,29,124,135,87,111,73,122,82,119,129,158,83,95
2020년06월_남_90~99세,151,15,2,18,1,13,13,8,8,4,9,14,9,7,12,2,16
2020년06월_남_100세 이상,15,4,0,0,0,0,0,0,2,0,4,2,0,2,1,0,0
2020년06월_여_총인구수,"36,582","3,008",553,"1,648",404,"1,198","1,543","1,273","1,399",954,"1,896","1,409","2,998","3,685","4,634","1,595","8,385"
2020년06월_여_연령구간인구수,"36,582","3,008",553,"1,648",404,"1,198","1,543","1,273","1,399",954,"1,896","1,409","2,998","3,685","4,634","1,595","8,385"
2020년06월_여_0~9세,"1,959",120,21,51,9,30,42,18,23,38,46,34,162,207,315,64,779
2020년06월_여_10~19세,"2,687",162,29,64,15,117,56,99,52,35,66,44,193,282,380,59,"1,034"
2020년06월_여_20~29세,"2,690",145,28,59,16,63,85,179,53,44,94,52,211,258,350,99,954
2020년06월_여_30~39세,"2,781",163,23,74,28,42,67,45,46,41,89,57,288,298,425,109,986
2020년06월_여_40~49세,"4,134",279,45,113,34,66,92,78,90,65,111,71,328,431,640,119,"1,572"
2020년06월_여_50~59세,"5,913",509,98,266,75,148,216,164,205,176,281,261,524,584,831,248,"1,327"
2020년06월_여_60~69세,"6,796",657,125,330,73,269,352,258,293,206,381,324,634,769,829,352,944
2020년06월_여_70~79세,"5,294",581,96,340,85,198,303,223,308,190,437,276,408,532,526,292,499
2020년06월_여_80~89세,"3,660",326,72,294,55,220,267,180,280,135,340,237,221,282,291,216,244
2020년06월_여_90~99세,626,59,16,54,13,44,61,28,46,24,48,49,26,36,42,35,45
2020년06월_여_100세 이상,42,7,0,3,1,1,2,1,3,0,3,4,3,6,5,2,1
