,대전광역시,대전광역시 동구,대전광역시 중구,대전광역시 서구,대전광역시 유성구,대전광역시 대덕구
2020년03월_계_총인구수,"1,471,858","225,302","239,635","481,135","350,055","175,731"
2020년03월_계_연령구간인구수,"1,471,858","225,302","239,635","481,135","350,055","175,731"
2020년03월_계_0~9세,"119,952","15,889","16,309","39,999","36,198","11,557"
2020년03월_계_10~19세,"151,192","20,681","22,902","51,351","38,877","17,381"
2020년03월_계_20~29세,"212,258","30,438","31,448","73,697","52,084","24,591"
2020년03월_계_30~39세,"198,404","26,789","27,484","67,637","56,577","19,917"
2020년03월_계_40~49세,"241,550","34,582","38,000","80,062","60,786","28,120"
2020년03월_계_50~59세,"242,974","37,416","40,307","78,103","53,626","33,522"
2020년03월_계_60~69세,"171,435","31,547","32,707","52,460","31,588","23,133"
2020년03월_계_70~79세,"88,762","18,713","20,223","25,081","13,035","11,710"
2020년03월_계_80~89세,"39,389","8,076","8,927","11,049","6,212","5,125"
2020년03월_계_90~99세,"5,603","1,083","1,251","1,609","1,017",643
2020년03월_계_100세 이상,339,88,77,87,55,32
2020년03월_남_총인구수,"735,179","113,690","118,361","236,924","176,785","89,419"
2020년03월_남_연령구간인구수,"735,179","113,690","118,361","236,924","176,785","89,419"
2020년03월_남_0~9세,"61,669","8,208","8,346","20,576","18,672","5,867"
2020년03월_남_10~19세,"78,321","10,669","11,806","26,563","20,214","9,069"
2020년03월_남_20~29세,"111,676","16,279","16,169","37,642","27,943","13,643"
2020년03월_남_30~39세,"103,050","14,382","14,149","34,429","29,293","10,797"
2020년03월_남_40~49세,"120,473","18,183","19,277","38,752","29,948","14,313"
2020년03월_남_50~59세,"120,926","19,094","20,278","37,775","26,655","17,124"
2020년03월_남_60~69세,"83,465","15,255","15,528","25,425","15,822","11,435"
2020년03월_남_70~79세,"40,192","8,420","9,113","11,464","5,972","5,223"
2020년03월_남_80~89세,"14,046","2,912","3,386","3,902","2,029","1,817"
2020년03월_남_90~99세,"1,281",263,291,379,224,124
2020년03월_남_100세 이상,80,25,18,17,13,7
2020년03월_여_총인구수,"736,679","111,612","121,274","244,211","173,270","86,312"
2020년03월_여_연령구간인구수,"736,679","111,612","121,274","244,211","173,270","86,312"
2020년03월_여_0~9세,"58,283","7,681","7,963","19,423","17,526","5,690"
2020년03월_여_10~19세,"72,871","10,012","11,096","24,788","18,663","8,312"
2020년03월_여_20~29세,"100,582","14,159","15,279","36,055","24,141","10,948"
2020년03월_여_30~39세,"95,354","12,407","13,335","33,208","27,284","9,120"
2020년03월_여_40~49세,"121,077","16,399","18,723","41,310","30,838","13,807"
2020년03월_여_50~59세,"122,048","18,322","20,029","40,328","26,971","16,398"
2020년03월_여_60~69세,"87,970","16,292","17,179","27,035","15,766","11,698"
2020년03월_여_70~79세,"48,570","10,293","11,110","13,617","7,063","6,487"
2020년03월_여_80~89세,"25,343","5,164","5,541","7,147","4,183","3,308"
2020년03월_여_90~99세,"4,322",820,960,"1,230",793,519
2020년03월_여_100세 이상,259,63,59,70,42,25
