,충청북도 보은군,충청북도 보은군 보은읍,충청북도 보은군 속리산면,충청북도 보은군 장안면,충청북도 보은군 마로면,충청북도 보은군 탄부면,충청북도 보은군 삼승면,충청북도 보은군 수한면,충청북도 보은군 회남면,충청북도 보은군 회인면,충청북도 보은군 내북면,충청북도 보은군 산외면
2021년10월_계_총인구수,"31,863","14,756","1,867","1,471","2,146","1,617","2,275","1,885",737,"1,727","1,641","1,741"
2021년10월_계_연령구간인구수,"31,863","14,756","1,867","1,471","2,146","1,617","2,275","1,885",737,"1,727","1,641","1,741"
2021년10월_계_0~9세,"1,346",953,32,84,46,17,56,40,20,41,31,26
2021년10월_계_10~19세,"2,028","1,311",76,72,89,48,119,87,27,65,61,73
2021년10월_계_20~29세,"2,243","1,329",114,106,77,78,149,110,21,81,83,95
2021년10월_계_30~39세,"2,016","1,221",75,140,80,65,154,71,14,55,73,68
2021년10월_계_40~49세,"3,130","1,878",138,155,140,95,180,151,55,102,102,134
2021년10월_계_50~59세,"5,634","2,648",385,231,363,251,373,300,122,314,312,335
2021년10월_계_60~69세,"7,286","2,718",519,300,583,434,551,547,242,479,434,479
2021년10월_계_70~79세,"4,475","1,532",328,203,418,325,381,303,134,306,278,267
2021년10월_계_80~89세,"3,190","1,008",168,158,306,266,283,231,88,242,220,220
2021년10월_계_90~99세,500,151,31,21,42,38,28,44,14,41,46,44
2021년10월_계_100세 이상,15,7,1,1,2,0,1,1,0,1,1,0
2021년10월_남_총인구수,"16,027","7,328",961,780,"1,031",795,"1,156",950,402,862,844,918
2021년10월_남_연령구간인구수,"16,027","7,328",961,780,"1,031",795,"1,156",950,402,862,844,918
2021년10월_남_0~9세,692,465,19,46,24,12,31,25,12,22,20,16
2021년10월_남_10~19세,"1,067",703,33,29,46,25,63,40,15,33,35,45
2021년10월_남_20~29세,"1,329",758,72,74,44,48,91,59,12,54,59,58
2021년10월_남_30~39세,"1,095",609,47,87,47,41,107,41,9,26,40,41
2021년10월_남_40~49세,"1,738",978,88,92,82,62,108,88,35,70,63,72
2021년10월_남_50~59세,"3,133","1,410",211,147,203,151,213,167,78,182,178,193
2021년10월_남_60~69세,"3,745","1,335",277,153,289,212,276,302,131,257,245,268
2021년10월_남_70~79세,"2,045",688,139,94,184,147,166,152,75,142,118,140
2021년10월_남_80~89세,"1,072",344,67,53,99,89,98,71,34,69,73,75
2021년10월_남_90~99세,111,38,8,5,13,8,3,5,1,7,13,10
2021년10월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0
2021년10월_여_총인구수,"15,836","7,428",906,691,"1,115",822,"1,119",935,335,865,797,823
2021년10월_여_연령구간인구수,"15,836","7,428",906,691,"1,115",822,"1,119",935,335,865,797,823
2021년10월_여_0~9세,654,488,13,38,22,5,25,15,8,19,11,10
2021년10월_여_10~19세,961,608,43,43,43,23,56,47,12,32,26,28
2021년10월_여_20~29세,914,571,42,32,33,30,58,51,9,27,24,37
2021년10월_여_30~39세,921,612,28,53,33,24,47,30,5,29,33,27
2021년10월_여_40~49세,"1,392",900,50,63,58,33,72,63,20,32,39,62
2021년10월_여_50~59세,"2,501","1,238",174,84,160,100,160,133,44,132,134,142
2021년10월_여_60~69세,"3,541","1,383",242,147,294,222,275,245,111,222,189,211
2021년10월_여_70~79세,"2,430",844,189,109,234,178,215,151,59,164,160,127
2021년10월_여_80~89세,"2,118",664,101,105,207,177,185,160,54,173,147,145
2021년10월_여_90~99세,389,113,23,16,29,30,25,39,13,34,33,34
2021년10월_여_100세 이상,15,7,1,1,2,0,1,1,0,1,1,0
