카테고리,대전광역시,대전광역시 동구,대전광역시 중구,대전광역시 서구,대전광역시 유성구,대전광역시 대덕구
2020년01월_계_총인구수,"1,474,152","226,216","240,215","481,174","349,824","176,723"
2020년01월_계_연령구간인구수,"1,474,152","226,216","240,215","481,174","349,824","176,723"
2020년01월_계_0~9세,"121,132","16,130","16,533","40,198","36,488","11,783"
2020년01월_계_10~19세,"152,558","20,737","23,194","51,779","39,139","17,709"
2020년01월_계_20~29세,"212,630","30,670","31,448","73,764","51,885","24,863"
2020년01월_계_30~39세,"199,709","27,188","27,808","67,776","56,761","20,176"
2020년01월_계_40~49세,"242,465","34,772","38,184","80,203","60,882","28,424"
2020년01월_계_50~59세,"243,752","37,794","40,454","78,394","53,506","33,604"
2020년01월_계_60~69세,"169,130","31,178","32,385","51,711","31,035","22,821"
2020년01월_계_70~79세,"88,002","18,622","20,089","24,760","12,891","11,640"
2020년01월_계_80~89세,"38,976","7,964","8,845","10,938","6,177","5,052"
2020년01월_계_90~99세,"5,464","1,075","1,198","1,567","1,004",620
2020년01월_계_100세 이상,334,86,77,84,56,31
2020년01월_남_총인구수,"736,259","114,174","118,757","236,839","176,617","89,872"
2020년01월_남_연령구간인구수,"736,259","114,174","118,757","236,839","176,617","89,872"
2020년01월_남_0~9세,"62,226","8,325","8,446","20,641","18,839","5,975"
2020년01월_남_10~19세,"79,118","10,731","11,987","26,787","20,369","9,244"
2020년01월_남_20~29세,"111,910","16,362","16,236","37,630","27,881","13,801"
2020년01월_남_30~39세,"103,379","14,534","14,267","34,408","29,301","10,869"
2020년01월_남_40~49세,"121,041","18,330","19,425","38,833","29,961","14,492"
2020년01월_남_50~59세,"121,251","19,289","20,308","37,944","26,593","17,117"
2020년01월_남_60~69세,"82,394","15,074","15,393","25,075","15,560","11,292"
2020년01월_남_70~79세,"39,775","8,367","9,055","11,300","5,878","5,175"
2020년01월_남_80~89세,"13,834","2,874","3,342","3,839","2,000","1,779"
2020년01월_남_90~99세,"1,250",263,279,364,223,121
2020년01월_남_100세 이상,81,25,19,18,12,7
2020년01월_여_총인구수,"737,893","112,042","121,458","244,335","173,207","86,851"
2020년01월_여_연령구간인구수,"737,893","112,042","121,458","244,335","173,207","86,851"
2020년01월_여_0~9세,"58,906","7,805","8,087","19,557","17,649","5,808"
2020년01월_여_10~19세,"73,440","10,006","11,207","24,992","18,770","8,465"
2020년01월_여_20~29세,"100,720","14,308","15,212","36,134","24,004","11,062"
2020년01월_여_30~39세,"96,330","12,654","13,541","33,368","27,460","9,307"
2020년01월_여_40~49세,"121,424","16,442","18,759","41,370","30,921","13,932"
2020년01월_여_50~59세,"122,501","18,505","20,146","40,450","26,913","16,487"
2020년01월_여_60~69세,"86,736","16,104","16,992","26,636","15,475","11,529"
2020년01월_여_70~79세,"48,227","10,255","11,034","13,460","7,013","6,465"
2020년01월_여_80~89세,"25,142","5,090","5,503","7,099","4,177","3,273"
2020년01월_여_90~99세,"4,214",812,919,"1,203",781,499
2020년01월_여_100세 이상,253,61,58,66,44,24
