카테고리,전라북도 정읍시,전라북도 정읍시 신태인읍,전라북도 정읍시 북면,전라북도 정읍시 입암면,전라북도 정읍시 소성면,전라북도 정읍시 고부면,전라북도 정읍시 영원면,전라북도 정읍시 덕천면,전라북도 정읍시 이평면,전라북도 정읍시 정우면,전라북도 정읍시 태인면,전라북도 정읍시 감곡면,전라북도 정읍시 옹동면,전라북도 정읍시 칠보면,전라북도 정읍시 산내면,전라북도 정읍시 산외면,전라북도 정읍시 수성동,전라북도 정읍시 장명동,전라북도 정읍시 내장상동,전라북도 정읍시 시기동,전라북도 정읍시 초산동,전라북도 정읍시 연지동,전라북도 정읍시 농소동,전라북도 정읍시 상교동
2020년08월_계_총인구수,"109,167","5,660","4,299","2,902","2,095","2,825","1,816","1,840","2,124","2,617","3,459","2,813","1,702","2,374","1,243","2,157","17,627","3,015","20,638","3,470","10,407","6,028","4,200","3,856"
2020년08월_계_연령구간인구수,"109,167","5,660","4,299","2,902","2,095","2,825","1,816","1,840","2,124","2,617","3,459","2,813","1,702","2,374","1,243","2,157","17,627","3,015","20,638","3,470","10,407","6,028","4,200","3,856"
2020년08월_계_0~9세,"6,572",263,183,58,60,75,51,55,40,83,78,53,53,101,35,64,"1,499",154,"1,676",174,"1,000",467,207,143
2020년08월_계_10~19세,"9,805",393,282,163,80,108,82,106,109,120,149,71,68,153,48,95,"2,037",298,"2,754",274,"1,316",525,343,231
2020년08월_계_20~29세,"10,685",393,402,206,126,163,114,147,121,169,252,143,92,158,80,121,"2,217",346,"2,464",361,"1,192",605,424,389
2020년08월_계_30~39세,"9,079",402,302,147,113,209,91,92,107,151,153,171,108,114,49,106,"1,970",228,"1,956",268,"1,120",633,304,285
2020년08월_계_40~49세,"15,086",672,476,252,189,261,159,177,193,245,358,235,150,261,97,216,"3,203",479,"3,441",387,"1,721",951,518,445
2020년08월_계_50~59세,"18,597",941,859,572,369,444,276,368,340,460,597,462,287,391,244,369,"2,952",544,"3,384",573,"1,693",985,801,686
2020년08월_계_60~69세,"16,572",998,752,555,393,601,375,346,406,514,697,652,333,437,279,437,"1,897",402,"2,450",615,"1,177",862,736,658
2020년08월_계_70~79세,"13,364",941,583,506,419,538,375,303,422,481,612,572,333,430,248,421,"1,213",342,"1,607",509,777,672,499,561
2020년08월_계_80~89세,"8,151",577,402,385,308,373,246,210,337,348,496,395,233,295,138,291,546,199,774,240,363,275,325,395
2020년08월_계_90~99세,"1,149",72,54,58,37,48,45,35,48,43,65,55,44,31,24,36,76,20,116,54,41,50,40,57
2020년08월_계_100세 이상,107,8,4,0,1,5,2,1,1,3,2,4,1,3,1,1,17,3,16,15,7,3,3,6
2020년08월_남_총인구수,"54,088","2,764","2,166","1,442","1,058","1,420",898,926,"1,061","1,297","1,706","1,402",848,"1,209",625,"1,078","8,920","1,492","9,950","1,669","5,134","3,012","2,031","1,980"
2020년08월_남_연령구간인구수,"54,088","2,764","2,166","1,442","1,058","1,420",898,926,"1,061","1,297","1,706","1,402",848,"1,209",625,"1,078","8,920","1,492","9,950","1,669","5,134","3,012","2,031","1,980"
2020년08월_남_0~9세,"3,358",132,88,28,36,39,30,30,23,45,44,26,23,48,17,32,773,70,828,87,535,243,106,75
2020년08월_남_10~19세,"5,218",235,155,85,46,48,42,57,66,55,75,40,36,93,27,44,"1,082",158,"1,405",144,749,271,177,128
