,경상북도,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 북구,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 영천시,경상북도 상주시,경상북도 문경시,경상북도 경산시,경상북도 군위군,경상북도 의성군,경상북도 청송군,경상북도 영양군,경상북도 영덕군,경상북도 청도군,경상북도 고령군,경상북도 성주군,경상북도 칠곡군,경상북도 예천군,경상북도 봉화군,경상북도 울진군,경상북도 울릉군
2020년09월_계_총인구수,"2,640,003","503,731","230,967","272,764","253,396","140,468","158,929","416,626","103,503","101,693","97,689","71,250","262,311","23,345","51,895","25,080","16,669","36,592","42,432","31,394","43,231","114,719","55,416","31,637","48,806","9,191"
2020년09월_계_연령구간인구수,"2,640,003","503,731","230,967","272,764","253,396","140,468","158,929","416,626","103,503","101,693","97,689","71,250","262,311","23,345","51,895","25,080","16,669","36,592","42,432","31,394","43,231","114,719","55,416","31,637","48,806","9,191"
2020년09월_계_0~9세,"192,403","40,326","17,765","22,561","16,445","10,578","10,807","41,933","6,208","5,809","5,266","4,091","20,751",699,"1,977",982,743,"1,735","1,562","1,437","1,925","9,696","4,630","1,426","2,961",416
2020년09월_계_10~19세,"227,302","46,947","21,324","25,623","21,042","12,120","13,837","45,298","8,962","6,678","7,692","5,668","22,742",993,"2,326","1,238",945,"2,132","2,276","2,076","2,296","11,544","4,351","1,873","3,792",474
2020년09월_계_20~29세,"283,832","56,635","26,326","30,309","26,865","14,711","16,620","56,660","9,671","10,157","8,213","6,092","35,769","1,521","3,149","1,718","1,136","2,476","2,874","2,503","3,511","12,106","4,063","2,036","4,514",832
2020년09월_계_30~39세,"294,235","60,329","27,276","33,053","25,690","15,300","15,616","66,207","8,640","9,434","7,579","5,784","33,211","1,359","3,305","1,722","1,045","2,482","2,887","2,309","3,277","15,319","5,503","1,992","4,345",900
2020년09월_계_40~49세,"385,161","77,412","35,756","41,656","36,964","19,419","22,471","73,389","14,030","12,788","11,642","8,806","41,558","2,193","4,747","2,404","1,746","3,975","4,450","3,910","4,770","20,525","7,063","3,265","6,319","1,315"
2020년09월_계_50~59세,"460,594","90,644","41,705","48,939","46,802","23,963","26,604","69,582","18,158","18,322","16,892","12,050","44,617","4,333","8,821","4,757","2,986","6,229","7,412","5,929","8,556","19,507","8,081","5,837","8,643","1,869"
2020년09월_계_60~69세,"402,118","77,385","36,172","41,213","40,458","21,644","25,200","38,459","18,098","18,308","18,090","13,214","34,143","5,278","11,639","5,441","3,392","7,334","9,527","6,168","9,115","13,404","9,248","6,739","8,071","1,763"
2020년09월_계_70~79세,"241,178","36,647","17,069","19,578","24,427","13,470","16,692","15,977","11,893","12,488","12,673","9,312","19,252","4,046","9,010","4,056","2,698","5,965","6,592","4,096","5,816","7,626","6,913","4,753","5,738","1,038"
2020년09월_계_80~89세,"133,644","15,185","6,661","8,524","12,894","8,036","9,566","7,930","6,786","6,874","8,319","5,373","9,143","2,587","6,074","2,441","1,706","3,716","4,231","2,644","3,459","4,343","4,875","3,192","3,772",498
2020년09월_계_90~99세,"18,552","2,112",858,"1,254","1,717","1,171","1,453","1,137",996,794,"1,262",805,"1,057",320,801,300,246,520,602,313,479,609,655,494,634,75
2020년09월_계_100세 이상,984,109,55,54,92,56,63,54,61,41,61,55,68,16,46,21,26,28,19,9,27,40,34,30,17,11
2020년09월_남_총인구수,"1,329,408","254,626","119,016","135,610","126,826","70,504","78,704","213,856","51,284","51,667","47,918","34,869","132,085","11,908","25,372","12,523","8,239","17,335","20,836","16,050","22,368","59,823","27,248","15,922","24,436","5,009"
2020년09월_남_연령구간인구수,"1,329,408","254,626","119,016","135,610","126,826","70,504","78,704","213,856","51,284","51,667","47,918","34,869","132,085","11,908","25,372","12,523","8,239","17,335","20,836","16,050","22,368","59,823","27,248","15,922","24,436","5,009"
2020년09월_남_0~9세,"99,222","20,899","9,205","11,694","8,409","5,469","5,684","21,669","3,198","2,932","2,733","2,131","10,595",371,"1,037",506,392,859,799,732,971,"4,998","2,369",739,"1,511",219
2020년09월_남_10~19세,"119,541","24,642","11,219","13,423","11,016","6,535","7,258","23,632","4,684","3,589","4,045","3,056","11,797",544,"1,217",659,487,"1,103","1,165","1,103","1,294","6,102","2,317","1,005","2,056",235
2020년09월_남_20~29세,"160,403","32,450","15,510","16,940","15,138","8,285","9,102","31,317","5,674","6,002","4,763","3,424","19,655",918,"1,829","1,035",658,"1,435","1,715","1,448","2,067","6,837","2,296","1,192","2,670",493
2020년09월_남_30~39세,"156,883","31,828","14,689","17,139","13,687","8,074","8,091","35,266","4,625","5,162","4,110","3,058","17,800",764,"1,832","1,015",560,"1,271","1,533","1,265","1,798","8,386","2,771","1,079","2,369",539
2020년09월_남_40~49세,"201,170","38,890","18,445","20,445","19,309","10,248","11,708","37,106","7,268","7,030","6,202","4,719","21,264","1,294","2,793","1,394","1,031","2,216","2,496","2,198","2,871","11,082","3,864","1,910","3,467",810
2020년09월_남_50~59세,"238,070","45,492","21,623","23,869","24,141","12,519","13,575","35,487","9,257","9,790","8,883","6,223","22,449","2,437","4,775","2,506","1,625","3,298","3,901","3,327","4,680","10,591","4,217","3,150","4,671","1,076"
2020년09월_남_60~69세,"199,270","37,966","17,900","20,066","19,915","10,622","12,211","19,689","8,664","9,141","8,849","6,357","16,674","2,775","5,829","2,713","1,690","3,503","4,770","3,224","4,767","6,944","4,580","3,485","3,964",938
2020년09월_남_70~79세,"107,025","17,106","8,126","8,980","10,796","5,841","7,451","7,003","5,317","5,575","5,447","4,031","8,474","1,858","3,886","1,767","1,168","2,377","3,001","1,804","2,681","3,302","3,066","2,119","2,479",476
2020년09월_남_80~89세,"43,817","4,942","2,146","2,796","4,054","2,653","3,297","2,469","2,371","2,237","2,627","1,696","3,136",883,"1,990",861,562,"1,171","1,331",871,"1,124","1,434","1,646","1,121","1,144",197
2020년09월_남_90~99세,"3,798",381,136,245,339,247,312,211,213,196,248,159,229,63,176,62,60,95,124,74,109,140,119,117,103,21
2020년09월_남_100세 이상,209,30,17,13,22,11,15,7,13,13,11,15,12,1,8,5,6,7,1,4,6,7,3,5,2,5
2020년09월_여_총인구수,"1,310,595","249,105","111,951","137,154","126,570","69,964","80,225","202,770","52,219","50,026","49,771","36,381","130,226","11,437","26,523","12,557","8,430","19,257","21,596","15,344","20,863","54,896","28,168","15,715","24,370","4,182"
2020년09월_여_연령구간인구수,"1,310,595","249,105","111,951","137,154","126,570","69,964","80,225","202,770","52,219","50,026","49,771","36,381","130,226","11,437","26,523","12,557","8,430","19,257","21,596","15,344","20,863","54,896","28,168","15,715","24,370","4,182"
2020년09월_여_0~9세,"93,181","19,427","8,560","10,867","8,036","5,109","5,123","20,264","3,010","2,877","2,533","1,960","10,156",328,940,476,351,876,763,705,954,"4,698","2,261",687,"1,450",197
2020년09월_여_10~19세,"107,761","22,305","10,105","12,200","10,026","5,585","6,579","21,666","4,278","3,089","3,647","2,612","10,945",449,"1,109",579,458,"1,029","1,111",973,"1,002","5,442","2,034",868,"1,736",239
2020년09월_여_20~29세,"123,429","24,185","10,816","13,369","11,727","6,426","7,518","25,343","3,997","4,155","3,450","2,668","16,114",603,"1,320",683,478,"1,041","1,159","1,055","1,444","5,269","1,767",844,"1,844",339
2020년09월_여_30~39세,"137,352","28,501","12,587","15,914","12,003","7,226","7,525","30,941","4,015","4,272","3,469","2,726","15,411",595,"1,473",707,485,"1,211","1,354","1,044","1,479","6,933","2,732",913,"1,976",361
2020년09월_여_40~49세,"183,991","38,522","17,311","21,211","17,655","9,171","10,763","36,283","6,762","5,758","5,440","4,087","20,294",899,"1,954","1,010",715,"1,759","1,954","1,712","1,899","9,443","3,199","1,355","2,852",505
2020년09월_여_50~59세,"222,524","45,152","20,082","25,070","22,661","11,444","13,029","34,095","8,901","8,532","8,009","5,827","22,168","1,896","4,046","2,251","1,361","2,931","3,511","2,602","3,876","8,916","3,864","2,687","3,972",793
2020년09월_여_60~69세,"202,848","39,419","18,272","21,147","20,543","11,022","12,989","18,770","9,434","9,167","9,241","6,857","17,469","2,503","5,810","2,728","1,702","3,831","4,757","2,944","4,348","6,460","4,668","3,254","4,107",825
2020년09월_여_70~79세,"134,153","19,541","8,943","10,598","13,631","7,629","9,241","8,974","6,576","6,913","7,226","5,281","10,778","2,188","5,124","2,289","1,530","3,588","3,591","2,292","3,135","4,324","3,847","2,634","3,259",562
2020년09월_여_80~89세,"89,827","10,243","4,515","5,728","8,840","5,383","6,269","5,461","4,415","4,637","5,692","3,677","6,007","1,704","4,084","1,580","1,144","2,545","2,900","1,773","2,335","2,909","3,229","2,071","2,628",301
2020년09월_여_90~99세,"14,754","1,731",722,"1,009","1,378",924,"1,141",926,783,598,"1,014",646,828,257,625,238,186,425,478,239,370,469,536,377,531,54
2020년09월_여_100세 이상,775,79,38,41,70,45,48,47,48,28,50,40,56,15,38,16,20,21,18,5,21,33,31,25,15,6
