,강원도 삼척시,강원도 삼척시 도계읍,강원도 삼척시 원덕읍,강원도 삼척시 원덕읍임원출장소,강원도 삼척시 근덕면,강원도 삼척시 하장면,강원도 삼척시 노곡면,강원도 삼척시 미로면,강원도 삼척시 가곡면,강원도 삼척시 신기면,강원도 삼척시 남양동,강원도 삼척시 교동,강원도 삼척시 정라동,강원도 삼척시 성내동
2020년07월_계_총인구수,"65,698","10,215","3,353","1,725","5,225","1,337",719,"1,862",699,679,"7,769","14,674","9,189","8,252"
2020년07월_계_연령구간인구수,"65,698","10,215","3,353","1,725","5,225","1,337",719,"1,862",699,679,"7,769","14,674","9,189","8,252"
2020년07월_계_0~9세,"3,956",345,95,38,101,29,7,46,14,21,300,"1,710",685,565
2020년07월_계_10~19세,"5,214",776,143,73,241,42,11,68,26,12,505,"1,686",844,787
2020년07월_계_20~29세,"7,390","1,943",257,120,375,67,33,91,31,25,760,"1,905","1,000",783
2020년07월_계_30~39세,"5,968",589,228,100,280,73,26,94,28,45,619,"2,110",990,786
2020년07월_계_40~49세,"9,062","1,131",402,191,478,151,61,203,78,76,964,"2,557","1,545","1,225"
2020년07월_계_50~59세,"11,474","1,705",638,357,"1,013",301,149,350,139,131,"1,495","2,266","1,542","1,388"
2020년07월_계_60~69세,"10,870","1,812",671,364,"1,152",361,173,417,170,153,"1,563","1,374","1,286","1,374"
2020년07월_계_70~79세,"7,245","1,258",530,300,871,186,144,331,124,126,"1,022",683,835,835
2020년07월_계_80~89세,"3,899",574,332,156,607,111,96,224,79,82,480,321,388,449
2020년07월_계_90~99세,570,67,49,26,100,16,19,37,9,7,59,57,66,58
2020년07월_계_100세 이상,50,15,8,0,7,0,0,1,1,1,2,5,8,2
2020년07월_남_총인구수,"33,287","5,095","1,749",860,"2,683",725,391,969,350,374,"3,836","7,473","4,696","4,086"
2020년07월_남_연령구간인구수,"33,287","5,095","1,749",860,"2,683",725,391,969,350,374,"3,836","7,473","4,696","4,086"
2020년07월_남_0~9세,"2,009",162,53,20,53,16,3,26,10,12,165,859,349,281
2020년07월_남_10~19세,"2,724",369,72,42,158,24,6,44,12,5,267,858,463,404
2020년07월_남_20~29세,"4,165","1,039",173,67,239,34,22,60,19,14,422,"1,091",551,434
2020년07월_남_30~39세,"3,222",309,141,65,167,50,15,52,13,26,351,"1,085",522,426
2020년07월_남_40~49세,"5,025",645,270,119,320,109,44,147,52,59,513,"1,265",828,654
2020년07월_남_50~59세,"6,094",910,370,183,579,155,95,201,77,81,726,"1,173",857,687
2020년07월_남_60~69세,"5,428",915,342,187,589,202,102,217,81,88,738,691,622,654
2020년07월_남_70~79세,"3,185",546,219,114,365,84,64,152,56,58,470,310,365,382
2020년07월_남_80~89세,"1,315",175,100,58,201,48,34,65,29,30,173,125,124,153
2020년07월_남_90~99세,108,20,6,5,11,3,6,5,1,1,11,15,14,10
2020년07월_남_100세 이상,12,5,3,0,1,0,0,0,0,0,0,1,1,1
2020년07월_여_총인구수,"32,411","5,120","1,604",865,"2,542",612,328,893,349,305,"3,933","7,201","4,493","4,166"
2020년07월_여_연령구간인구수,"32,411","5,120","1,604",865,"2,542",612,328,893,349,305,"3,933","7,201","4,493","4,166"
2020년07월_여_0~9세,"1,947",183,42,18,48,13,4,20,4,9,135,851,336,284
2020년07월_여_10~19세,"2,490",407,71,31,83,18,5,24,14,7,238,828,381,383
2020년07월_여_20~29세,"3,225",904,84,53,136,33,11,31,12,11,338,814,449,349
2020년07월_여_30~39세,"2,746",280,87,35,113,23,11,42,15,19,268,"1,025",468,360
2020년07월_여_40~49세,"4,037",486,132,72,158,42,17,56,26,17,451,"1,292",717,571
2020년07월_여_50~59세,"5,380",795,268,174,434,146,54,149,62,50,769,"1,093",685,701
2020년07월_여_60~69세,"5,442",897,329,177,563,159,71,200,89,65,825,683,664,720
2020년07월_여_70~79세,"4,060",712,311,186,506,102,80,179,68,68,552,373,470,453
2020년07월_여_80~89세,"2,584",399,232,98,406,63,62,159,50,52,307,196,264,296
2020년07월_여_90~99세,462,47,43,21,89,13,13,32,8,6,48,42,52,48
2020년07월_여_100세 이상,38,10,5,0,6,0,0,1,1,1,2,4,7,1
