카테고리,충청남도 예산군,충청남도 예산군 예산읍,충청남도 예산군 삽교읍,충청남도 예산군 대술면,충청남도 예산군 신양면,충청남도 예산군 광시면,충청남도 예산군 대흥면,충청남도 예산군 응봉면,충청남도 예산군 덕산면,충청남도 예산군 봉산면,충청남도 예산군 고덕면,충청남도 예산군 신암면,충청남도 예산군 오가면
2020년02월_계_총인구수,"78,915","34,108","9,417","2,542","3,155","3,266","1,775","2,538","6,784","2,546","4,608","3,637","4,539"
2020년02월_계_연령구간인구수,"78,915","34,108","9,417","2,542","3,155","3,266","1,775","2,538","6,784","2,546","4,608","3,637","4,539"
2020년02월_계_0~9세,"3,864","2,275",525,53,79,94,43,66,278,85,142,104,120
2020년02월_계_10~19세,"5,909","3,463",653,99,163,149,62,147,413,144,257,139,220
2020년02월_계_20~29세,"7,087","3,721","1,013",148,172,205,88,203,514,143,296,266,318
2020년02월_계_30~39세,"6,427","3,235","1,001",167,200,151,95,141,496,162,262,235,282
2020년02월_계_40~49세,"9,896","5,184","1,109",249,294,305,162,248,800,244,455,359,487
2020년02월_계_50~59세,"14,022","6,083","1,552",450,506,560,296,469,"1,376",440,810,621,859
2020년02월_계_60~69세,"14,174","5,132","1,536",575,703,676,453,537,"1,356",517,936,778,975
2020년02월_계_70~79세,"10,229","3,159","1,116",465,580,575,328,395,905,450,852,651,753
2020년02월_계_80~89세,"6,465","1,644",808,298,407,498,216,287,563,307,542,435,460
2020년02월_계_90~99세,807,201,97,35,49,52,32,44,78,52,54,49,64
2020년02월_계_100세 이상,35,11,7,3,2,1,0,1,5,2,2,0,1
2020년02월_남_총인구수,"39,603","16,960","4,718","1,327","1,601","1,603",882,"1,310","3,351","1,290","2,346","1,844","2,371"
2020년02월_남_연령구간인구수,"39,603","16,960","4,718","1,327","1,601","1,603",882,"1,310","3,351","1,290","2,346","1,844","2,371"
2020년02월_남_0~9세,"1,996","1,185",260,23,44,50,22,33,147,42,70,57,63
2020년02월_남_10~19세,"3,056","1,765",339,53,93,76,29,85,212,67,131,80,126
2020년02월_남_20~29세,"3,996","2,032",571,87,110,107,49,120,286,91,184,159,200
2020년02월_남_30~39세,"3,580","1,706",563,104,119,86,56,90,268,104,163,141,180
2020년02월_남_40~49세,"5,450","2,635",617,178,175,179,103,165,444,143,283,223,305
2020년02월_남_50~59세,"7,375","3,102",813,255,274,321,149,239,698,249,451,342,482
2020년02월_남_60~69세,"7,010","2,455",738,295,353,353,248,276,663,258,470,401,500
2020년02월_남_70~79세,"4,626","1,444",507,212,265,245,154,177,411,208,391,283,329
2020년02월_남_80~89세,"2,325",585,290,115,160,170,70,112,204,112,194,147,166
2020년02월_남_90~99세,184,49,20,4,8,16,2,12,18,15,9,11,20
2020년02월_남_100세 이상,5,2,0,1,0,0,0,1,0,1,0,0,0
2020년02월_여_총인구수,"39,312","17,148","4,699","1,215","1,554","1,663",893,"1,228","3,433","1,256","2,262","1,793","2,168"
2020년02월_여_연령구간인구수,"39,312","17,148","4,699","1,215","1,554","1,663",893,"1,228","3,433","1,256","2,262","1,793","2,168"
2020년02월_여_0~9세,"1,868","1,090",265,30,35,44,21,33,131,43,72,47,57
2020년02월_여_10~19세,"2,853","1,698",314,46,70,73,33,62,201,77,126,59,94
2020년02월_여_20~29세,"3,091","1,689",442,61,62,98,39,83,228,52,112,107,118
2020년02월_여_30~39세,"2,847","1,529",438,63,81,65,39,51,228,58,99,94,102
2020년02월_여_40~49세,"4,446","2,549",492,71,119,126,59,83,356,101,172,136,182
2020년02월_여_50~59세,"6,647","2,981",739,195,232,239,147,230,678,191,359,279,377
2020년02월_여_60~69세,"7,164","2,677",798,280,350,323,205,261,693,259,466,377,475
2020년02월_여_70~79세,"5,603","1,715",609,253,315,330,174,218,494,242,461,368,424
2020년02월_여_80~89세,"4,140","1,059",518,183,247,328,146,175,359,195,348,288,294
2020년02월_여_90~99세,623,152,77,31,41,36,30,32,60,37,45,38,44
2020년02월_여_100세 이상,30,9,7,2,2,1,0,0,5,1,2,0,1
