카테고리,경기도 양주시,경기도 양주시 백석읍,경기도 양주시 은현면,경기도 양주시 남면,경기도 양주시 광적면,경기도 양주시 장흥면,경기도 양주시 양주1동,경기도 양주시 양주2동,경기도 양주시 회천1동,경기도 양주시 회천2동,경기도 양주시 회천3동,경기도 양주시 회천4동
2020년06월_계_총인구수,"226,015","26,572","6,117","7,117","12,143","10,386","5,458","50,307","9,897","27,197","27,760","43,061"
2020년06월_계_연령구간인구수,"226,015","26,572","6,117","7,117","12,143","10,386","5,458","50,307","9,897","27,197","27,760","43,061"
2020년06월_계_0~9세,"19,797","1,495",167,397,679,516,214,"5,210",655,"1,983","2,420","6,061"
2020년06월_계_10~19세,"23,911","2,617",336,413,911,553,282,"7,151",768,"2,765","3,722","4,393"
2020년06월_계_20~29세,"26,920","3,309",706,854,"1,329","1,091",603,"5,170","1,626","3,557","3,773","4,902"
2020년06월_계_30~39세,"27,614","2,407",506,812,"1,209","1,113",478,"5,614","1,190","2,909","2,994","8,382"
2020년06월_계_40~49세,"39,007","3,991",704,805,"1,774","1,187",644,"10,530","1,414","4,474","5,308","8,176"
2020년06월_계_50~59세,"37,335","5,201","1,325","1,309","2,528","1,775","1,109","7,167","1,823","5,441","4,587","5,070"
2020년06월_계_60~69세,"27,564","4,127","1,325","1,361","2,042","2,146","1,072","4,874","1,306","3,431","2,340","3,540"
2020년06월_계_70~79세,"16,047","2,249",665,714,"1,085","1,281",683,"3,277",739,"1,828","1,686","1,840"
2020년06월_계_80~89세,"6,793","1,026",326,373,517,587,328,"1,153",325,717,836,605
2020년06월_계_90~99세,961,145,54,72,64,131,40,154,39,85,91,86
2020년06월_계_100세 이상,66,5,3,7,5,6,5,7,12,7,3,6
2020년06월_남_총인구수,"114,757","13,394","3,459","3,996","6,560","5,334","2,838","24,638","5,237","13,801","13,754","21,746"
2020년06월_남_연령구간인구수,"114,757","13,394","3,459","3,996","6,560","5,334","2,838","24,638","5,237","13,801","13,754","21,746"
2020년06월_남_0~9세,"10,117",726,95,199,349,280,112,"2,676",332,"1,026","1,224","3,098"
2020년06월_남_10~19세,"12,230","1,354",181,224,488,300,156,"3,608",388,"1,437","1,920","2,174"
2020년06월_남_20~29세,"14,441","1,786",417,551,770,642,322,"2,616",958,"1,871","1,978","2,530"
2020년06월_남_30~39세,"14,273","1,296",320,493,690,617,264,"2,666",661,"1,537","1,466","4,263"
2020년06월_남_40~49세,"20,092","2,023",440,489,"1,019",647,374,"5,212",744,"2,318","2,627","4,199"
2020년06월_남_50~59세,"19,576","2,685",789,777,"1,397",888,579,"3,726",996,"2,777","2,359","2,603"
2020년06월_남_60~69세,"13,823","2,099",745,755,"1,113","1,059",579,"2,163",669,"1,751","1,145","1,745"
2020년06월_남_70~79세,"7,413","1,016",339,354,516,637,316,"1,490",350,801,684,910
2020년06월_남_80~89세,"2,551",379,118,138,201,231,128,440,124,265,317,210
2020년06월_남_90~99세,231,30,15,14,17,30,7,41,13,18,32,14
2020년06월_남_100세 이상,10,0,0,2,0,3,1,0,2,0,2,0
2020년06월_여_총인구수,"111,258","13,178","2,658","3,121","5,583","5,052","2,620","25,669","4,660","13,396","14,006","21,315"
2020년06월_여_연령구간인구수,"111,258","13,178","2,658","3,121","5,583","5,052","2,620","25,669","4,660","13,396","14,006","21,315"
2020년06월_여_0~9세,"9,680",769,72,198,330,236,102,"2,534",323,957,"1,196","2,963"
2020년06월_여_10~19세,"11,681","1,263",155,189,423,253,126,"3,543",380,"1,328","1,802","2,219"
2020년06월_여_20~29세,"12,479","1,523",289,303,559,449,281,"2,554",668,"1,686","1,795","2,372"
2020년06월_여_30~39세,"13,341","1,111",186,319,519,496,214,"2,948",529,"1,372","1,528","4,119"
2020년06월_여_40~49세,"18,915","1,968",264,316,755,540,270,"5,318",670,"2,156","2,681","3,977"
2020년06월_여_50~59세,"17,759","2,516",536,532,"1,131",887,530,"3,441",827,"2,664","2,228","2,467"
2020년06월_여_60~69세,"13,741","2,028",580,606,929,"1,087",493,"2,711",637,"1,680","1,195","1,795"
2020년06월_여_70~79세,"8,634","1,233",326,360,569,644,367,"1,787",389,"1,027","1,002",930
2020년06월_여_80~89세,"4,242",647,208,235,316,356,200,713,201,452,519,395
2020년06월_여_90~99세,730,115,39,58,47,101,33,113,26,67,59,72
2020년06월_여_100세 이상,56,5,3,5,5,3,4,7,10,7,1,6
