카테고리,전라남도 구례군,전라남도 구례군 구례읍,전라남도 구례군 문척면,전라남도 구례군 간전면,전라남도 구례군 토지면,전라남도 구례군 마산면,전라남도 구례군 광의면,전라남도 구례군 용방면,전라남도 구례군 산동면
2021년10월_계_총인구수,"25,121","10,635","1,261","1,497","2,510","2,613","2,243","1,435","2,927"
2021년10월_계_연령구간인구수,"25,121","10,635","1,261","1,497","2,510","2,613","2,243","1,435","2,927"
2021년10월_계_0~9세,"1,036",624,37,44,53,97,62,37,82
2021년10월_계_10~19세,"1,780","1,026",62,67,142,175,102,51,155
2021년10월_계_20~29세,"1,835",969,82,80,136,187,102,95,184
2021년10월_계_30~39세,"1,525",808,47,72,104,136,127,92,139
2021년10월_계_40~49세,"2,695","1,373",117,138,218,298,168,141,242
2021년10월_계_50~59세,"4,531","1,912",254,286,503,452,353,216,555
2021년10월_계_60~69세,"4,854","1,763",262,301,620,519,476,288,625
2021년10월_계_70~79세,"3,795","1,276",212,289,373,411,441,271,522
2021년10월_계_80~89세,"2,655",752,161,196,309,290,358,211,378
2021년10월_계_90~99세,401,127,26,24,52,43,52,33,44
2021년10월_계_100세 이상,14,5,1,0,0,5,2,0,1
2021년10월_남_총인구수,"12,237","5,177",641,734,"1,228","1,282","1,069",694,"1,412"
2021년10월_남_연령구간인구수,"12,237","5,177",641,734,"1,228","1,282","1,069",694,"1,412"
2021년10월_남_0~9세,502,298,22,22,27,48,27,20,38
2021년10월_남_10~19세,933,544,32,30,70,104,56,29,68
2021년10월_남_20~29세,"1,037",538,51,41,83,93,59,56,116
2021년10월_남_30~39세,789,391,22,35,61,78,74,56,72
2021년10월_남_40~49세,"1,457",696,69,87,121,160,103,76,145
2021년10월_남_50~59세,"2,531","1,001",147,173,284,274,208,125,319
2021년10월_남_60~69세,"2,429",873,148,150,316,253,237,140,312
2021년10월_남_70~79세,"1,607",545,84,124,156,176,187,115,220
2021년10월_남_80~89세,868,264,65,66,97,85,109,68,114
2021년10월_남_90~99세,81,26,1,6,13,9,9,9,8
2021년10월_남_100세 이상,3,1,0,0,0,2,0,0,0
2021년10월_여_총인구수,"12,884","5,458",620,763,"1,282","1,331","1,174",741,"1,515"
2021년10월_여_연령구간인구수,"12,884","5,458",620,763,"1,282","1,331","1,174",741,"1,515"
2021년10월_여_0~9세,534,326,15,22,26,49,35,17,44
2021년10월_여_10~19세,847,482,30,37,72,71,46,22,87
2021년10월_여_20~29세,798,431,31,39,53,94,43,39,68
2021년10월_여_30~39세,736,417,25,37,43,58,53,36,67
2021년10월_여_40~49세,"1,238",677,48,51,97,138,65,65,97
2021년10월_여_50~59세,"2,000",911,107,113,219,178,145,91,236
2021년10월_여_60~69세,"2,425",890,114,151,304,266,239,148,313
2021년10월_여_70~79세,"2,188",731,128,165,217,235,254,156,302
2021년10월_여_80~89세,"1,787",488,96,130,212,205,249,143,264
2021년10월_여_90~99세,320,101,25,18,39,34,43,24,36
2021년10월_여_100세 이상,11,4,1,0,0,3,2,0,1
