카테고리,경상북도 문경시,경상북도 문경시 문경읍,경상북도 문경시 문경읍갈평출장소,경상북도 문경시 가은읍,경상북도 문경시 가은읍북부출장소,경상북도 문경시 영순면,경상북도 문경시 산양면,경상북도 문경시 호계면,경상북도 문경시 산북면,경상북도 문경시 동로면,경상북도 문경시 마성면,경상북도 문경시 농암면,경상북도 문경시 점촌1동,경상북도 문경시 점촌2동,경상북도 문경시 점촌3동,경상북도 문경시 점촌4동,경상북도 문경시 점촌5동
2020년05월_계_총인구수,"71,282","5,811","1,109","3,169",820,"2,528","3,031","2,430","2,744","1,893","3,578","2,589","5,887","7,111","9,169","3,156","16,257"
2020년05월_계_연령구간인구수,"71,282","5,811","1,109","3,169",820,"2,528","3,031","2,430","2,744","1,893","3,578","2,589","5,887","7,111","9,169","3,156","16,257"
2020년05월_계_0~9세,"4,074",222,42,99,18,62,89,47,52,82,84,68,370,420,678,121,"1,620"
2020년05월_계_10~19세,"5,832",338,60,151,41,342,127,186,113,66,144,89,438,601,896,148,"2,092"
2020년05월_계_20~29세,"6,066",403,69,158,28,148,196,320,144,97,205,119,518,607,882,218,"1,954"
2020년05월_계_30~39세,"5,930",377,51,154,49,105,156,107,119,95,223,139,620,662,853,252,"1,968"
2020년05월_계_40~49세,"8,851",618,107,260,77,176,251,194,240,171,308,195,721,890,"1,341",321,"2,981"
2020년05월_계_50~59세,"12,102","1,058",226,539,167,357,489,374,485,357,625,500,994,"1,174","1,609",560,"2,588"
2020년05월_계_60~69세,"12,974","1,209",258,703,193,552,687,522,596,468,739,619,"1,126","1,361","1,484",674,"1,783"
2020년05월_계_70~79세,"9,287","1,014",168,602,149,386,558,374,542,322,726,472,723,939,912,528,872
2020년05월_계_80~89세,"5,331",488,110,427,83,342,404,269,393,208,459,321,338,406,451,295,337
2020년05월_계_90~99세,778,73,18,73,14,57,72,36,55,27,58,61,36,43,57,37,61
2020년05월_계_100세 이상,57,11,0,3,1,1,2,1,5,0,7,6,3,8,6,2,1
2020년05월_남_총인구수,"34,927","2,813",560,"1,531",416,"1,332","1,506","1,152","1,360",961,"1,698","1,196","2,907","3,449","4,566","1,558","7,922"
2020년05월_남_연령구간인구수,"34,927","2,813",560,"1,531",416,"1,332","1,506","1,152","1,360",961,"1,698","1,196","2,907","3,449","4,566","1,558","7,922"
2020년05월_남_0~9세,"2,124",102,21,48,9,33,45,28,31,45,40,35,211,220,365,53,838
2020년05월_남_10~19세,"3,157",180,31,90,26,225,74,82,63,35,80,45,241,319,518,88,"1,060"
2020년05월_남_20~29세,"3,412",256,42,97,11,81,116,141,94,54,115,70,309,355,531,121,"1,019"
2020년05월_남_30~39세,"3,177",214,29,85,21,64,90,62,73,54,136,84,341,362,436,145,981
2020년05월_남_40~49세,"4,751",342,62,147,43,112,166,116,149,110,198,124,397,464,709,202,"1,410"
2020년05월_남_50~59세,"6,219",554,131,278,92,205,274,208,287,182,345,247,464,584,780,311,"1,277"
2020년05월_남_60~69세,"6,237",552,130,371,119,288,339,269,308,267,357,298,502,598,664,319,856
2020년05월_남_70~79세,"4,004",431,74,261,65,188,256,149,233,137,292,196,314,408,391,235,374
2020년05월_남_80~89세,"1,675",163,38,135,29,123,133,89,111,73,120,81,119,130,158,82,91
2020년05월_남_90~99세,156,15,2,19,1,13,13,8,9,4,11,14,9,7,13,2,16
2020년05월_남_100세 이상,15,4,0,0,0,0,0,0,2,0,4,2,0,2,1,0,0
2020년05월_여_총인구수,"36,355","2,998",549,"1,638",404,"1,196","1,525","1,278","1,384",932,"1,880","1,393","2,980","3,662","4,603","1,598","8,335"
2020년05월_여_연령구간인구수,"36,355","2,998",549,"1,638",404,"1,196","1,525","1,278","1,384",932,"1,880","1,393","2,980","3,662","4,603","1,598","8,335"
2020년05월_여_0~9세,"1,950",120,21,51,9,29,44,19,21,37,44,33,159,200,313,68,782
2020년05월_여_10~19세,"2,675",158,29,61,15,117,53,104,50,31,64,44,197,282,378,60,"1,032"
2020년05월_여_20~29세,"2,654",147,27,61,17,67,80,179,50,43,90,49,209,252,351,97,935
2020년05월_여_30~39세,"2,753",163,22,69,28,41,66,45,46,41,87,55,279,300,417,107,987
2020년05월_여_40~49세,"4,100",276,45,113,34,64,85,78,91,61,110,71,324,426,632,119,"1,571"
2020년05월_여_50~59세,"5,883",504,95,261,75,152,215,166,198,175,280,253,530,590,829,249,"1,311"
2020년05월_여_60~69세,"6,737",657,128,332,74,264,348,253,288,201,382,321,624,763,820,355,927
2020년05월_여_70~79세,"5,283",583,94,341,84,198,302,225,309,185,434,276,409,531,521,293,498
2020년05월_여_80~89세,"3,656",325,72,292,54,219,271,180,282,135,339,240,219,276,293,213,246
2020년05월_여_90~99세,622,58,16,54,13,44,59,28,46,23,47,47,27,36,44,35,45
2020년05월_여_100세 이상,42,7,0,3,1,1,2,1,3,0,3,4,3,6,5,2,1
