카테고리,전라남도,전라남도 목포시,전라남도 여수시,전라남도 순천시,전라남도 나주시,전라남도 광양시,전라남도 담양군,전라남도 곡성군,전라남도 구례군,전라남도 고흥군,전라남도 보성군,전라남도 화순군,전라남도 장흥군,전라남도 강진군,전라남도 해남군,전라남도 영암군,전라남도 무안군,전라남도 함평군,전라남도 영광군,전라남도 장성군,전라남도 완도군,전라남도 진도군,전라남도 신안군
2021년05월_계_총인구수,"1,842,423","221,020","278,999","281,745","116,486","150,660","46,650","27,962","25,287","63,434","39,891","62,225","37,095","34,275","68,153","53,370","88,339","31,629","52,571","44,029","49,458","30,421","38,724"
2021년05월_계_연령구간인구수,"1,842,423","221,020","278,999","281,745","116,486","150,660","46,650","27,962","25,287","63,434","39,891","62,225","37,095","34,275","68,153","53,370","88,339","31,629","52,571","44,029","49,458","30,421","38,724"
2021년05월_계_0~9세,"128,551","17,355","20,316","23,050","10,097","13,022","2,320","1,030","1,092","2,572","1,658","3,375","1,914","1,682","3,832","3,370","8,017","1,297","3,703","2,653","3,053","1,622","1,521"
2021년05월_계_10~19세,"165,018","24,042","26,018","29,805","9,602","15,770","2,988","1,953","1,774","3,734","2,545","5,553","2,682","2,457","5,113","4,406","9,414","2,060","4,121","3,215","3,558","2,192","2,016"
2021년05월_계_20~29세,"198,363","26,868","33,519","37,251","12,424","19,830","4,747","2,294","1,898","4,061","2,886","6,708","2,998","2,818","5,508","5,028","9,136","2,419","4,867","4,135","3,761","2,518","2,689"
2021년05월_계_30~39세,"182,218","24,675","30,339","32,980","14,585","18,163","3,674","1,681","1,596","3,551","2,398","4,602","2,637","2,343","4,848","4,574","10,664","1,989","4,750","3,535","3,839","2,167","2,628"
2021년05월_계_40~49세,"256,081","36,675","41,408","42,877","16,615","23,366","5,242","2,958","2,779","6,142","4,068","8,062","3,961","3,674","7,881","7,336","14,025","3,362","6,365","5,403","6,093","3,541","4,248"
2021년05월_계_50~59세,"312,594","36,005","48,383","49,214","17,369","29,157","8,222","4,896","4,529","10,033","6,580","11,248","6,212","5,606","11,445","9,439","13,016","5,373","8,487","7,455","8,002","4,967","6,956"
2021년05월_계_60~69세,"278,221","29,426","41,531","35,382","16,453","17,575","8,601","5,140","4,807","12,902","7,653","9,770","6,666","6,338","12,584","8,254","11,230","6,070","8,533","7,435","8,679","5,408","7,784"
2021년05월_계_70~79세,"191,406","17,646","24,756","19,070","11,467","8,253","6,283","4,191","3,827","11,366","6,531","7,358","5,391","5,139","9,880","6,251","7,850","5,019","7,056","5,833","7,360","4,615","6,264"
2021년05월_계_80~89세,"112,602","7,318","10,965","10,428","6,813","4,707","3,943","3,249","2,576","7,747","4,798","4,851","3,958","3,610","6,147","4,128","4,342","3,514","4,114","3,824","4,494","2,992","4,084"
2021년05월_계_90~99세,"16,760",972,"1,694","1,626","1,031",800,605,554,393,"1,279",750,667,652,579,874,564,620,513,551,524,603,386,523
2021년05월_계_100세 이상,609,38,70,62,30,17,25,16,16,47,24,31,24,29,41,20,25,13,24,17,16,13,11
2021년05월_남_총인구수,"927,074","110,120","142,379","140,637","58,714","78,631","23,648","13,720","12,311","30,819","19,498","30,786","18,032","16,582","33,705","27,608","44,409","15,927","26,288","22,601","24,899","15,089","20,671"
2021년05월_남_연령구간인구수,"927,074","110,120","142,379","140,637","58,714","78,631","23,648","13,720","12,311","30,819","19,498","30,786","18,032","16,582","33,705","27,608","44,409","15,927","26,288","22,601","24,899","15,089","20,671"
2021년05월_남_0~9세,"65,508","8,963","10,290","11,794","5,165","6,616","1,162",526,530,"1,278",874,"1,723",956,833,"1,937","1,696","4,135",679,"1,886","1,347","1,555",789,774
2021년05월_남_10~19세,"85,570","12,306","13,493","15,545","4,946","8,166","1,562","1,051",927,"2,007","1,299","2,877","1,423","1,268","2,643","2,337","4,773","1,098","2,160","1,695","1,850","1,110","1,034"
2021년05월_남_20~29세,"110,985","14,540","19,054","20,316","6,559","11,544","2,796","1,261","1,035","2,366","1,650","3,662","1,696","1,594","3,101","2,949","4,902","1,438","2,750","2,459","2,207","1,483","1,623"
2021년05월_남_30~39세,"95,917","12,754","16,287","16,906","7,623","9,753","1,897",892,852,"1,922","1,287","2,327","1,387","1,201","2,574","2,486","5,430","1,070","2,447","1,892","2,098","1,167","1,665"
2021년05월_남_40~49세,"136,838","18,920","21,871","21,143","9,218","12,053","3,004","1,636","1,517","3,553","2,325","4,155","2,184","2,032","4,406","4,355","7,380","1,996","3,581","3,060","3,552","2,064","2,833"
2021년05월_남_50~59세,"168,207","18,146","25,499","24,839","9,513","15,902","4,512","2,718","2,526","5,636","3,686","6,158","3,396","3,030","6,350","5,442","7,158","3,159","4,716","4,273","4,496","2,792","4,260"
2021년05월_남_60~69세,"140,481","13,997","20,521","17,726","8,371","9,267","4,479","2,710","2,391","6,417","3,889","5,148","3,327","3,180","6,307","4,277","5,656","3,194","4,332","3,936","4,329","2,742","4,285"
2021년05월_남_70~79세,"84,518","7,804","11,358","8,604","5,049","3,703","2,812","1,802","1,613","4,949","2,814","3,100","2,301","2,217","4,319","2,677","3,547","2,117","3,031","2,591","3,263","1,991","2,856"
2021년05월_남_80~89세,"35,674","2,473","3,698","3,439","2,055","1,488","1,291","1,016",835,"2,413","1,515","1,477","1,233","1,121","1,907","1,278","1,325","1,059","1,275","1,226","1,430",879,"1,241"
2021년05월_남_90~99세,"3,308",212,298,319,210,137,133,104,83,272,155,156,126,100,161,109,100,117,110,121,117,72,96
2021년05월_남_100세 이상,68,5,10,6,5,2,0,4,2,6,4,3,3,6,0,2,3,0,0,1,2,0,4
2021년05월_여_총인구수,"915,349","110,900","136,620","141,108","57,772","72,029","23,002","14,242","12,976","32,615","20,393","31,439","19,063","17,693","34,448","25,762","43,930","15,702","26,283","21,428","24,559","15,332","18,053"
2021년05월_여_연령구간인구수,"915,349","110,900","136,620","141,108","57,772","72,029","23,002","14,242","12,976","32,615","20,393","31,439","19,063","17,693","34,448","25,762","43,930","15,702","26,283","21,428","24,559","15,332","18,053"
2021년05월_여_0~9세,"63,043","8,392","10,026","11,256","4,932","6,406","1,158",504,562,"1,294",784,"1,652",958,849,"1,895","1,674","3,882",618,"1,817","1,306","1,498",833,747
2021년05월_여_10~19세,"79,448","11,736","12,525","14,260","4,656","7,604","1,426",902,847,"1,727","1,246","2,676","1,259","1,189","2,470","2,069","4,641",962,"1,961","1,520","1,708","1,082",982
2021년05월_여_20~29세,"87,378","12,328","14,465","16,935","5,865","8,286","1,951","1,033",863,"1,695","1,236","3,046","1,302","1,224","2,407","2,079","4,234",981,"2,117","1,676","1,554","1,035","1,066"
2021년05월_여_30~39세,"86,301","11,921","14,052","16,074","6,962","8,410","1,777",789,744,"1,629","1,111","2,275","1,250","1,142","2,274","2,088","5,234",919,"2,303","1,643","1,741","1,000",963
2021년05월_여_40~49세,"119,243","17,755","19,537","21,734","7,397","11,313","2,238","1,322","1,262","2,589","1,743","3,907","1,777","1,642","3,475","2,981","6,645","1,366","2,784","2,343","2,541","1,477","1,415"
2021년05월_여_50~59세,"144,387","17,859","22,884","24,375","7,856","13,255","3,710","2,178","2,003","4,397","2,894","5,090","2,816","2,576","5,095","3,997","5,858","2,214","3,771","3,182","3,506","2,175","2,696"
2021년05월_여_60~69세,"137,740","15,429","21,010","17,656","8,082","8,308","4,122","2,430","2,416","6,485","3,764","4,622","3,339","3,158","6,277","3,977","5,574","2,876","4,201","3,499","4,350","2,666","3,499"
2021년05월_여_70~79세,"106,888","9,842","13,398","10,466","6,418","4,550","3,471","2,389","2,214","6,417","3,717","4,258","3,090","2,922","5,561","3,574","4,303","2,902","4,025","3,242","4,097","2,624","3,408"
