카테고리,전라북도 부안군,전라북도 부안군 부안읍,전라북도 부안군 주산면,전라북도 부안군 동진면,전라북도 부안군 행안면,전라북도 부안군 계화면,전라북도 부안군 보안면,전라북도 부안군 변산면,전라북도 부안군 진서면,전라북도 부안군 백산면,전라북도 부안군 상서면,전라북도 부안군 하서면,전라북도 부안군 줄포면,전라북도 부안군 위도면
2021년06월_계_총인구수,"51,419","20,918","1,899","2,832","2,199","3,378","2,436","4,426","2,268","2,526","2,211","2,638","2,542","1,146"
2021년06월_계_연령구간인구수,"51,419","20,918","1,899","2,832","2,199","3,378","2,436","4,426","2,268","2,526","2,211","2,638","2,542","1,146"
2021년06월_계_0~9세,"2,472","1,619",40,60,65,95,47,201,71,46,60,68,70,30
2021년06월_계_10~19세,"3,621","2,334",56,110,112,148,80,270,98,93,84,102,103,31
2021년06월_계_20~29세,"4,167","2,174",112,191,145,194,127,363,150,151,164,171,160,65
2021년06월_계_30~39세,"3,742","2,001",104,155,169,216,103,338,131,111,112,129,115,58
2021년06월_계_40~49세,"5,943","3,079",135,238,219,367,187,504,206,209,176,249,251,123
2021년06월_계_50~59세,"8,655","3,449",297,467,393,488,428,831,397,404,405,444,446,206
2021년06월_계_60~69세,"9,776","3,037",454,587,463,756,569,914,568,534,467,562,585,280
2021년06월_계_70~79세,"7,690","2,008",372,564,342,715,488,623,418,525,408,518,495,214
2021년06월_계_80~89세,"4,698","1,100",278,399,245,358,361,330,199,397,296,344,273,118
2021년06월_계_90~99세,633,112,49,61,44,39,44,51,27,54,38,49,44,21
2021년06월_계_100세 이상,22,5,2,0,2,2,2,1,3,2,1,2,0,0
2021년06월_남_총인구수,"25,563","10,243",926,"1,419","1,143","1,697","1,216","2,265","1,165","1,246","1,087","1,288","1,257",611
2021년06월_남_연령구간인구수,"25,563","10,243",926,"1,419","1,143","1,697","1,216","2,265","1,165","1,246","1,087","1,288","1,257",611
2021년06월_남_0~9세,"1,297",843,22,35,23,38,23,114,41,25,33,38,45,17
2021년06월_남_10~19세,"1,899","1,216",39,54,62,75,49,131,60,50,42,53,54,14
2021년06월_남_20~29세,"2,352","1,204",63,116,80,101,68,204,103,83,85,100,107,38
2021년06월_남_30~39세,"2,024",979,64,91,107,140,60,193,73,79,69,68,64,37
2021년06월_남_40~49세,"3,320","1,524",91,160,140,236,129,307,119,135,106,142,149,82
2021년06월_남_50~59세,"4,775","1,728",170,279,232,294,241,461,229,245,240,272,250,134
2021년06월_남_60~69세,"4,896","1,491",221,310,262,356,298,453,271,268,254,278,281,153
2021년06월_남_70~79세,"3,362",874,156,236,145,320,222,288,200,221,171,213,220,96
2021년06월_남_80~89세,"1,496",361,89,122,80,126,114,105,64,126,82,110,79,38
2021년06월_남_90~99세,140,23,11,16,11,11,11,9,5,14,5,14,8,2
2021년06월_남_100세 이상,2,0,0,0,1,0,1,0,0,0,0,0,0,0
2021년06월_여_총인구수,"25,856","10,675",973,"1,413","1,056","1,681","1,220","2,161","1,103","1,280","1,124","1,350","1,285",535
2021년06월_여_연령구간인구수,"25,856","10,675",973,"1,413","1,056","1,681","1,220","2,161","1,103","1,280","1,124","1,350","1,285",535
2021년06월_여_0~9세,"1,175",776,18,25,42,57,24,87,30,21,27,30,25,13
2021년06월_여_10~19세,"1,722","1,118",17,56,50,73,31,139,38,43,42,49,49,17
2021년06월_여_20~29세,"1,815",970,49,75,65,93,59,159,47,68,79,71,53,27
2021년06월_여_30~39세,"1,718","1,022",40,64,62,76,43,145,58,32,43,61,51,21
2021년06월_여_40~49세,"2,623","1,555",44,78,79,131,58,197,87,74,70,107,102,41
2021년06월_여_50~59세,"3,880","1,721",127,188,161,194,187,370,168,159,165,172,196,72
2021년06월_여_60~69세,"4,880","1,546",233,277,201,400,271,461,297,266,213,284,304,127
2021년06월_여_70~79세,"4,328","1,134",216,328,197,395,266,335,218,304,237,305,275,118
2021년06월_여_80~89세,"3,202",739,189,277,165,232,247,225,135,271,214,234,194,80
2021년06월_여_90~99세,493,89,38,45,33,28,33,42,22,40,33,35,36,19
2021년06월_여_100세 이상,20,5,2,0,1,2,1,1,3,2,1,2,0,0
