,경기도,경기도 수원시,경기도 수원시 장안구,경기도 수원시 권선구,경기도 수원시 팔달구,경기도 수원시 영통구,경기도 성남시,경기도 성남시 수정구,경기도 성남시 중원구,경기도 성남시 분당구,경기도 의정부시,경기도 안양시,경기도 안양시 만안구,경기도 안양시 동안구,경기도 부천시,경기도 광명시,경기도 평택시,경기도 동두천시,경기도 안산시,경기도 안산시 상록구,경기도 안산시 단원구,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 일산동구,경기도 고양시 일산서구,경기도 과천시,경기도 구리시,경기도 남양주시,경기도 오산시,경기도 시흥시,경기도 군포시,경기도 의왕시,경기도 하남시,경기도 용인시,경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구,경기도 파주시,경기도 이천시,경기도 안성시,경기도 김포시,경기도 화성시,경기도 광주시,경기도 양주시,경기도 포천시,경기도 여주시,경기도 연천군,경기도 가평군,경기도 양평군
2021년07월_남_총인구수,"6,801,008","595,883","135,998","184,424","92,352","183,109","461,613","119,613","108,571","233,429","227,975","271,356","119,435","151,921","401,645","145,781","286,588","46,675","335,750","180,042","155,708","529,135","237,593","146,087","145,455","34,151","96,227","360,803","119,588","267,186","133,999","81,009","154,574","535,521","134,410","217,479","183,632","240,306","114,913","97,699","242,493","453,495","196,660","119,411","78,351","57,076","22,518","32,114","60,513"
2021년07월_남_연령구간인구수,"6,801,008","595,883","135,998","184,424","92,352","183,109","461,613","119,613","108,571","233,429","227,975","271,356","119,435","151,921","401,645","145,781","286,588","46,675","335,750","180,042","155,708","529,135","237,593","146,087","145,455","34,151","96,227","360,803","119,588","267,186","133,999","81,009","154,574","535,521","134,410","217,479","183,632","240,306","114,913","97,699","242,493","453,495","196,660","119,411","78,351","57,076","22,518","32,114","60,513"
2021년07월_남_0~9세,"573,001","48,127","8,826","15,975","5,228","18,098","34,196","7,636","6,554","20,006","17,353","19,625","7,624","12,001","28,090","11,451","25,123","3,083","21,949","11,581","10,368","40,827","19,317","10,486","11,024","3,148","7,442","32,870","11,577","24,731","9,909","6,630","15,997","49,760","10,495","21,082","18,183","22,196","9,431","6,959","28,010","52,383","17,395","10,243","4,222","3,656","1,312","1,638","3,668"
2021년07월_남_10~19세,"681,871","60,096","14,563","17,005","7,189","21,339","44,022","8,692","8,265","27,065","21,576","26,634","9,604","17,030","35,240","15,442","27,801","4,274","32,181","17,291","14,890","52,730","21,097","14,890","16,743","3,487","9,066","40,099","12,744","25,874","13,408","7,319","13,687","63,088","14,078","25,885","23,125","25,432","12,221","9,540","25,049","50,476","17,489","12,395","6,236","4,927","1,632","2,398","5,308"
2021년07월_남_20~29세,"952,920","97,529","23,700","27,971","15,668","30,190","66,380","18,078","15,849","32,453","32,861","39,558","17,801","21,757","59,067","19,533","42,026","6,040","56,620","31,186","25,434","76,227","32,255","22,411","21,561","4,891","13,674","44,789","17,051","37,964","19,483","12,118","19,184","71,957","18,982","29,692","23,283","31,181","17,427","12,783","27,332","58,498","23,980","14,830","10,425","6,669","3,343","3,569","5,931"
2021년07월_남_30~39세,"980,593","92,497","16,818","29,794","14,571","31,314","69,040","18,693","16,803","33,544","30,624","39,636","17,432","22,204","58,365","20,576","45,699","5,197","46,542","23,986","22,556","71,037","34,569","18,874","17,594","4,868","12,772","44,146","20,679","42,026","19,425","11,685","26,028","70,321","17,908","28,230","24,183","35,527","16,425","12,554","37,384","78,704","29,176","14,637","8,176","5,964","2,368","3,036","5,479"
2021년07월_남_40~49세,"1,167,605","100,766","21,722","31,397","14,534","33,113","75,976","19,271","17,018","39,687","37,161","42,476","17,730","24,746","63,928","24,988","51,179","7,199","54,175","28,901","25,274","87,021","39,372","23,936","23,713","5,084","15,972","65,684","23,252","49,767","21,367","11,979","28,613","97,903","22,942","40,502","34,459","41,756","17,976","16,130","47,397","89,560","35,627","20,668","10,734","8,188","2,622","4,201","8,256"
2021년07월_남_50~59세,"1,139,981","97,915","24,271","30,299","15,834","27,511","77,341","20,447","18,982","37,912","39,647","46,704","20,978","25,726","70,370","24,484","46,797","8,633","65,017","35,137","29,880","96,283","41,631","27,346","27,306","5,823","17,254","61,248","17,638","46,969","23,137","14,030","22,065","85,624","22,484","34,482","28,658","39,159","18,328","16,731","34,882","63,982","32,821","20,395","15,975","10,486","3,765","5,885","10,593"
2021년07월_남_60~69세,"808,530","63,464","16,049","21,003","11,869","14,543","57,782","16,633","15,797","25,352","29,087","36,560","17,746","18,814","57,125","18,529","29,680","6,777","40,254","21,299","18,955","64,696","29,957","17,744","16,995","4,233","12,758","43,031","10,568","27,369","17,306","11,259","18,149","53,562","16,931","20,280","16,351","26,372","14,244","13,694","25,537","38,632","25,605","15,450","14,124","10,013","4,078","6,565","12,027"
2021년07월_남_70~79세,"350,473","25,356","6,906","8,018","5,383","5,049","26,195","7,608","7,021","11,566","13,734","14,671","7,740","6,931","21,790","7,976","12,583","3,624","13,558","7,486","6,072","26,521","13,155","6,724","6,642","1,773","5,213","20,790","4,396","9,086","6,849","4,299","8,416","29,844","7,509","11,798","10,537","12,700","6,055","6,305","12,286","15,314","10,878","7,673","5,753","4,900","2,231","3,225","6,479"
2021년07월_남_80~89세,"132,910","9,196","2,819","2,691","1,902","1,784","9,612","2,337","2,113","5,162","5,477","4,959","2,555","2,404","6,932","2,562","5,215","1,682","4,967","2,870","2,097","12,479","5,692","3,300","3,487",745,"1,882","7,472","1,570","3,082","2,783","1,518","2,190","12,282","2,806","5,036","4,440","5,428","2,576","2,775","4,224","5,490","3,402","2,875","2,452","2,065","1,049","1,446","2,523"
2021년07월_남_90~99세,"12,574",891,309,258,163,161,"1,022",201,158,663,441,510,214,296,698,232,459,163,465,293,172,"1,271",528,361,382,96,173,643,106,288,322,169,233,"1,156",267,482,407,538,223,222,379,438,275,235,240,200,110,137,239
2021년07월_남_100세 이상,550,46,15,13,11,7,47,17,11,19,14,23,11,12,40,8,26,3,22,12,10,43,20,15,8,3,21,31,7,30,10,3,12,24,8,10,6,17,7,6,13,18,12,10,14,8,8,14,10
2021년07월_여_총인구수,"6,711,859","587,732","134,046","180,733","90,846","182,107","470,143","116,738","105,618","247,787","234,613","277,604","119,204","158,400","408,424","149,779","265,015","46,772","318,928","172,856","146,072","551,910","243,460","154,145","154,305","35,358","97,727","364,228","111,069","244,561","136,294","81,916","153,816","543,528","127,072","223,151","193,305","233,367","106,784","91,599","241,988","419,042","188,340","116,084","69,504","55,127","20,467","30,234","59,906"
2021년07월_여_연령구간인구수,"6,711,859","587,732","134,046","180,733","90,846","182,107","470,143","116,738","105,618","247,787","234,613","277,604","119,204","158,400","408,424","149,779","265,015","46,772","318,928","172,856","146,072","551,910","243,460","154,145","154,305","35,358","97,727","364,228","111,069","244,561","136,294","81,916","153,816","543,528","127,072","223,151","193,305","233,367","106,784","91,599","241,988","419,042","188,340","116,084","69,504","55,127","20,467","30,234","59,906"
2021년07월_여_0~9세,"546,412","45,244","8,365","14,996","5,120","16,763","32,646","7,458","6,255","18,933","16,296","18,945","7,418","11,527","26,500","10,997","24,281","2,909","21,027","11,184","9,843","39,200","18,597","9,941","10,662","2,894","7,026","30,997","11,068","24,007","9,533","6,185","15,261","47,572","10,069","19,943","17,560","21,265","8,834","6,552","26,923","50,058","16,482","9,838","4,008","3,448","1,291","1,616","3,509"
2021년07월_여_10~19세,"644,449","56,244","13,287","15,787","6,887","20,283","41,923","8,316","7,780","25,827","20,159","24,732","8,787","15,945","33,497","14,516","26,067","4,208","30,342","16,474","13,868","50,362","20,132","14,076","16,154","3,291","8,505","38,025","12,174","24,501","12,426","6,920","13,337","59,414","12,464","24,603","22,347","24,127","11,126","8,803","24,072","48,483","16,720","11,939","5,640","4,609","1,454","2,190","4,643"
2021년07월_여_20~29세,"856,390","87,902","19,616","25,473","14,781","28,032","63,117","16,304","14,733","32,080","32,009","36,881","16,308","20,573","55,568","17,963","34,214","5,075","49,822","27,393","22,429","72,718","30,184","22,139","20,395","4,412","12,889","41,242","14,468","32,091","17,945","10,899","18,759","66,403","15,870","27,336","23,197","27,137","13,311","10,302","25,743","49,149","21,159","12,907","7,555","5,516","1,898","2,622","4,714"
2021년07월_여_30~39세,"917,908","84,607","15,136","27,012","12,251","30,208","66,344","16,276","14,320","35,748","29,331","37,458","15,588","21,870","54,953","19,959","37,667","4,780","38,689","20,174","18,515","71,854","34,019","19,522","18,313","4,918","12,575","45,305","17,401","36,503","17,988","11,013","25,463","71,989","15,798","29,536","26,655","31,757","14,083","10,326","38,840","71,924","27,008","13,780","6,418","5,308","1,790","2,560","5,317"
2021년07월_여_40~49세,"1,127,830","99,391","22,202","29,380","13,503","34,306","78,078","17,215","15,277","45,586","36,728","44,015","16,775","27,240","62,807","25,607","44,502","6,739","51,489","27,766","23,723","92,711","39,278","26,579","26,854","5,373","16,036","65,532","20,431","42,518","21,869","12,174","26,220","100,660","20,621","42,364","37,675","39,768","16,789","14,081","43,828","78,653","31,842","19,350","9,216","7,599","2,177","3,617","8,030"
2021년07월_여_50~59세,"1,109,266","98,210","24,298","31,099","15,350","27,463","77,166","19,580","18,369","39,217","40,967","49,525","21,847","27,678","74,654","24,598","42,018","7,753","62,582","33,983","28,599","99,603","41,920","28,867","28,816","6,267","17,752","58,662","16,080","42,341","24,312","15,149","22,065","82,821","21,070","33,780","27,971","35,785","16,858","14,800","33,413","54,899","31,402","18,586","13,048","9,517","3,211","5,200","10,022"
2021년07월_여_60~69세,"817,152","64,815","16,455","21,472","12,379","14,509","60,311","17,599","16,124","26,588","30,978","37,703","18,291","19,412","59,140","20,478","29,280","6,965","36,620","19,634","16,986","64,489","30,568","17,245","16,676","4,443","12,876","45,280","10,804","24,205","17,959","11,336","19,440","58,190","16,645","22,889","18,656","26,353","13,532","13,380","26,980","37,059","25,521","15,273","12,009","9,660","3,788","6,140","12,145"
2021년07월_여_70~79세,"419,290","31,255","8,762","9,464","6,666","6,363","31,360","9,177","8,271","13,912","17,445","17,132","8,786","8,346","25,274","9,682","15,987","4,985","16,457","9,425","7,032","35,140","17,175","8,819","9,146","2,179","6,381","24,681","5,520","10,837","8,283","4,813","8,471","36,122","8,703","14,625","12,794","16,082","7,071","7,448","14,042","17,338","11,679","8,794","6,573","5,325","2,683","3,565","6,686"
2021년07월_여_80~89세,"230,583","16,831","4,932","5,097","3,342","3,460","15,936","4,095","3,762","8,079","9,180","9,462","4,606","4,856","13,490","5,086","9,426","2,901","10,094","5,793","4,301","21,948","9,914","5,845","6,189","1,290","3,157","12,272","2,683","6,323","5,065","2,832","3,927","17,072","4,876","6,770","5,426","9,448","4,428","5,006","6,847","9,719","5,478","4,735","4,282","3,462","1,857","2,320","4,026"
2021년07월_여_90~99세,"40,817","3,077",947,909,533,688,"3,109",675,678,"1,756","1,459","1,681",766,915,"2,425",865,"1,507",435,"1,735",991,744,"3,751","1,602","1,085","1,064",283,498,"2,122",422,"1,159",881,576,828,"3,158",922,"1,254",982,"1,589",727,869,"1,256","1,696","1,009",846,732,661,300,381,780
2021년07월_여_100세 이상,"1,762",156,46,44,34,32,153,43,49,61,61,70,32,38,116,28,66,22,71,39,32,134,71,27,36,8,32,110,18,76,33,19,45,127,34,51,42,56,25,32,44,64,40,36,23,22,18,23,34
