카테고리,충청북도 보은군,충청북도 보은군 보은읍,충청북도 보은군 속리산면,충청북도 보은군 장안면,충청북도 보은군 마로면,충청북도 보은군 탄부면,충청북도 보은군 삼승면,충청북도 보은군 수한면,충청북도 보은군 회남면,충청북도 보은군 회인면,충청북도 보은군 내북면,충청북도 보은군 산외면
2020년03월_계_총인구수,"32,760","14,891","1,938","1,509","2,251","1,704","2,374","1,960",784,"1,816","1,729","1,804"
2020년03월_계_연령구간인구수,"32,760","14,891","1,938","1,509","2,251","1,704","2,374","1,960",784,"1,816","1,729","1,804"
2020년03월_계_0~9세,"1,536","1,016",38,86,50,30,69,66,30,62,41,48
2020년03월_계_10~19세,"2,190","1,353",91,79,102,63,161,92,24,68,75,82
2020년03월_계_20~29세,"2,472","1,428",127,123,106,84,147,108,33,100,108,108
2020년03월_계_30~39세,"2,340","1,349",87,153,100,81,179,107,30,68,93,93
2020년03월_계_40~49세,"3,436","1,935",180,172,176,124,209,173,59,134,124,150
2020년03월_계_50~59세,"6,063","2,719",414,252,406,271,418,366,151,347,349,370
2020년03월_계_60~69세,"6,557","2,426",469,255,547,411,508,470,231,436,386,418
2020년03월_계_70~79세,"4,587","1,547",339,212,438,350,380,305,132,311,294,279
2020년03월_계_80~89세,"3,075",971,152,146,285,258,281,222,83,251,211,215
2020년03월_계_90~99세,479,138,38,29,40,30,20,49,11,38,47,39
2020년03월_계_100세 이상,25,9,3,2,1,2,2,2,0,1,1,2
2020년03월_남_총인구수,"16,500","7,440",993,783,"1,094",828,"1,211",980,413,912,887,959
2020년03월_남_연령구간인구수,"16,500","7,440",993,783,"1,094",828,"1,211",980,413,912,887,959
2020년03월_남_0~9세,799,522,20,44,23,20,33,31,19,30,24,33
2020년03월_남_10~19세,"1,163",728,42,31,57,34,88,47,13,37,41,45
2020년03월_남_20~29세,"1,431",802,77,80,58,51,96,63,13,60,61,70
2020년03월_남_30~39세,"1,305",693,58,102,57,47,121,61,15,37,57,57
2020년03월_남_40~49세,"1,917","1,013",109,101,110,71,128,103,35,92,72,83
2020년03월_남_50~59세,"3,348","1,454",223,146,223,160,223,207,91,201,213,207
2020년03월_남_60~69세,"3,352","1,192",254,127,270,190,264,250,127,225,212,241
2020년03월_남_70~79세,"2,027",674,142,95,196,154,156,141,69,141,120,139
2020년03월_남_80~89세,"1,041",324,60,50,89,89,99,73,31,80,73,73
2020년03월_남_90~99세,116,38,7,7,11,12,3,4,0,9,14,11
2020년03월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0
2020년03월_여_총인구수,"16,260","7,451",945,726,"1,157",876,"1,163",980,371,904,842,845
2020년03월_여_연령구간인구수,"16,260","7,451",945,726,"1,157",876,"1,163",980,371,904,842,845
2020년03월_여_0~9세,737,494,18,42,27,10,36,35,11,32,17,15
2020년03월_여_10~19세,"1,027",625,49,48,45,29,73,45,11,31,34,37
2020년03월_여_20~29세,"1,041",626,50,43,48,33,51,45,20,40,47,38
2020년03월_여_30~39세,"1,035",656,29,51,43,34,58,46,15,31,36,36
2020년03월_여_40~49세,"1,519",922,71,71,66,53,81,70,24,42,52,67
2020년03월_여_50~59세,"2,715","1,265",191,106,183,111,195,159,60,146,136,163
2020년03월_여_60~69세,"3,205","1,234",215,128,277,221,244,220,104,211,174,177
2020년03월_여_70~79세,"2,560",873,197,117,242,196,224,164,63,170,174,140
2020년03월_여_80~89세,"2,034",647,92,96,196,169,182,149,52,171,138,142
2020년03월_여_90~99세,363,100,31,22,29,18,17,45,11,29,33,28
2020년03월_여_100세 이상,24,9,2,2,1,2,2,2,0,1,1,2
