카테고리,부산광역시 서구,부산광역시 서구 동대신제1동,부산광역시 서구 동대신제2동,부산광역시 서구 동대신제3동,부산광역시 서구 서대신제1동,부산광역시 서구 서대신제3동,부산광역시 서구 서대신제4동,부산광역시 서구 부민동,부산광역시 서구 아미동,부산광역시 서구 초장동,부산광역시 서구 충무동,부산광역시 서구 남부민제1동,부산광역시 서구 남부민제2동,부산광역시 서구 암남동
2020년08월_계_총인구수,"107,768","4,609","7,744","7,759","12,088","8,825","7,999","7,968","7,207","4,734","10,130","5,157","9,740","13,808"
2020년08월_계_연령구간인구수,"107,768","4,609","7,744","7,759","12,088","8,825","7,999","7,968","7,207","4,734","10,130","5,157","9,740","13,808"
2020년08월_계_0~9세,"5,617",216,336,428,910,647,656,469,110,123,521,136,353,712
2020년08월_계_10~19세,"7,304",292,554,524,918,852,773,589,325,191,539,211,545,991
2020년08월_계_20~29세,"13,512",613,777,"1,188","1,558","1,072",967,"1,574",767,447,"1,387",456,921,"1,785"
2020년08월_계_30~39세,"11,321",509,684,877,"1,566",913,896,"1,022",563,386,"1,257",495,808,"1,345"
2020년08월_계_40~49세,"14,678",603,"1,039","1,074","1,813","1,378","1,269","1,067",866,623,"1,337",605,"1,248","1,756"
2020년08월_계_50~59세,"18,073",756,"1,346","1,160","1,873","1,468","1,297","1,132","1,276",825,"1,732",962,"1,722","2,524"
2020년08월_계_60~69세,"18,829",791,"1,434","1,272","1,695","1,295","1,133","1,130","1,552","1,000","1,732","1,147","2,067","2,581"
2020년08월_계_70~79세,"12,295",520,"1,031",794,"1,159",770,641,622,"1,123",751,"1,130",793,"1,484","1,477"
2020년08월_계_80~89세,"5,277",272,484,373,507,371,316,302,523,333,426,304,516,550
2020년08월_계_90~99세,740,33,55,59,84,56,47,54,74,46,54,41,63,74
2020년08월_계_100세 이상,122,4,4,10,5,3,4,7,28,9,15,7,13,13
2020년08월_남_총인구수,"52,216","2,199","3,779","3,621","5,692","4,085","3,898","3,798","3,641","2,365","4,850","2,612","4,874","6,802"
2020년08월_남_연령구간인구수,"52,216","2,199","3,779","3,621","5,692","4,085","3,898","3,798","3,641","2,365","4,850","2,612","4,874","6,802"
2020년08월_남_0~9세,"2,915",110,179,219,471,329,355,245,54,61,271,67,184,370
2020년08월_남_10~19세,"3,683",137,264,249,453,396,415,296,175,95,282,104,292,525
2020년08월_남_20~29세,"6,687",311,422,543,750,528,498,702,397,244,624,248,502,918
2020년08월_남_30~39세,"5,851",268,371,442,756,437,429,507,318,214,648,292,451,718
2020년08월_남_40~49세,"7,587",318,536,533,894,644,605,545,503,363,692,356,679,919
2020년08월_남_50~59세,"9,227",380,660,580,920,674,640,574,711,457,880,527,943,"1,281"
2020년08월_남_60~69세,"8,791",346,679,562,756,598,550,530,778,488,802,539,990,"1,173"
2020년08월_남_70~79세,"5,353",227,462,346,495,341,273,268,486,328,469,350,646,662
2020년08월_남_80~89세,"1,913",93,194,127,176,123,124,119,193,99,161,117,173,214
2020년08월_남_90~99세,175,9,11,18,19,15,9,9,16,14,17,10,11,17
2020년08월_남_100세 이상,34,0,1,2,2,0,0,3,10,2,4,2,3,5
2020년08월_여_총인구수,"55,552","2,410","3,965","4,138","6,396","4,740","4,101","4,170","3,566","2,369","5,280","2,545","4,866","7,006"
2020년08월_여_연령구간인구수,"55,552","2,410","3,965","4,138","6,396","4,740","4,101","4,170","3,566","2,369","5,280","2,545","4,866","7,006"
2020년08월_여_0~9세,"2,702",106,157,209,439,318,301,224,56,62,250,69,169,342
2020년08월_여_10~19세,"3,621",155,290,275,465,456,358,293,150,96,257,107,253,466
2020년08월_여_20~29세,"6,825",302,355,645,808,544,469,872,370,203,763,208,419,867
2020년08월_여_30~39세,"5,470",241,313,435,810,476,467,515,245,172,609,203,357,627
2020년08월_여_40~49세,"7,091",285,503,541,919,734,664,522,363,260,645,249,569,837
2020년08월_여_50~59세,"8,846",376,686,580,953,794,657,558,565,368,852,435,779,"1,243"
2020년08월_여_60~69세,"10,038",445,755,710,939,697,583,600,774,512,930,608,"1,077","1,408"
2020년08월_여_70~79세,"6,942",293,569,448,664,429,368,354,637,423,661,443,838,815
2020년08월_여_80~89세,"3,364",179,290,246,331,248,192,183,330,234,265,187,343,336
2020년08월_여_90~99세,565,24,44,41,65,41,38,45,58,32,37,31,52,57
2020년08월_여_100세 이상,88,4,3,8,3,3,4,4,18,7,11,5,10,8
