,전라남도 완도군,전라남도 완도군 완도읍,전라남도 완도군 금일읍,전라남도 완도군 노화읍,전라남도 완도군 노화읍넙도출장소,전라남도 완도군 군외면,전라남도 완도군 신지면,전라남도 완도군 고금면,전라남도 완도군 약산면,전라남도 완도군 청산면,전라남도 완도군 청산면모도출장소,전라남도 완도군 소안면,전라남도 완도군 금당면,전라남도 완도군 보길면,전라남도 완도군 생일면
2021년02월_계_총인구수,"49,757","18,251","3,751","4,410",788,"3,233","3,408","4,254","2,367","2,069",226,"2,522",989,"2,679",810
2021년02월_계_연령구간인구수,"49,757","18,251","3,751","4,410",788,"3,233","3,408","4,254","2,367","2,069",226,"2,522",989,"2,679",810
2021년02월_계_0~9세,"3,120","1,453",210,326,54,92,127,182,115,66,8,147,44,254,42
2021년02월_계_10~19세,"3,615","1,734",190,383,49,134,209,267,99,96,9,139,53,221,32
2021년02월_계_20~29세,"3,740","1,833",236,285,38,188,211,263,125,132,8,148,59,155,59
2021년02월_계_30~39세,"3,937","1,767",286,382,77,176,201,244,126,133,7,173,65,247,53
2021년02월_계_40~49세,"6,207","2,699",423,595,120,321,381,431,206,178,29,292,99,344,89
2021년02월_계_50~59세,"8,046","3,108",586,653,124,534,573,627,398,349,34,344,168,412,136
2021년02월_계_60~69세,"8,645","2,860",753,637,158,713,645,711,493,421,35,453,167,449,150
2021년02월_계_70~79세,"7,401","1,808",626,652,128,642,590,901,486,369,48,480,176,346,149
2021년02월_계_80~89세,"4,445",862,393,442,37,382,424,552,281,279,40,306,140,222,85
2021년02월_계_90~99세,575,117,46,54,2,49,46,73,37,45,7,39,17,29,14
2021년02월_계_100세 이상,26,10,2,1,1,2,1,3,1,1,1,1,1,0,1
2021년02월_남_총인구수,"25,033","9,212","1,898","2,212",435,"1,615","1,743","2,079","1,195","1,013",117,"1,242",494,"1,352",426
2021년02월_남_연령구간인구수,"25,033","9,212","1,898","2,212",435,"1,615","1,743","2,079","1,195","1,013",117,"1,242",494,"1,352",426
2021년02월_남_0~9세,"1,598",774,102,153,26,55,54,87,72,30,6,70,19,131,19
2021년02월_남_10~19세,"1,879",892,93,208,27,66,105,140,47,54,4,69,34,117,23
2021년02월_남_20~29세,"2,186","1,069",139,166,24,96,141,154,76,75,8,86,34,85,33
2021년02월_남_30~39세,"2,155",894,167,226,53,117,108,136,67,86,4,99,34,130,34
2021년02월_남_40~49세,"3,617","1,408",285,351,84,198,244,257,137,105,19,193,62,209,65
2021년02월_남_50~59세,"4,493","1,656",333,365,70,310,337,361,233,204,23,198,98,225,80
2021년02월_남_60~69세,"4,307","1,391",389,321,75,350,334,349,244,217,21,219,92,233,72
2021년02월_남_70~79세,"3,272",828,268,277,64,305,255,382,221,150,22,190,77,161,72
2021년02월_남_80~89세,"1,413",277,115,138,12,113,154,197,90,80,10,106,39,56,26
2021년02월_남_90~99세,110,22,7,7,0,5,11,16,8,11,0,11,5,5,2
2021년02월_남_100세 이상,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2021년02월_여_총인구수,"24,724","9,039","1,853","2,198",353,"1,618","1,665","2,175","1,172","1,056",109,"1,280",495,"1,327",384
2021년02월_여_연령구간인구수,"24,724","9,039","1,853","2,198",353,"1,618","1,665","2,175","1,172","1,056",109,"1,280",495,"1,327",384
2021년02월_여_0~9세,"1,522",679,108,173,28,37,73,95,43,36,2,77,25,123,23
2021년02월_여_10~19세,"1,736",842,97,175,22,68,104,127,52,42,5,70,19,104,9
2021년02월_여_20~29세,"1,554",764,97,119,14,92,70,109,49,57,0,62,25,70,26
2021년02월_여_30~39세,"1,782",873,119,156,24,59,93,108,59,47,3,74,31,117,19
2021년02월_여_40~49세,"2,590","1,291",138,244,36,123,137,174,69,73,10,99,37,135,24
2021년02월_여_50~59세,"3,553","1,452",253,288,54,224,236,266,165,145,11,146,70,187,56
2021년02월_여_60~69세,"4,338","1,469",364,316,83,363,311,362,249,204,14,234,75,216,78
2021년02월_여_70~79세,"4,129",980,358,375,64,337,335,519,265,219,26,290,99,185,77
2021년02월_여_80~89세,"3,032",585,278,304,25,269,270,355,191,199,30,200,101,166,59
2021년02월_여_90~99세,465,95,39,47,2,44,35,57,29,34,7,28,12,24,12
2021년02월_여_100세 이상,23,9,2,1,1,2,1,3,1,0,1,0,1,0,1
