,인천광역시 동구,인천광역시 동구 만석동,인천광역시 동구 화수1.화평동,인천광역시 동구 화수2동,인천광역시 동구 송현1.2동,인천광역시 동구 송현3동,인천광역시 동구 송림1동,인천광역시 동구 송림2동,인천광역시 동구 송림3.5동,인천광역시 동구 송림4동,인천광역시 동구 송림6동,인천광역시 동구 금창동
2021년10월_계_총인구수,"61,977","6,928","5,965","7,608","10,450","3,573","1,596","2,756","7,663","6,160","6,344","2,934"
2021년10월_계_연령구간인구수,"61,977","6,928","5,965","7,608","10,450","3,573","1,596","2,756","7,663","6,160","6,344","2,934"
2021년10월_계_0~9세,"3,536",418,223,311,783,108,82,73,402,517,516,103
2021년10월_계_10~19세,"4,948",586,463,603,879,198,109,148,647,571,566,178
2021년10월_계_20~29세,"6,440",735,666,740,"1,161",368,160,247,792,737,557,277
2021년10월_계_30~39세,"6,866",762,492,709,"1,344",329,155,212,795,"1,084",752,232
2021년10월_계_40~49세,"9,758","1,143",838,"1,156","1,742",468,237,338,"1,252","1,066","1,112",406
2021년10월_계_50~59세,"9,990","1,184","1,063","1,237","1,571",640,240,450,"1,241",965,968,431
2021년10월_계_60~69세,"10,451","1,128","1,082","1,378","1,598",745,302,609,"1,296",743,990,580
2021년10월_계_70~79세,"6,546",619,763,945,973,439,184,414,826,341,553,489
2021년10월_계_80~89세,"2,972",307,320,468,345,251,112,232,356,112,265,204
2021년10월_계_90~99세,440,45,52,59,49,26,14,29,54,21,58,33
2021년10월_계_100세 이상,30,1,3,2,5,1,1,4,2,3,7,1
2021년10월_남_총인구수,"31,266","3,562","3,046","3,751","5,116","1,850",774,"1,417","3,920","3,195","3,173","1,462"
2021년10월_남_연령구간인구수,"31,266","3,562","3,046","3,751","5,116","1,850",774,"1,417","3,920","3,195","3,173","1,462"
2021년10월_남_0~9세,"1,854",231,120,168,389,57,38,40,227,265,276,43
2021년10월_남_10~19세,"2,553",300,239,286,466,98,53,73,330,287,318,103
2021년10월_남_20~29세,"3,485",411,366,397,594,210,85,156,462,380,281,143
2021년10월_남_30~39세,"3,695",410,261,388,677,190,89,131,438,605,375,131
2021년10월_남_40~49세,"5,255",607,448,648,905,271,125,194,656,567,603,231
2021년10월_남_50~59세,"5,329",652,594,655,766,362,119,262,670,512,498,239
2021년10월_남_60~69세,"5,066",572,536,657,732,385,149,289,624,371,462,289
2021년10월_남_70~79세,"2,881",272,339,385,448,183,83,177,368,158,261,207
2021년10월_남_80~89세,"1,037",95,128,152,129,86,29,85,130,43,92,68
2021년10월_남_90~99세,104,11,15,15,8,8,4,8,15,6,6,8
2021년10월_남_100세 이상,7,1,0,0,2,0,0,2,0,1,1,0
2021년10월_여_총인구수,"30,711","3,366","2,919","3,857","5,334","1,723",822,"1,339","3,743","2,965","3,171","1,472"
2021년10월_여_연령구간인구수,"30,711","3,366","2,919","3,857","5,334","1,723",822,"1,339","3,743","2,965","3,171","1,472"
2021년10월_여_0~9세,"1,682",187,103,143,394,51,44,33,175,252,240,60
2021년10월_여_10~19세,"2,395",286,224,317,413,100,56,75,317,284,248,75
2021년10월_여_20~29세,"2,955",324,300,343,567,158,75,91,330,357,276,134
2021년10월_여_30~39세,"3,171",352,231,321,667,139,66,81,357,479,377,101
2021년10월_여_40~49세,"4,503",536,390,508,837,197,112,144,596,499,509,175
2021년10월_여_50~59세,"4,661",532,469,582,805,278,121,188,571,453,470,192
2021년10월_여_60~69세,"5,385",556,546,721,866,360,153,320,672,372,528,291
2021년10월_여_70~79세,"3,665",347,424,560,525,256,101,237,458,183,292,282
2021년10월_여_80~89세,"1,935",212,192,316,216,165,83,147,226,69,173,136
2021년10월_여_90~99세,336,34,37,44,41,18,10,21,39,15,52,25
2021년10월_여_100세 이상,23,0,3,2,3,1,1,2,2,2,6,1
