,경기도 양주시,경기도 양주시 백석읍,경기도 양주시 은현면,경기도 양주시 남면,경기도 양주시 광적면,경기도 양주시 장흥면,경기도 양주시 양주1동,경기도 양주시 양주2동,경기도 양주시 회천1동,경기도 양주시 회천2동,경기도 양주시 회천3동,경기도 양주시 회천4동
2020년04월_계_총인구수,"224,524","26,622","6,160","7,159","12,202","10,355","5,463","50,515","9,939","27,251","27,902","40,956"
2020년04월_계_연령구간인구수,"224,524","26,622","6,160","7,159","12,202","10,355","5,463","50,515","9,939","27,251","27,902","40,956"
2020년04월_계_0~9세,"19,771","1,520",170,402,679,514,218,"5,310",659,"2,010","2,476","5,813"
2020년04월_계_10~19세,"23,875","2,644",348,418,938,569,294,"7,214",788,"2,779","3,762","4,121"
2020년04월_계_20~29세,"26,696","3,361",710,854,"1,333","1,078",595,"5,111","1,637","3,589","3,772","4,656"
2020년04월_계_30~39세,"27,496","2,429",518,831,"1,216","1,128",474,"5,722","1,185","2,907","3,061","8,025"
2020년04월_계_40~49세,"38,867","4,009",721,815,"1,810","1,183",658,"10,630","1,430","4,511","5,376","7,724"
2020년04월_계_50~59세,"37,114","5,221","1,324","1,336","2,540","1,783","1,118","7,162","1,841","5,438","4,582","4,769"
2020년04월_계_60~69세,"27,134","4,052","1,325","1,342","2,019","2,136","1,057","4,836","1,299","3,393","2,299","3,376"
2020년04월_계_70~79세,"15,843","2,225",662,704,"1,084","1,242",687,"3,240",724,"1,824","1,654","1,797"
2020년04월_계_80~89세,"6,725","1,020",325,375,515,586,317,"1,136",326,712,825,588
2020년04월_계_90~99세,936,136,54,75,64,128,40,147,38,82,92,80
2020년04월_계_100세 이상,67,5,3,7,4,8,5,7,12,6,3,7
2020년04월_남_총인구수,"113,980","13,426","3,482","4,010","6,588","5,307","2,841","24,726","5,244","13,832","13,832","20,692"
2020년04월_남_연령구간인구수,"113,980","13,426","3,482","4,010","6,588","5,307","2,841","24,726","5,244","13,832","13,832","20,692"
2020년04월_남_0~9세,"10,088",739,98,206,350,279,116,"2,721",331,"1,043","1,240","2,965"
2020년04월_남_10~19세,"12,220","1,372",186,225,500,309,162,"3,643",402,"1,441","1,945","2,035"
2020년04월_남_20~29세,"14,341","1,824",417,544,775,631,312,"2,591",966,"1,894","1,982","2,405"
2020년04월_남_30~39세,"14,184","1,305",328,505,695,623,262,"2,709",653,"1,526","1,502","4,076"
2020년04월_남_40~49세,"19,983","2,024",447,491,"1,029",639,382,"5,254",750,"2,337","2,658","3,972"
2020년04월_남_50~59세,"19,493","2,692",794,791,"1,421",889,581,"3,736",995,"2,777","2,356","2,461"
2020년04월_남_60~69세,"13,593","2,054",742,751,"1,092","1,062",574,"2,135",666,"1,723","1,127","1,667"
2020년04월_남_70~79세,"7,320","1,007",335,342,510,620,321,"1,465",343,810,672,895
2020년04월_남_80~89세,"2,527",380,120,138,199,224,124,435,123,263,317,204
2020년04월_남_90~99세,221,29,15,15,17,28,6,37,13,18,31,12
2020년04월_남_100세 이상,10,0,0,2,0,3,1,0,2,0,2,0
2020년04월_여_총인구수,"110,544","13,196","2,678","3,149","5,614","5,048","2,622","25,789","4,695","13,419","14,070","20,264"
2020년04월_여_연령구간인구수,"110,544","13,196","2,678","3,149","5,614","5,048","2,622","25,789","4,695","13,419","14,070","20,264"
2020년04월_여_0~9세,"9,683",781,72,196,329,235,102,"2,589",328,967,"1,236","2,848"
2020년04월_여_10~19세,"11,655","1,272",162,193,438,260,132,"3,571",386,"1,338","1,817","2,086"
2020년04월_여_20~29세,"12,355","1,537",293,310,558,447,283,"2,520",671,"1,695","1,790","2,251"
2020년04월_여_30~39세,"13,312","1,124",190,326,521,505,212,"3,013",532,"1,381","1,559","3,949"
2020년04월_여_40~49세,"18,884","1,985",274,324,781,544,276,"5,376",680,"2,174","2,718","3,752"
2020년04월_여_50~59세,"17,621","2,529",530,545,"1,119",894,537,"3,426",846,"2,661","2,226","2,308"
2020년04월_여_60~69세,"13,541","1,998",583,591,927,"1,074",483,"2,701",633,"1,670","1,172","1,709"
2020년04월_여_70~79세,"8,523","1,218",327,362,574,622,366,"1,775",381,"1,014",982,902
2020년04월_여_80~89세,"4,198",640,205,237,316,362,193,701,203,449,508,384
2020년04월_여_90~99세,715,107,39,60,47,100,34,110,25,64,61,68
2020년04월_여_100세 이상,57,5,3,5,4,5,4,7,10,6,1,7
