,경기도 안산시,경기도 안산시 상록구,경기도 안산시 상록구 일동,경기도 안산시 상록구 이동,경기도 안산시 상록구 사동,경기도 안산시 상록구 사이동,경기도 안산시 상록구 해양동,경기도 안산시 상록구 본오1동,경기도 안산시 상록구 본오2동,경기도 안산시 상록구 본오3동,경기도 안산시 상록구 부곡동,경기도 안산시 상록구 월피동,경기도 안산시 상록구 성포동,경기도 안산시 상록구 반월동,경기도 안산시 상록구 안산동,경기도 안산시 단원구,경기도 안산시 단원구 와동,경기도 안산시 단원구 고잔동,경기도 안산시 단원구 중앙동,경기도 안산시 단원구 호수동,경기도 안산시 단원구 원곡동,경기도 안산시 단원구 백운동,경기도 안산시 단원구 신길동,경기도 안산시 단원구 초지동,경기도 안산시 단원구 선부1동,경기도 안산시 단원구 선부2동,경기도 안산시 단원구 선부3동,경기도 안산시 단원구 대부동
2021년10월_계_총인구수,"654,117","351,747","24,747","23,905","32,710","32,679","41,440","37,335","26,246","19,728","21,685","38,178","26,385","17,609","9,100","302,370","38,305","21,590","24,704","43,859","6,068","21,048","22,559","46,894","17,725","15,933","34,665","9,020"
2021년10월_계_연령구간인구수,"654,117","351,747","24,747","23,905","32,710","32,679","41,440","37,335","26,246","19,728","21,685","38,178","26,385","17,609","9,100","302,370","38,305","21,590","24,704","43,859","6,068","21,048","22,559","46,894","17,725","15,933","34,665","9,020"
2021년10월_계_0~9세,"42,232","22,197","1,595","1,002","1,663","2,328","4,394","2,399","1,418",881,"1,387","2,075","1,598","1,026",431,"20,035","2,450","1,098","1,473","3,320",266,"1,541","1,525","3,693","1,272",839,"2,251",307
2021년10월_계_10~19세,"61,726","33,383","2,391","1,539","2,700","3,460","5,237","3,857","2,647","1,611","2,053","3,485","2,432","1,216",755,"28,343","3,708","1,805","2,004","5,098",313,"1,890","2,402","4,498","1,381","1,461","3,420",363
2021년10월_계_20~29세,"106,151","58,276","3,716","4,371","6,018","5,297","7,284","5,847","4,291","3,425","3,319","7,028","4,485","2,091","1,104","47,875","5,883","4,082","5,216","7,310",455,"3,141","3,085","7,351","2,645","2,378","5,615",714
2021년10월_계_30~39세,"85,324","43,989","3,012","3,695","4,553","4,135","5,703","4,444","2,892","2,391","2,379","4,459","3,299","2,094",933,"41,335","4,937","3,112","3,878","5,453",622,"3,109","2,817","7,256","2,941","1,783","4,762",665
2021년10월_계_40~49세,"104,470","55,851","4,315","3,821","5,287","5,334","7,114","6,576","4,113","2,958","3,445","5,660","3,409","2,526","1,293","48,619","6,828","3,142","3,550","7,029",919,"3,075","3,933","7,876","2,712","2,672","5,906",977
2021년10월_계_50~59세,"127,944","69,202","4,735","4,518","6,403","6,313","6,887","7,377","5,476","4,166","4,713","8,074","5,509","3,179","1,852","58,742","7,559","4,101","4,346","8,874","1,560","4,101","4,364","8,296","3,259","3,522","6,812","1,948"
2021년10월_계_60~69세,"78,484","41,768","2,792","2,889","3,165","3,715","3,517","4,048","3,157","2,484","2,663","4,733","3,773","3,160","1,672","36,716","4,272","2,585","2,950","4,733","1,066","2,836","2,842","4,851","2,281","2,065","3,908","2,327"
2021년10월_계_70~79세,"30,171","16,934","1,442","1,321","1,558","1,304",870,"1,785","1,418","1,108","1,070","1,622","1,149","1,591",696,"13,237","1,720","1,069",830,"1,258",572,957,"1,023","1,926",789,780,"1,237","1,076"
2021년10월_계_80~89세,"15,256","8,773",649,639,"1,153",688,365,893,727,636,587,908,586,626,316,"6,483",825,531,380,661,272,352,488,987,387,380,667,553
