,대구광역시 달서구,대구광역시 달서구 성당동,대구광역시 달서구 두류1.2동,대구광역시 달서구 두류3동,대구광역시 달서구 감삼동,대구광역시 달서구 죽전동,대구광역시 달서구 장기동,대구광역시 달서구 용산1동,대구광역시 달서구 용산2동,대구광역시 달서구 이곡1동,대구광역시 달서구 이곡2동,대구광역시 달서구 신당동,대구광역시 달서구 본리동,대구광역시 달서구 월성1동,대구광역시 달서구 월성2동,대구광역시 달서구 진천동,대구광역시 달서구 상인1동,대구광역시 달서구 상인2동,대구광역시 달서구 상인3동,대구광역시 달서구 도원동,대구광역시 달서구 송현1동,대구광역시 달서구 송현2동,대구광역시 달서구 본동
2020년05월_계_총인구수,"566,213","24,459","15,445","8,938","28,171","14,749","17,763","32,097","29,829","23,889","16,887","31,923","22,012","44,088","16,777","77,402","40,078","20,955","11,667","36,900","19,935","18,818","13,431"
2020년05월_계_연령구간인구수,"566,213","24,459","15,445","8,938","28,171","14,749","17,763","32,097","29,829","23,889","16,887","31,923","22,012","44,088","16,777","77,402","40,078","20,955","11,667","36,900","19,935","18,818","13,431"
2020년05월_계_0~9세,"42,200","1,802",643,420,"2,210",717,"1,397","2,155","1,962","1,416",942,"1,495","2,132","5,383",659,"9,280","3,121","1,202",414,"2,468",889,801,692
2020년05월_계_10~19세,"57,145","2,061",785,615,"2,402","1,063","1,770","3,770","3,094","2,659","1,463","2,605","2,140","8,352","1,222","8,465","5,015","1,573",620,"3,771","1,392","1,321",987
2020년05월_계_20~29세,"80,465","3,026","2,446","1,339","4,343","2,434","2,516","5,139","4,822","4,155","2,580","6,601","2,745","4,203","1,885","9,311","5,486","3,655","1,322","5,199","2,917","2,581","1,760"
2020년05월_계_30~39세,"68,875","2,957","1,986","1,017","3,922","1,829","2,346","3,468","3,429","2,559","2,162","3,661","3,014","4,846","1,365","11,907","4,299","2,946","1,188","4,028","2,346","2,027","1,573"
2020년05월_계_40~49세,"91,472","3,697","1,995","1,179","4,252","2,095","2,858","5,454","4,819","3,887","2,450","4,776","3,948","10,759","2,361","13,691","6,620","2,693","1,297","5,374","2,783","2,472","2,012"
2020년05월_계_50~59세,"105,320","4,302","2,776","1,588","5,304","3,041","3,412","6,705","6,543","5,275","3,636","6,511","3,937","5,833","3,124","11,896","7,449","3,994","2,340","7,518","3,896","3,584","2,656"
2020년05월_계_60~69세,"71,021","3,759","2,547","1,407","3,561","2,196","2,110","3,282","3,179","2,387","2,409","3,540","2,640","2,821","3,096","7,755","4,871","2,992","2,546","5,255","3,212","3,299","2,157"
2020년05월_계_70~79세,"33,686","1,999","1,567",904,"1,585",959,972,"1,481","1,345","1,023",870,"1,813","1,023","1,268","2,070","3,490","2,077","1,284","1,265","2,153","1,707","1,792","1,039"
2020년05월_계_80~89세,"14,313",767,629,418,522,379,339,590,572,483,334,827,382,545,897,"1,432","1,007",547,592,"1,026",713,827,485
2020년05월_계_90~99세,"1,631",82,65,46,67,34,40,51,62,45,41,93,48,70,92,157,128,65,83,108,77,107,70
2020년05월_계_100세 이상,85,7,6,5,3,2,3,2,2,0,0,1,3,8,6,18,5,4,0,0,3,7,0
2020년05월_남_총인구수,"279,670","11,939","7,511","4,318","13,828","7,333","8,789","16,096","15,021","12,007","8,545","16,386","10,911","21,588","8,076","38,121","19,629","10,388","5,634","17,947","9,877","9,043","6,683"
2020년05월_남_연령구간인구수,"279,670","11,939","7,511","4,318","13,828","7,333","8,789","16,096","15,021","12,007","8,545","16,386","10,911","21,588","8,076","38,121","19,629","10,388","5,634","17,947","9,877","9,043","6,683"
2020년05월_남_0~9세,"21,625",878,331,221,"1,100",353,738,"1,118","1,048",720,489,791,"1,050","2,741",367,"4,747","1,585",630,213,"1,273",480,404,348
2020년05월_남_10~19세,"29,682",992,401,312,"1,248",570,907,"2,005","1,628","1,371",769,"1,305","1,004","4,234",641,"4,483","2,759",834,341,"1,968",724,661,525
2020년05월_남_20~29세,"43,044","1,528","1,149",680,"2,177","1,283","1,349","2,767","2,613","2,277","1,407","3,642","1,501","2,286","1,040","4,937","3,001","1,934",753,"2,805","1,539","1,383",993
2020년05월_남_30~39세,"35,682","1,512","1,040",522,"2,045","1,022","1,214","1,799","1,843","1,371","1,202","2,136","1,536","2,124",744,"5,777","2,128","1,653",685,"2,055","1,292","1,109",873
2020년05월_남_40~49세,"44,259","1,923","1,094",605,"2,070","1,015","1,364","2,498","2,231","1,783","1,209","2,437","1,980","5,000","1,233","6,709","2,941","1,313",664,"2,469","1,433","1,244","1,044"
2020년05월_남_50~59세,"50,950","2,148","1,381",757,"2,533","1,442","1,638","3,367","3,206","2,620","1,695","3,281","1,918","3,131","1,551","5,636","3,504","1,828","1,049","3,470","1,851","1,664","1,280"
2020년05월_남_60~69세,"34,330","1,776","1,192",660,"1,703","1,093","1,030","1,633","1,658","1,243","1,253","1,760","1,285","1,318","1,407","3,711","2,394","1,439","1,185","2,578","1,494","1,513","1,005"
2020년05월_남_70~79세,"14,930",900,680,391,744,410,427,696,579,449,389,781,487,559,799,"1,580",934,579,565,964,796,760,461
2020년05월_남_80~89세,"4,798",267,230,159,193,135,115,204,200,167,121,234,136,175,269,498,351,167,159,345,254,284,135
2020년05월_남_90~99세,353,14,12,11,13,9,6,9,15,6,11,19,12,19,24,37,32,11,20,20,14,20,19
2020년05월_남_100세 이상,17,1,1,0,2,1,1,0,0,0,0,0,2,1,1,6,0,0,0,0,0,1,0
2020년05월_여_총인구수,"286,543","12,520","7,934","4,620","14,343","7,416","8,974","16,001","14,808","11,882","8,342","15,537","11,101","22,500","8,701","39,281","20,449","10,567","6,033","18,953","10,058","9,775","6,748"
2020년05월_여_연령구간인구수,"286,543","12,520","7,934","4,620","14,343","7,416","8,974","16,001","14,808","11,882","8,342","15,537","11,101","22,500","8,701","39,281","20,449","10,567","6,033","18,953","10,058","9,775","6,748"
2020년05월_여_0~9세,"20,575",924,312,199,"1,110",364,659,"1,037",914,696,453,704,"1,082","2,642",292,"4,533","1,536",572,201,"1,195",409,397,344
2020년05월_여_10~19세,"27,463","1,069",384,303,"1,154",493,863,"1,765","1,466","1,288",694,"1,300","1,136","4,118",581,"3,982","2,256",739,279,"1,803",668,660,462
2020년05월_여_20~29세,"37,421","1,498","1,297",659,"2,166","1,151","1,167","2,372","2,209","1,878","1,173","2,959","1,244","1,917",845,"4,374","2,485","1,721",569,"2,394","1,378","1,198",767
2020년05월_여_30~39세,"33,193","1,445",946,495,"1,877",807,"1,132","1,669","1,586","1,188",960,"1,525","1,478","2,722",621,"6,130","2,171","1,293",503,"1,973","1,054",918,700
2020년05월_여_40~49세,"47,213","1,774",901,574,"2,182","1,080","1,494","2,956","2,588","2,104","1,241","2,339","1,968","5,759","1,128","6,982","3,679","1,380",633,"2,905","1,350","1,228",968
2020년05월_여_50~59세,"54,370","2,154","1,395",831,"2,771","1,599","1,774","3,338","3,337","2,655","1,941","3,230","2,019","2,702","1,573","6,260","3,945","2,166","1,291","4,048","2,045","1,920","1,376"
2020년05월_여_60~69세,"36,691","1,983","1,355",747,"1,858","1,103","1,080","1,649","1,521","1,144","1,156","1,780","1,355","1,503","1,689","4,044","2,477","1,553","1,361","2,677","1,718","1,786","1,152"
2020년05월_여_70~79세,"18,756","1,099",887,513,841,549,545,785,766,574,481,"1,032",536,709,"1,271","1,910","1,143",705,700,"1,189",911,"1,032",578
2020년05월_여_80~89세,"9,515",500,399,259,329,244,224,386,372,316,213,593,246,370,628,934,656,380,433,681,459,543,350
2020년05월_여_90~99세,"1,278",68,53,35,54,25,34,42,47,39,30,74,36,51,68,120,96,54,63,88,63,87,51
2020년05월_여_100세 이상,68,6,5,5,1,1,2,2,2,0,0,1,1,7,5,12,5,4,0,0,3,6,0
