카테고리,경상북도 성주군,경상북도 성주군 성주읍,경상북도 성주군 선남면,경상북도 성주군 용암면,경상북도 성주군 수륜면,경상북도 성주군 가천면,경상북도 성주군 금수면,경상북도 성주군 대가면,경상북도 성주군 벽진면,경상북도 성주군 초전면,경상북도 성주군 월항면
2020년02월_계_총인구수,"43,904","13,899","6,303","3,761","3,099","2,000","1,197","2,481","3,143","4,595","3,426"
2020년02월_계_연령구간인구수,"43,904","13,899","6,303","3,761","3,099","2,000","1,197","2,481","3,143","4,595","3,426"
2020년02월_계_0~9세,"2,008","1,003",213,112,84,47,35,81,105,196,132
2020년02월_계_10~19세,"2,456","1,323",222,132,114,48,36,108,87,242,144
2020년02월_계_20~29세,"3,750","1,549",519,256,176,143,70,182,216,363,276
2020년02월_계_30~39세,"3,491","1,451",506,271,188,116,56,150,195,322,236
2020년02월_계_40~49세,"4,956","2,077",643,345,259,171,105,256,276,496,328
2020년02월_계_50~59세,"8,809","2,502","1,465",843,612,420,236,458,661,910,702
2020년02월_계_60~69세,"8,871","2,013","1,404",904,709,488,278,555,781,989,750
2020년02월_계_70~79세,"5,699","1,212",837,530,509,315,210,410,498,659,519
2020년02월_계_80~89세,"3,389",673,427,325,379,228,152,245,272,382,306
2020년02월_계_90~99세,452,91,63,42,64,23,18,36,50,33,32
2020년02월_계_100세 이상,23,5,4,1,5,1,1,0,2,3,1
2020년02월_남_총인구수,"22,704","7,051","3,430","2,060","1,526","1,000",618,"1,255","1,612","2,349","1,803"
2020년02월_남_연령구간인구수,"22,704","7,051","3,430","2,060","1,526","1,000",618,"1,255","1,612","2,349","1,803"
2020년02월_남_0~9세,"1,013",495,115,54,44,22,21,36,52,103,71
2020년02월_남_10~19세,"1,387",758,127,85,55,22,21,59,48,136,76
2020년02월_남_20~29세,"2,186",870,324,157,99,90,50,98,129,207,162
2020년02월_남_30~39세,"1,909",739,294,172,109,74,35,84,98,172,132
2020년02월_남_40~49세,"2,978","1,109",447,232,150,112,65,166,195,299,203
2020년02월_남_50~59세,"4,805","1,319",808,491,320,220,135,258,351,502,401
2020년02월_남_60~69세,"4,609",993,755,515,381,244,137,272,412,508,392
2020년02월_남_70~79세,"2,608",530,408,247,237,131,103,179,233,295,245
2020년02월_남_80~89세,"1,098",217,134,97,113,83,48,93,80,119,114
2020년02월_남_90~99세,106,20,16,10,17,2,2,10,14,8,7
2020년02월_남_100세 이상,5,1,2,0,1,0,1,0,0,0,0
2020년02월_여_총인구수,"21,200","6,848","2,873","1,701","1,573","1,000",579,"1,226","1,531","2,246","1,623"
2020년02월_여_연령구간인구수,"21,200","6,848","2,873","1,701","1,573","1,000",579,"1,226","1,531","2,246","1,623"
2020년02월_여_0~9세,995,508,98,58,40,25,14,45,53,93,61
2020년02월_여_10~19세,"1,069",565,95,47,59,26,15,49,39,106,68
2020년02월_여_20~29세,"1,564",679,195,99,77,53,20,84,87,156,114
2020년02월_여_30~39세,"1,582",712,212,99,79,42,21,66,97,150,104
2020년02월_여_40~49세,"1,978",968,196,113,109,59,40,90,81,197,125
2020년02월_여_50~59세,"4,004","1,183",657,352,292,200,101,200,310,408,301
2020년02월_여_60~69세,"4,262","1,020",649,389,328,244,141,283,369,481,358
2020년02월_여_70~79세,"3,091",682,429,283,272,184,107,231,265,364,274
2020년02월_여_80~89세,"2,291",456,293,228,266,145,104,152,192,263,192
2020년02월_여_90~99세,346,71,47,32,47,21,16,26,36,25,25
2020년02월_여_100세 이상,18,4,2,1,4,1,0,0,2,3,1
