,경상북도 상주시,경상북도 상주시 함창읍,경상북도 상주시 중동면,경상북도 상주시 사벌국면,경상북도 상주시 낙동면,경상북도 상주시 낙동면동부출장소,경상북도 상주시 청리면,경상북도 상주시 공성면,경상북도 상주시 외남면,경상북도 상주시 내서면,경상북도 상주시 모동면,경상북도 상주시 모서면,경상북도 상주시 모서면서부출장소,경상북도 상주시 화동면,경상북도 상주시 화서면,경상북도 상주시 화북면,경상북도 상주시 화북면서부출장소,경상북도 상주시 외서면,경상북도 상주시 은척면,경상북도 상주시 은척면북부출장소,경상북도 상주시 공검면,경상북도 상주시 이안면,경상북도 상주시 화남면,경상북도 상주시 남원동,경상북도 상주시 북문동,경상북도 상주시 계림동,경상북도 상주시 동문동,경상북도 상주시 동성동,경상북도 상주시 신흥동
2020년10월_계_총인구수,"97,633","6,623","1,417","3,852","3,070",988,"2,692","3,993","1,669","1,950","2,585","1,750",757,"2,008","2,770","1,240",338,"2,758","1,155",380,"2,161","2,081",823,"12,380","9,180","7,864","8,373","3,694","9,082"
2020년10월_계_연령구간인구수,"97,633","6,623","1,417","3,852","3,070",988,"2,692","3,993","1,669","1,950","2,585","1,750",757,"2,008","2,770","1,240",338,"2,758","1,155",380,"2,161","2,081",823,"12,380","9,180","7,864","8,373","3,694","9,082"
2020년10월_계_0~9세,"5,248",280,41,106,96,30,89,82,61,56,94,56,22,66,137,35,6,84,20,4,37,60,23,952,727,576,564,183,761
2020년10월_계_10~19세,"7,655",507,58,167,150,37,109,226,69,75,156,73,40,106,145,67,11,159,49,19,95,97,39,"1,340",872,801,834,357,997
2020년10월_계_20~29세,"8,222",429,72,200,174,52,155,207,83,105,161,106,34,106,163,71,15,122,46,12,104,101,50,"1,334",987,756,853,317,"1,407"
2020년10월_계_30~39세,"7,536",478,74,212,130,34,158,197,85,108,126,81,46,108,182,72,11,149,34,8,108,73,31,"1,273","1,087",731,771,284,885
2020년10월_계_40~49세,"11,592",737,107,335,267,73,219,305,121,131,249,172,57,171,257,114,25,288,90,28,169,194,67,"1,813","1,379","1,150","1,202",513,"1,359"
2020년10월_계_50~59세,"16,839","1,123",237,642,523,202,420,649,303,398,503,334,158,381,518,264,66,499,166,71,310,315,162,"2,081","1,562","1,371","1,535",625,"1,421"
2020년10월_계_60~69세,"18,190","1,313",314,865,646,219,639,987,374,478,640,423,185,457,604,271,104,594,294,73,514,426,184,"1,858","1,417","1,190","1,278",636,"1,207"
2020년10월_계_70~79세,"12,673",983,305,685,566,156,473,756,300,336,389,276,116,350,415,186,57,464,265,76,441,432,137,"1,116",708,751,837,478,619
