,경상남도 산청군,경상남도 산청군 산청읍,경상남도 산청군 차황면,경상남도 산청군 오부면,경상남도 산청군 생초면,경상남도 산청군 금서면,경상남도 산청군 삼장면,경상남도 산청군 시천면,경상남도 산청군 단성면,경상남도 산청군 신안면,경상남도 산청군 생비량면,경상남도 산청군 신등면
2021년05월_계_총인구수,"34,641","6,792","1,394","1,071","2,031","2,877","1,824","4,151","5,597","5,657","1,175","2,072"
2021년05월_계_연령구간인구수,"34,641","6,792","1,394","1,071","2,031","2,877","1,824","4,151","5,597","5,657","1,175","2,072"
2021년05월_계_0~9세,"1,268",367,41,36,52,84,32,117,156,312,35,36
2021년05월_계_10~19세,"2,060",541,39,46,90,160,71,282,203,485,43,100
2021년05월_계_20~29세,"2,366",625,59,44,99,150,102,300,351,485,56,95
2021년05월_계_30~39세,"2,066",601,57,44,86,187,67,202,275,414,59,74
2021년05월_계_40~49세,"3,406",810,109,86,133,263,148,452,515,640,81,169
2021년05월_계_50~59세,"6,362","1,132",223,170,313,524,382,871,"1,149","1,066",175,357
2021년05월_계_60~69세,"7,589","1,203",347,219,456,606,453,953,"1,387","1,153",317,495
2021년05월_계_70~79세,"5,202",858,262,202,423,489,322,568,882,587,220,389
2021년05월_계_80~89세,"3,729",549,224,192,331,346,220,349,587,455,158,318
2021년05월_계_90~99세,578,103,32,31,46,67,26,55,89,60,31,38
2021년05월_계_100세 이상,15,3,1,1,2,1,1,2,3,0,0,1
2021년05월_남_총인구수,"17,016","3,287",682,517,979,"1,415",896,"2,057","2,817","2,778",562,"1,026"
2021년05월_남_연령구간인구수,"17,016","3,287",682,517,979,"1,415",896,"2,057","2,817","2,778",562,"1,026"
2021년05월_남_0~9세,661,187,21,16,36,45,22,58,93,153,15,15
2021년05월_남_10~19세,"1,108",287,26,29,52,87,44,156,107,239,21,60
2021년05월_남_20~29세,"1,343",353,31,22,59,84,56,164,205,283,31,55
2021년05월_남_30~39세,"1,101",305,34,20,49,102,42,99,158,215,34,43
2021년05월_남_40~49세,"1,883",409,64,53,92,155,82,241,305,321,55,106
2021년05월_남_50~59세,"3,465",589,143,107,181,294,200,466,617,543,108,217
2021년05월_남_60~69세,"3,925",605,177,115,233,314,233,466,731,625,163,263
2021년05월_남_70~79세,"2,307",376,119,83,172,209,138,266,417,259,91,177
2021년05월_남_80~89세,"1,106",157,58,66,96,108,75,123,175,129,39,80
2021년05월_남_90~99세,115,19,9,6,8,17,4,17,9,11,5,10
2021년05월_남_100세 이상,2,0,0,0,1,0,0,1,0,0,0,0
2021년05월_여_총인구수,"17,625","3,505",712,554,"1,052","1,462",928,"2,094","2,780","2,879",613,"1,046"
2021년05월_여_연령구간인구수,"17,625","3,505",712,554,"1,052","1,462",928,"2,094","2,780","2,879",613,"1,046"
2021년05월_여_0~9세,607,180,20,20,16,39,10,59,63,159,20,21
2021년05월_여_10~19세,952,254,13,17,38,73,27,126,96,246,22,40
2021년05월_여_20~29세,"1,023",272,28,22,40,66,46,136,146,202,25,40
2021년05월_여_30~39세,965,296,23,24,37,85,25,103,117,199,25,31
2021년05월_여_40~49세,"1,523",401,45,33,41,108,66,211,210,319,26,63
2021년05월_여_50~59세,"2,897",543,80,63,132,230,182,405,532,523,67,140
2021년05월_여_60~69세,"3,664",598,170,104,223,292,220,487,656,528,154,232
2021년05월_여_70~79세,"2,895",482,143,119,251,280,184,302,465,328,129,212
2021년05월_여_80~89세,"2,623",392,166,126,235,238,145,226,412,326,119,238
2021년05월_여_90~99세,463,84,23,25,38,50,22,38,80,49,26,28
2021년05월_여_100세 이상,13,3,1,1,1,1,1,1,3,0,0,1
