카테고리,광주광역시 북구,광주광역시 북구 중흥1동,광주광역시 북구 중흥2동,광주광역시 북구 중흥3동,광주광역시 북구 중앙동,광주광역시 북구 임동,광주광역시 북구 신안동,광주광역시 북구 용봉동,광주광역시 북구 운암1동,광주광역시 북구 운암2동,광주광역시 북구 운암3동,광주광역시 북구 동림동,광주광역시 북구 우산동,광주광역시 북구 풍향동,광주광역시 북구 문화동,광주광역시 북구 문흥1동,광주광역시 북구 문흥2동,광주광역시 북구 두암1동,광주광역시 북구 두암2동,광주광역시 북구 두암3동,광주광역시 북구 삼각동,광주광역시 북구 일곡동,광주광역시 북구 매곡동,광주광역시 북구 오치1동,광주광역시 북구 오치2동,광주광역시 북구 석곡동,광주광역시 북구 건국동,광주광역시 북구 양산동,광주광역시 북구 신용동
2021년08월_계_총인구수,"427,773","4,861","6,814","4,807","3,110","8,878","11,916","38,476","19,369","12,045","12,784","23,524","10,456","5,802","20,980","16,069","15,746","7,807","16,117","13,534","14,174","29,947","13,945","11,011","12,562","2,532","22,508","37,982","30,017"
2021년08월_계_연령구간인구수,"427,773","4,861","6,814","4,807","3,110","8,878","11,916","38,476","19,369","12,045","12,784","23,524","10,456","5,802","20,980","16,069","15,746","7,807","16,117","13,534","14,174","29,947","13,945","11,011","12,562","2,532","22,508","37,982","30,017"
2021년08월_계_0~9세,"32,460",233,257,252,80,661,443,"2,572","1,702",514,906,"2,150",391,518,"1,669","1,075","1,022",265,843,434,966,"2,317","1,122",599,504,65,"2,664","3,873","4,363"
2021년08월_계_10~19세,"41,839",173,455,289,109,599,694,"3,725","2,259",864,"1,371","2,268",649,517,"1,633","1,856","1,413",619,"1,324",782,"1,648","4,475","1,732",998,771,121,"2,550","4,082","3,863"
2021년08월_계_20~29세,"61,536",901,"1,379",911,465,"1,140","2,227","7,194","2,463","1,707","1,806","3,033","1,321",706,"2,567","2,310","2,507","1,153","2,285","1,558","2,247","4,658","1,954","1,741","1,882",235,"2,726","5,162","3,298"
2021년08월_계_30~39세,"54,871",956,773,701,399,"1,360","1,787","4,754","2,241","1,300","1,443","3,506",967,777,"3,020","1,594","1,951",749,"1,717","1,275","1,667","2,882","1,649","1,228","1,447",210,"3,477","5,835","5,206"
2021년08월_계_40~49세,"66,208",618,846,704,377,"1,266","1,557","5,505","3,094","1,612","1,820","3,849","1,238",911,"2,974","2,401","2,321",983,"2,181","1,520","2,367","5,511","2,236","1,590","1,525",212,"4,029","6,552","6,409"
2021년08월_계_50~59세,"71,189",650,980,655,543,"1,313","1,870","6,657","3,063","2,077","2,239","3,867","1,773",879,"3,427","2,980","2,538","1,368","2,885","2,556","2,649","5,679","2,429","2,135","2,395",511,"3,370","5,909","3,792"
2021년08월_계_60~69세,"55,326",676,978,623,560,"1,285","1,728","4,661","2,756","2,108","1,909","2,869","2,066",754,"3,095","2,247","2,154","1,325","2,694","2,831","1,559","2,506","1,637","1,585","2,230",575,"2,084","3,870","1,961"
2021년08월_계_70~79세,"29,837",447,772,461,369,880,"1,090","2,374","1,300","1,278",854,"1,392","1,380",496,"1,727","1,089","1,207",937,"1,533","1,639",730,"1,181",763,789,"1,153",357,"1,013","1,832",794
2021년08월_계_80~89세,"12,665",187,330,190,164,321,476,916,430,524,372,514,586,215,755,459,546,357,568,822,295,648,363,297,576,215,514,739,286
2021년08월_계_90~99세,"1,777",18,43,19,39,51,41,115,60,58,64,71,84,27,106,56,84,50,86,112,46,86,59,47,79,30,79,123,44
2021년08월_계_100세 이상,65,2,1,2,5,2,3,3,1,3,0,5,1,2,7,2,3,1,1,5,0,4,1,2,0,1,2,5,1
2021년08월_남_총인구수,"212,410","2,510","3,464","2,543","1,664","4,396","6,276","19,175","9,356","6,069","6,129","11,611","5,091","2,901","10,333","7,805","7,500","3,890","7,976","6,500","7,305","14,684","6,829","5,592","6,137","1,322","11,382","19,106","14,864"
2021년08월_남_연령구간인구수,"212,410","2,510","3,464","2,543","1,664","4,396","6,276","19,175","9,356","6,069","6,129","11,611","5,091","2,901","10,333","7,805","7,500","3,890","7,976","6,500","7,305","14,684","6,829","5,592","6,137","1,322","11,382","19,106","14,864"
2021년08월_남_0~9세,"16,585",112,132,135,45,345,220,"1,275",875,238,459,"1,107",200,257,829,501,526,150,424,221,518,"1,200",580,306,228,31,"1,371","2,047","2,253"
2021년08월_남_10~19세,"22,056",97,224,158,49,316,366,"1,973","1,154",433,732,"1,218",347,255,893,968,733,328,692,415,916,"2,432",944,522,433,73,"1,317","2,068","2,000"
2021년08월_남_20~29세,"32,378",391,701,471,221,574,"1,154","3,813","1,269",899,985,"1,589",682,385,"1,355","1,242","1,272",605,"1,202",795,"1,273","2,545","1,057",914,968,139,"1,470","2,716","1,691"
2021년08월_남_30~39세,"28,600",506,459,419,242,699,"1,038","2,566","1,069",751,711,"1,775",535,399,"1,563",812,"1,040",401,935,695,864,"1,374",808,676,800,126,"1,744","3,071","2,522"
2021년08월_남_40~49세,"33,243",376,449,407,237,673,927,"2,742","1,420",838,847,"1,959",672,485,"1,568","1,107","1,143",530,"1,114",795,"1,142","2,401","1,036",828,800,122,"2,036","3,331","3,258"
