,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 동남구 목천읍,충청남도 천안시 동남구 풍세면,충청남도 천안시 동남구 광덕면,충청남도 천안시 동남구 북면,충청남도 천안시 동남구 성남면,충청남도 천안시 동남구 수신면,충청남도 천안시 동남구 병천면,충청남도 천안시 동남구 동면,충청남도 천안시 동남구 중앙동,충청남도 천안시 동남구 문성동,충청남도 천안시 동남구 원성1동,충청남도 천안시 동남구 원성2동,충청남도 천안시 동남구 봉명동,충청남도 천안시 동남구 일봉동,충청남도 천안시 동남구 신방동,충청남도 천안시 동남구 청룡동,충청남도 천안시 동남구 신안동,충청남도 천안시 서북구,충청남도 천안시 서북구 성환읍,충청남도 천안시 서북구 성거읍,충청남도 천안시 서북구 직산읍,충청남도 천안시 서북구 입장면,충청남도 천안시 서북구 성정1동,충청남도 천안시 서북구 성정2동,충청남도 천안시 서북구 쌍용1동,충청남도 천안시 서북구 쌍용2동,충청남도 천안시 서북구 쌍용3동,충청남도 천안시 서북구 백석동,충청남도 천안시 서북구 불당동,충청남도 천안시 서북구 부성1동,충청남도 천안시 서북구 부성2동
2021년05월_계_총인구수,"657,775","256,482","24,275","4,109","4,325","4,368","3,156","2,265","6,054","2,113","5,384","4,227","8,695","9,254","18,037","23,329","44,790","55,449","36,652","401,293","23,986","21,737","19,919","8,494","16,490","25,787","13,947","37,640","18,933","40,528","70,120","46,748","56,964"
2021년05월_계_연령구간인구수,"657,775","256,482","24,275","4,109","4,325","4,368","3,156","2,265","6,054","2,113","5,384","4,227","8,695","9,254","18,037","23,329","44,790","55,449","36,652","401,293","23,986","21,737","19,919","8,494","16,490","25,787","13,947","37,640","18,933","40,528","70,120","46,748","56,964"
2021년05월_계_0~9세,"60,739","19,740","1,653",134,107,129,77,48,242,24,166,158,415,275,"1,068","2,078","4,528","5,862","2,776","40,999","1,152","1,776","1,378",290,798,955,854,"3,347","1,384","5,525","10,419","3,950","9,171"
2021년05월_계_10~19세,"67,900","25,870","2,636",229,191,222,161,87,354,70,272,215,662,649,"1,401","3,196","5,809","6,974","2,742","42,030","2,197","2,338","1,874",535,"1,071","1,290","1,200","4,887","2,363","5,648","9,440","4,127","5,060"
2021년05월_계_20~29세,"95,783","34,925","2,870",378,365,389,224,169,742,139,539,612,"1,061","1,153","2,841","2,735","6,178","6,981","7,549","60,858","2,806","2,558","2,480",874,"2,402","6,453","2,467","5,942","2,633","5,134","8,816","10,192","8,101"
2021년05월_계_30~39세,"103,704","32,558","2,477",316,291,335,177,170,539,93,485,553,853,838,"2,507","2,501","6,682","8,193","5,548","71,146","2,073","2,768","2,686",702,"2,317","5,638","1,838","4,966","2,286","6,705","14,333","9,321","15,513"
2021년05월_계_40~49세,"111,638","42,266","4,386",437,432,520,327,233,724,173,665,549,"1,198","1,318","2,874","4,333","8,942","10,125","5,030","69,372","3,609","4,116","3,630","1,066","2,450","3,817","1,908","6,621","3,127","7,879","14,168","7,477","9,504"
2021년05월_계_50~59세,"102,974","43,355","4,483",749,845,843,584,422,"1,153",421,"1,032",754,"1,725","1,817","3,232","4,026","6,923","8,449","5,897","59,619","4,249","3,695","3,544","1,758","3,163","3,585","2,525","6,678","3,560","5,615","8,762","6,691","5,794"
2021년05월_계_60~69세,"66,947","32,724","3,127",950,"1,071","1,013",792,523,"1,172",535,"1,193",784,"1,523","1,644","2,514","2,570","3,539","5,406","4,368","34,223","4,004","2,588","2,445","1,690","2,491","2,541","1,983","3,327","2,081","2,647","2,826","3,036","2,564"
2021년05월_계_70~79세,"30,290","15,592","1,581",526,568,508,461,336,640,351,666,392,801,984,"1,076","1,240","1,375","2,244","1,843","14,698","2,438","1,179","1,154",953,"1,241","1,002",765,"1,224",912,897,860,"1,264",809
2021년05월_계_80~89세,"15,480","8,195",926,339,384,344,297,249,416,261,330,181,391,521,453,570,709,"1,038",786,"7,285","1,297",637,651,535,493,424,351,576,502,410,418,606,385
2021년05월_계_90~99세,"2,235","1,209",133,51,70,64,52,26,70,42,34,28,62,55,68,76,102,169,107,"1,026",154,80,73,90,58,79,55,71,85,64,74,82,61
2021년05월_계_100세 이상,85,48,3,0,1,1,4,2,2,4,2,1,4,0,3,4,3,8,6,37,7,2,4,1,6,3,1,1,0,4,4,2,2
2021년05월_남_총인구수,"335,990","130,028","12,457","2,258","2,187","2,271","1,653","1,235","3,235","1,133","2,824","2,218","4,489","4,784","9,214","11,614","22,873","27,728","17,855","205,962","12,540","11,397","10,844","4,568","8,726","13,845","6,842","18,469","9,136","20,348","35,174","24,073","30,000"
