카테고리,강원도 원주시,강원도 원주시 문막읍,강원도 원주시 소초면,강원도 원주시 호저면,강원도 원주시 지정면,강원도 원주시 부론면,강원도 원주시 귀래면,강원도 원주시 흥업면,강원도 원주시 판부면,강원도 원주시 신림면,강원도 원주시 중앙동,강원도 원주시 원인동,강원도 원주시 개운동,강원도 원주시 명륜1동,강원도 원주시 명륜2동,강원도 원주시 단구동,강원도 원주시 일산동,강원도 원주시 학성동,강원도 원주시 단계동,강원도 원주시 우산동,강원도 원주시 태장1동,강원도 원주시 태장2동,강원도 원주시 봉산동,강원도 원주시 행구동,강원도 원주시 무실동,강원도 원주시 반곡관설동
2021년07월_계_총인구수,"355,432","17,695","8,488","3,679","28,558","2,262","2,187","8,618","7,325","3,568","2,627","5,022","12,731","8,528","15,454","44,657","8,558","4,706","28,990","13,573","10,063","24,696","8,038","7,776","32,957","44,676"
2021년07월_계_연령구간인구수,"355,432","17,695","8,488","3,679","28,558","2,262","2,187","8,618","7,325","3,568","2,627","5,022","12,731","8,528","15,454","44,657","8,558","4,706","28,990","13,573","10,063","24,696","8,038","7,776","32,957","44,676"
2021년07월_계_0~9세,"27,738","1,098",334,111,"4,738",39,43,416,397,61,49,202,626,393,706,"3,360",389,159,"2,099",998,751,"1,696",254,491,"3,081","5,247"
2021년07월_계_10~19세,"35,424","1,580",503,131,"2,539",94,73,597,648,107,97,333,"1,302",752,"1,636","5,246",608,276,"2,392","1,184","1,100","2,565",648,868,"4,362","5,783"
2021년07월_계_20~29세,"45,121","2,027",928,302,"2,752",132,145,"1,345",999,189,180,711,"1,576","1,107","2,113","6,615","1,650",529,"4,425","1,978","1,057","2,976",879,931,"4,190","5,385"
2021년07월_계_30~39세,"45,019","1,762",685,234,"6,898",83,114,789,838,182,181,506,"1,192",772,"1,354","5,522",900,391,"4,233","1,588","1,045","2,694",645,741,"4,314","7,356"
2021년07월_계_40~49세,"56,734","2,870",926,331,"4,943",166,154,"1,142","1,121",267,257,600,"1,696","1,116","2,266","7,962","1,009",593,"4,047","2,118","1,730","4,033",999,"1,195","6,311","8,882"
2021년07월_계_50~59세,"60,759","3,313","1,643",693,"3,156",352,432,"1,541","1,447",732,534,932,"2,447","1,679","3,096","7,821","1,374",910,"5,339","2,300","1,732","4,544","1,547","1,470","5,209","6,516"
2021년07월_계_60~69세,"48,562","2,710","1,947",955,"2,259",681,616,"1,595","1,081","1,051",664,936,"2,053","1,494","2,453","4,784","1,369",967,"4,151","1,979","1,461","3,592","1,590","1,210","3,489","3,475"
2021년07월_계_70~79세,"21,480","1,397",859,466,750,393,358,662,450,558,344,456,"1,099",749,"1,086","2,070",752,511,"1,424",906,744,"1,559",846,499,"1,284","1,258"
2021년07월_계_80~89세,"12,641",814,565,406,442,277,213,478,292,368,268,305,646,409,652,"1,123",437,317,758,450,400,918,535,309,605,654
2021년07월_계_90~99세,"1,890",119,97,49,77,43,39,51,50,50,52,39,91,56,91,149,68,51,119,71,40,117,91,57,109,114
2021년07월_계_100세 이상,64,5,1,1,4,2,0,2,2,3,1,2,3,1,1,5,2,2,3,1,3,2,4,5,3,6
2021년07월_남_총인구수,"176,297","9,053","4,465","1,932","14,026","1,154","1,115","4,543","3,866","1,828","1,408","2,415","6,125","4,107","7,484","21,949","4,129","2,347","14,091","7,180","5,047","12,302","3,990","3,848","16,141","21,752"
2021년07월_남_연령구간인구수,"176,297","9,053","4,465","1,932","14,026","1,154","1,115","4,543","3,866","1,828","1,408","2,415","6,125","4,107","7,484","21,949","4,129","2,347","14,091","7,180","5,047","12,302","3,990","3,848","16,141","21,752"
2021년07월_남_0~9세,"14,146",552,179,64,"2,343",17,23,207,206,31,27,104,307,186,334,"1,736",189,90,"1,117",530,386,886,131,261,"1,568","2,672"
2021년07월_남_10~19세,"18,275",793,247,71,"1,259",41,31,308,344,62,51,173,706,368,831,"2,714",345,158,"1,234",659,575,"1,332",368,436,"2,321","2,848"
2021년07월_남_20~29세,"24,037","1,138",589,186,"1,338",76,80,777,567,101,99,363,835,611,"1,108","3,597",790,292,"2,286","1,138",565,"1,596",484,520,"2,239","2,662"
2021년07월_남_30~39세,"22,840",970,390,127,"3,440",44,77,438,476,117,101,255,610,398,688,"2,826",486,205,"2,210",852,533,"1,385",383,354,"2,091","3,384"
2021년07월_남_40~49세,"27,963","1,489",505,202,"2,543",112,81,620,582,160,166,324,787,519,"1,078","3,740",513,328,"1,911","1,128",874,"2,054",497,565,"2,908","4,277"
2021년07월_남_50~59세,"30,529","1,767",867,399,"1,476",202,242,847,798,382,329,453,"1,178",804,"1,549","3,797",660,472,"2,415","1,230",920,"2,277",807,743,"2,539","3,376"
2021년07월_남_60~69세,"24,083","1,393","1,045",506,"1,125",360,334,849,568,550,371,443,969,727,"1,198","2,304",615,458,"1,993","1,033",719,"1,769",772,607,"1,662","1,713"
2021년07월_남_70~79세,"9,569",633,415,233,346,196,157,317,213,271,155,189,480,329,469,825,337,219,637,422,317,667,351,239,581,571
2021년07월_남_80~89세,"4,422",284,204,136,138,96,85,168,104,139,97,97,233,153,211,375,172,114,263,171,150,307,177,111,212,225
2021년07월_남_90~99세,423,31,24,8,18,10,5,11,8,15,12,14,20,12,17,34,21,11,25,17,8,29,19,12,19,23
2021년07월_남_100세 이상,10,3,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1
2021년07월_여_총인구수,"179,135","8,642","4,023","1,747","14,532","1,108","1,072","4,075","3,459","1,740","1,219","2,607","6,606","4,421","7,970","22,708","4,429","2,359","14,899","6,393","5,016","12,394","4,048","3,928","16,816","22,924"
2021년07월_여_연령구간인구수,"179,135","8,642","4,023","1,747","14,532","1,108","1,072","4,075","3,459","1,740","1,219","2,607","6,606","4,421","7,970","22,708","4,429","2,359","14,899","6,393","5,016","12,394","4,048","3,928","16,816","22,924"
2021년07월_여_0~9세,"13,592",546,155,47,"2,395",22,20,209,191,30,22,98,319,207,372,"1,624",200,69,982,468,365,810,123,230,"1,513","2,575"
2021년07월_여_10~19세,"17,149",787,256,60,"1,280",53,42,289,304,45,46,160,596,384,805,"2,532",263,118,"1,158",525,525,"1,233",280,432,"2,041","2,935"
2021년07월_여_20~29세,"21,084",889,339,116,"1,414",56,65,568,432,88,81,348,741,496,"1,005","3,018",860,237,"2,139",840,492,"1,380",395,411,"1,951","2,723"
2021년07월_여_30~39세,"22,179",792,295,107,"3,458",39,37,351,362,65,80,251,582,374,666,"2,696",414,186,"2,023",736,512,"1,309",262,387,"2,223","3,972"
2021년07월_여_40~49세,"28,771","1,381",421,129,"2,400",54,73,522,539,107,91,276,909,597,"1,188","4,222",496,265,"2,136",990,856,"1,979",502,630,"3,403","4,605"
2021년07월_여_50~59세,"30,230","1,546",776,294,"1,680",150,190,694,649,350,205,479,"1,269",875,"1,547","4,024",714,438,"2,924","1,070",812,"2,267",740,727,"2,670","3,140"
2021년07월_여_60~69세,"24,479","1,317",902,449,"1,134",321,282,746,513,501,293,493,"1,084",767,"1,255","2,480",754,509,"2,158",946,742,"1,823",818,603,"1,827","1,762"
2021년07월_여_70~79세,"11,911",764,444,233,404,197,201,345,237,287,189,267,619,420,617,"1,245",415,292,787,484,427,892,495,260,703,687
2021년07월_여_80~89세,"8,219",530,361,270,304,181,128,310,188,229,171,208,413,256,441,748,265,203,495,279,250,611,358,198,393,429
