,대전광역시 동구,대전광역시 동구 중앙동,대전광역시 동구 효동,대전광역시 동구 신인동,대전광역시 동구 판암1동,대전광역시 동구 판암2동,대전광역시 동구 용운동,대전광역시 동구 대동,대전광역시 동구 자양동,대전광역시 동구 가양1동,대전광역시 동구 가양2동,대전광역시 동구 용전동,대전광역시 동구 성남동,대전광역시 동구 홍도동,대전광역시 동구 삼성동,대전광역시 동구 대청동,대전광역시 동구 산내동
2021년08월_계_총인구수,"223,206","4,636","24,787","12,069","12,400","8,603","21,871","15,009","10,576","13,800","18,313","20,559","12,110","11,017","14,200","2,437","20,819"
2021년08월_계_연령구간인구수,"223,206","4,636","24,787","12,069","12,400","8,603","21,871","15,009","10,576","13,800","18,313","20,559","12,110","11,017","14,200","2,437","20,819"
2021년08월_계_0~9세,"14,590",112,"2,400",868,756,250,"1,678","1,362",366,782,897,"1,054",864,561,762,57,"1,821"
2021년08월_계_10~19세,"19,730",138,"3,317",870,964,374,"1,823","1,408",790,"1,083","1,748","1,477",929,785,"1,229",133,"2,662"
2021년08월_계_20~29세,"30,171",337,"2,567","1,316","1,457",761,"3,334","1,761","2,742","1,972","2,893","3,934","1,322","2,022","1,493",196,"2,064"
2021년08월_계_30~39세,"25,527",375,"2,762","1,561","1,458",715,"2,975","1,948","1,038","1,409","1,896","3,019","1,451","1,260","1,361",147,"2,152"
2021년08월_계_40~49세,"33,845",490,"4,857","1,731","1,706",993,"3,252","2,373","1,219","2,023","2,650","3,135","1,758","1,533","2,121",252,"3,752"
2021년08월_계_50~59세,"36,275",897,"3,558","1,934","2,146","1,465","3,613","2,352","1,536","2,299","3,307","3,285","2,036","1,839","2,482",452,"3,074"
2021년08월_계_60~69세,"34,070","1,149","2,987","1,983","2,013","1,949","3,049","2,052","1,548","2,284","2,772","2,713","1,986","1,700","2,481",583,"2,821"
2021년08월_계_70~79세,"19,060",774,"1,599","1,203","1,210","1,282","1,443","1,124",898,"1,300","1,426","1,345","1,176",864,"1,505",324,"1,587"
2021년08월_계_80~89세,"8,753",324,637,539,609,712,614,546,390,583,644,534,505,406,683,251,776
2021년08월_계_90~99세,"1,143",38,101,62,79,101,85,81,46,61,76,61,80,47,82,42,101
2021년08월_계_100세 이상,42,2,2,2,2,1,5,2,3,4,4,2,3,0,1,0,9
2021년08월_남_총인구수,"112,538","2,602","12,217","5,905","6,073","4,204","11,032","7,510","5,591","7,114","9,185","10,565","6,002","5,591","7,217","1,265","10,465"
2021년08월_남_연령구간인구수,"112,538","2,602","12,217","5,905","6,073","4,204","11,032","7,510","5,591","7,114","9,185","10,565","6,002","5,591","7,217","1,265","10,465"
2021년08월_남_0~9세,"7,583",54,"1,207",447,427,128,882,705,192,384,459,547,470,316,377,24,964
2021년08월_남_10~19세,"10,206",69,"1,725",476,496,197,912,746,384,550,914,754,461,408,651,64,"1,399"
2021년08월_남_20~29세,"16,008",199,"1,401",655,768,422,"1,770",921,"1,509","1,092","1,480","2,015",700,"1,019",831,111,"1,115"
2021년08월_남_30~39세,"13,792",220,"1,346",829,787,428,"1,599","1,023",626,774,"1,068","1,728",757,695,733,94,"1,085"
2021년08월_남_40~49세,"17,714",320,"2,410",923,839,569,"1,675","1,199",703,"1,112","1,366","1,678",938,838,"1,122",142,"1,880"
2021년08월_남_50~59세,"18,726",589,"1,769",920,"1,052",764,"1,802","1,196",817,"1,235","1,683","1,720","1,025",952,"1,304",263,"1,635"
2021년08월_남_60~69세,"16,485",647,"1,386",880,953,927,"1,484",998,778,"1,143","1,319","1,304",931,819,"1,216",326,"1,374"
2021년08월_남_70~79세,"8,569",373,707,544,516,525,673,511,419,584,648,611,524,381,689,152,712
2021년08월_남_80~89세,"3,160",121,245,216,208,221,212,187,154,219,236,194,176,158,266,74,273
2021년08월_남_90~99세,284,9,21,14,26,22,21,24,9,20,12,14,20,5,27,15,25
2021년08월_남_100세 이상,11,1,0,1,1,1,2,0,0,1,0,0,0,0,1,0,3
2021년08월_여_총인구수,"110,668","2,034","12,570","6,164","6,327","4,399","10,839","7,499","4,985","6,686","9,128","9,994","6,108","5,426","6,983","1,172","10,354"
2021년08월_여_연령구간인구수,"110,668","2,034","12,570","6,164","6,327","4,399","10,839","7,499","4,985","6,686","9,128","9,994","6,108","5,426","6,983","1,172","10,354"
2021년08월_여_0~9세,"7,007",58,"1,193",421,329,122,796,657,174,398,438,507,394,245,385,33,857
2021년08월_여_10~19세,"9,524",69,"1,592",394,468,177,911,662,406,533,834,723,468,377,578,69,"1,263"
2021년08월_여_20~29세,"14,163",138,"1,166",661,689,339,"1,564",840,"1,233",880,"1,413","1,919",622,"1,003",662,85,949
2021년08월_여_30~39세,"11,735",155,"1,416",732,671,287,"1,376",925,412,635,828,"1,291",694,565,628,53,"1,067"
